time_ms,imu_roll,imu_pitch,ax,ay,az,gx,gy,gz,Setpoint_rollRate,"set_pitchRate,",Setpoint_yawRate,Setpoint_roll,Setpoint_pitch
3801000,3934,-2986,59,44,1050,-449,399,832,-11802,-8959,480,0,0
3849000,3922,-2995,53,36,945,-449,93,1198,-11895,-8971,599,-39,0
3901000,3903,-3003,66,48,942,-388,-211,1198,-11831,-9011,599,-39,0
3949000,3907,-3002,77,85,958,282,-516,649,-11827,-8872,599,-39,39
4001000,3903,-2998,80,74,999,38,-394,1076,-11830,-8874,599,-39,39
4049000,3915,-3001,84,97,931,343,-638,344,-11723,-8872,480,0,39
4101000,3929,-2997,66,106,964,343,-943,-510,-11787,-8991,480,0,0
4149000,3938,-2999,71,107,958,38,-760,-937,-11924,-8984,599,-39,0
4201000,3946,-2985,57,78,922,771,-699,-266,-11959,-8836,599,-39,39
4249000,3946,-2966,68,76,943,588,-699,-510,-11953,-8780,599,-39,39
4301000,3944,-2975,13,65,971,282,-333,-22,-11952,-8807,599,-39,39
4349000,3951,-2963,36,53,959,160,-28,283,-11845,-8901,480,0,0
4401000,3950,-2956,54,63,1079,-266,-577,-754,-11852,-8870,480,0,0
4449000,3942,-2957,71,57,1098,-449,-150,-449,-11953,-8881,599,-39,0
4501000,3931,-2968,37,73,1171,-266,-150,-388,-11913,-8904,599,-39,0
4549000,3918,-2994,39,101,1074,-266,-89,-693,-11888,-8860,599,-39,39
4601000,3900,-2992,17,68,961,-388,154,-83,-11822,-8978,599,-39,0
4649000,3893,-2992,25,91,937,-388,93,-327,-11689,-8984,480,0,0
4701000,3893,-2995,18,63,1046,99,582,-571,-11681,-8987,480,0,0
4749000,3890,-2988,55,68,1113,771,704,-3073,-11776,-8974,599,-39,0
4801000,3876,-2991,14,78,1177,1991,93,1870,-11750,-8975,720,-39,0
4849000,3877,-2978,11,60,956,588,704,-6613,-11765,-8834,599,-39,39
4901000,3843,-2965,15,-18,683,-4355,-89,4067,-11651,-8776,720,-39,39
4949000,3845,-2950,91,121,1026,-632,-577,-4721,-11564,-8856,599,0,0
5001000,3881,-2890,78,71,1025,954,277,3212,-11645,-8670,599,0,0
5049000,3912,-2849,60,47,1184,-1487,-28,-3378,-11832,-8536,720,-39,0
5101000,3922,-2814,5,170,707,282,2169,4006,-11886,-8322,720,-39,39
5149000,3898,-2806,223,-38,791,-2341,-2530,-4782,-11881,-8229,720,-39,39
5201000,3949,-2855,43,105,1248,-937,1131,-2646,-11968,-8447,720,-39,39
5249000,3956,-2834,-126,-63,929,1259,704,1564,-11847,-8489,599,0,0
5301000,3962,-2889,-35,301,548,-3012,-272,10659,-11886,-8668,599,0,0
5349000,3954,-2889,-355,-20,809,-3379,1741,-5332,-12084,-8727,720,-39,0
5401000,3969,-2922,-117,-14,909,466,1802,2541,-12028,-8766,720,-39,0
5449000,3979,-2902,280,-123,776,-388,-1004,6997,-12046,-8554,720,-39,39
5501000,4008,-2921,212,-39,995,954,643,4860,-12144,-8764,720,-39,0
5549000,3998,-2895,24,240,1735,-571,521,-9055,-11970,-8609,599,0,39
5601000,3974,-2848,107,-160,218,-1975,704,1747,-11922,-8545,599,0,0
5649000,3936,-2858,8,-150,476,282,-3262,5837,-11936,-8410,720,-39,39
5701000,3895,-2783,3,-16,672,-1120,1375,1625,-11807,-8350,720,-39,0
5749000,3868,-2653,32,-96,1352,-2036,-89,3762,-11815,-7984,720,-39,0
5801000,3890,-2677,93,197,1013,-2646,399,-2097,-11791,-7912,720,-39,39
5849000,3925,-2544,130,1,1233,1747,2413,-2402,-11730,-7702,599,0,0
5901000,3973,-2600,61,-126,688,893,-2408,1809,-11921,-7800,480,0,0
5949000,3963,-2547,28,56,1310,-2280,-333,2236,-12065,-7638,599,-39,0
6001000,3961,-2597,150,-18,1314,1747,277,-83,-12004,-7793,599,-39,0
6049000,3932,-2569,51,48,1169,649,216,2968,-11957,-7704,599,-39,0
6101000,3939,-2556,-134,141,564,710,-1798,-1792,-11938,-7550,599,-39,39
6149000,3937,-2590,75,-62,1030,-2097,-1065,1686,-11888,-7746,480,0,0
6201000,3827,-2628,257,12,1161,2114,2901,-1914,-11482,-7884,480,0,0
6249000,3702,-2744,-60,34,692,954,-394,1381,-11280,-8164,599,-39,0
6301000,3682,-2801,9,131,844,1442,3206,-1059,-11167,-8403,599,-39,0
6349000,3634,-2759,-51,28,963,-1853,-2103,1259,-11108,-8112,599,-39,39
6401000,3637,-2857,29,-22,889,-2402,3267,1137,-11032,-8571,599,-39,0
6449000,3591,-2622,68,152,1018,3334,765,161,-10765,-7899,480,0,0
6501000,3708,-2833,52,102,1238,-2219,-4300,-1303,-11125,-8380,480,0,39
6549000,3783,-2634,28,-21,778,-1914,5159,1503,-11498,-7888,599,-39,39
6601000,3748,-2834,181,33,1582,282,-6375,-1181,-11364,-8382,599,-39,39
6649000,3708,-2798,13,200,471,-266,6258,1320,-11264,-8095,599,-39,160
6701000,3625,-2636,-131,-41,931,-2951,-7657,2175,-10996,-5510,599,-39,799
6749000,3587,-3007,46,177,826,3700,277,-2890,-10795,-6200,480,0,920
6801000,3562,-2548,3,122,730,-510,7418,3090,-10688,-4765,480,0,959
