time_ms,imu_roll,imu_pitch,ax,ay,az,gx,gy,gz,Setpoint_rollRate,"set_pitchRate,",Setpoint_yawRate,Setpoint_roll,Setpoint_pitch
101000,1554,-1474,40,145,761,-5942,1619,-998,-4782,-4304,480,-39,39
149000,2033,-1969,60,106,973,-7102,1497,-1120,-6067,-5718,480,0,0
201000,2449,-2389,51,81,863,-510,32,-2219,-7348,-7048,480,0,39
249000,2743,-2669,61,36,1045,-449,704,-1792,-8110,-7915,240,0,0
301000,2998,-2901,74,152,872,-937,-1004,-3195,-8996,-8585,240,0,39
349000,3236,-3064,86,-21,771,-510,154,4677,-9726,-9022,599,-39,39
401000,3441,-3116,-33,208,1184,3884,-28,-1242,-10443,-9348,599,-39,0
449000,3543,-3246,13,163,861,771,-1309,2419,-10754,-9521,599,-39,39
501000,3660,-3276,329,-162,808,1503,-211,-7102,-11100,-9708,599,-39,39
549000,3748,-3289,276,214,662,588,-1248,-3745,-11186,-9689,480,0,39
601000,3792,-3388,-24,403,674,221,-394,-8017,-11378,-10166,480,0,0
649000,3810,-3421,-63,-246,1113,-1487,1558,-22,-11588,-10118,599,-39,39
701000,3807,-3423,4,63,858,282,-394,6020,-11543,-10149,599,-39,39
749000,3785,-3467,-48,223,785,-22,2108,2297,-11478,-10338,599,-39,39
801000,3776,-3428,60,144,839,1564,-699,-3989,-11449,-10166,599,-39,39
849000,3813,-3475,181,-246,887,954,-1248,-4416,-11416,-10408,480,0,0
901000,3811,-3405,166,312,995,-22,887,-22,-11435,-10217,480,0,0
949000,3786,-3447,238,-112,1221,-3440,-1431,-2768,-11537,-10274,599,-39,0
1001000,3789,-3452,231,-385,1140,1015,-1309,527,-11489,-10356,599,-39,0
1049000,3751,-3431,158,-89,1029,-144,2230,-6491,-11354,-10252,599,-39,39
1101000,3711,-3415,89,-25,622,-449,154,-1364,-11254,-10127,599,-39,39
1149000,3691,-3506,12,174,1013,2541,3389,710,-11082,-10534,480,0,0
1201000,3687,-3421,-22,41,688,1991,1375,-2951,-11063,-10145,480,0,39
1249000,3626,-3636,14,-72,633,3029,-760,1381,-10957,-10871,599,-39,0
1301000,3573,-3476,243,-47,2015,-22,2352,-144,-10840,-10308,599,-39,39
1349000,3433,-3720,2,22,468,1015,1192,-998,-10473,-10950,599,-39,39
1401000,3395,-3547,99,-90,496,2297,9188,-83,-10305,-10521,599,-39,39
1449000,3295,-3848,301,95,1127,-1731,216,832,-9930,-11420,480,0,0
1501000,3303,-3162,140,247,487,-3867,30245,3273,-9911,-9486,480,0,0
1549000,3101,-2450,-33,-25,1304,-6491,15963,2907,-9566,-7430,599,-39,39
1601000,2557,-1989,-31,266,880,-13449,17488,2541,-7793,-5969,599,-39,0
1649000,1940,-1497,-77,47,768,-12839,15535,3456,-6184,-4622,599,-39,39
1701000,1581,-1034,209,-120,1500,-6308,9371,3762,-4865,-2623,599,-39,160
1749000,1587,-902,133,49,933,-144,4915,3884,-4719,-554,480,0,720
1801000,1803,-806,-47,-85,999,-1914,2291,3090,-5411,2141,480,0,1519
1849000,1813,-952,286,-105,1340,-3806,277,4555,-5550,2238,599,-39,1679
1901000,1890,-887,151,-6,1367,-2158,2596,4006,-5792,3937,480,-39,2200
1949000,2184,-840,-161,-98,2201,3090,2352,3151,-6446,4888,599,-39,2479
2001000,2438,-717,36,-48,704,-510,3389,2663,-7436,5526,599,-39,2560
2049000,2372,-795,146,106,1326,-4966,-4056,4311,-7205,5278,359,0,2520
2101000,2186,-882,24,154,1319,-11008,2535,1625,-6558,4793,480,0,2479
2149000,2109,-1091,-24,62,1664,-2036,-4361,1137,-6421,4371,599,-39,2479
2201000,2058,-1561,98,127,109,-3623,-1676,1198,-6296,2754,0,-39,2479
2249000,1953,-1846,65,11,471,-4721,-577,2907,-6014,2308,599,-39,2560
2301000,1924,-2337,73,-27,741,-2097,-6314,1870,-5894,1027,480,-39,2679
2349000,1940,-2630,-29,171,2150,-3806,1741,2846,-5865,114,480,0,2639
2401000,1813,-2731,-2,-24,9,-2463,-333,2785,-5440,-273,0,0,2639
2449000,1768,-2947,-119,-132,1244,-2463,-2530,1870,-5456,-826,599,-39,2639
2501000,1634,-3025,110,6,2201,-3135,3450,1625,-5022,-1755,480,-39,2439
2549000,1543,-3127,-21,-24,1123,-1303,-3018,1137,-4726,-2345,599,-39,2320
2601000,1574,-3258,56,128,1196,-876,216,1198,-4844,-4855,359,-39,1640
2649000,1742,-3104,-86,118,1600,1503,3389,1625,-5117,-9545,480,0,-39
2701000,1794,-3088,90,137,2046,-388,3084,1381,-5382,-9264,480,0,0
2749000,1732,-2980,99,213,1560,-754,7540,2419,-5352,-9044,599,-39,0
2801000,1619,-2775,299,21,2201,-754,5526,2297,-4979,-8325,599,-39,0
2849000,1614,-2643,98,54,772,2297,5770,2114,-4933,-7881,599,-39,39
2901000,1770,-2473,155,98,597,1503,5220,2358,-5431,-7299,119,-39,39
2949000,1983,-2422,318,-58,1979,3456,1986,3090,-5839,-7298,480,0,0
3001000,2083,-2454,-109,-187,1563,6386,277,9316,-6250,-7363,480,0,0
3049000,2796,-2801,-490,-308,1199,33669,-16690,11452,-7945,-8151,720,-39,0
3101000,4766,-3937,244,-79,1775,71877,-41959,11269,-14419,-11693,599,-39,39
3149000,7543,-5682,268,-17,1633,102211,-64176,11025,-21260,-16007,599,-39,39
3201000,11063,-7987,359,-139,1937,119362,-76810,11452,-33311,-23841,480,-39,39
3249000,13771,-9733,56,-23,1969,113075,-70340,12185,-40198,-28501,480,0,0
3301000,15589,-10835,294,-59,2201,100929,-60391,12734,-46769,-32506,480,0,0
3349000,16606,-11429,353,81,1702,95680,-56546,12795,-49498,-34132,599,-39,0
3401000,17204,-11636,-64,-88,1742,85793,-50076,13283,-51732,-34910,599,-39,0
3449000,17217,-11447,-259,-185,2126,77675,-44827,13832,-51826,-34382,480,-39,39
3501000,16991,-11143,4,36,1815,71510,-37564,14199,-51095,-33309,599,-39,39
3549000,16235,-10216,-162,86,1913,44594,-5521,13649,-49320,-31391,359,0,0
3601000,13513,-7509,-2,396,308,-17478,37081,6203,-40540,-22527,480,0,0
3649000,9225,-4211,-265,335,510,-67160,60030,3395,-40966,-15077,599,-3680,-240
3701000,4331,-667,140,135,599,-98777,73030,-1181,-38795,-4763,720,-8600,-920
3749000,179,2032,-11,96,42,-111594,76021,-2768,-33037,-1346,720,-10160,-2079
3801000,-3570,4081,44,86,450,-113181,68514,-4233,-19768,10685,720,-10160,-520
3849000,-6007,4962,-31,-15,505,-106101,51119,-4416,-13469,13205,599,-10160,-479
3901000,-7593,4803,23,71,153,-95847,28414,-5515,-7700,14171,480,-10160,-80
3949000,-7997,3908,-35,-73,370,-75827,8883,-3256,-11986,10251,599,-12000,-679
4001000,-7537,2492,120,176,493,-63376,-150,-5393,-14347,5678,720,-12320,-599
4049000,-6659,1210,25,70,606,-56479,-1370,-83,-16030,2579,720,-12160,-559
4101000,-5594,113,-12,86,607,-59592,2779,-144,-19697,-380,720,-12160,-240
4149000,-5011,-598,171,53,959,-66489,10530,-876,-21146,-1998,599,-12120,-160
4201000,-4973,-942,13,-13,725,-70273,16207,710,-21318,-3067,599,-12080,-80
4249000,-5331,-1014,105,2,488,-77048,16451,-1914,-16246,-3227,720,-10680,-80
4301000,-5789,-1203,-17,29,684,-86692,6319,-754,-13830,-3849,720,-10400,-80
4349000,-6337,-1667,-12,26,258,-82602,-3446,-1242,-10590,-4716,720,-9759,0
4401000,-6746,-2118,45,-53,449,-76499,5587,-22,-5919,-6475,720,-8719,-39
4449000,-6660,-1899,148,-36,917,-63681,20113,-1364,-3202,-6153,599,-7760,-80
4501000,-6272,-2041,121,73,648,-55320,5037,1931,1056,-6363,2160,-5920,-80
4549000,-5602,-1957,145,-21,254,-46103,22249,832,2226,-6199,2279,-5000,-39
4601000,-5080,-1330,130,42,1485,-55564,29879,1931,7440,-4232,599,-2600,-80
4649000,-4669,-599,154,-55,231,-31394,35128,-3439,11354,-2302,720,-1039,-39
4701000,-2821,23,-75,130,626,18715,28475,-5820,8345,-48,599,-39,-39
4749000,-576,531,-54,128,1012,27321,29268,-4355,2724,1188,-239,0,-39
4801000,1164,920,-110,-77,1062,15053,16024,-5332,-3493,2642,-119,0,-39
4849000,1764,185,290,134,327,4738,-6375,-5026,-5069,1054,-360,0,0
4901000,2215,-586,237,123,1595,17861,5892,-12656,13034,-2118,599,6559,-119
4949000,3242,-1115,-50,-99,1363,42397,-12052,-15219,10919,-2912,480,6640,0
5001000,5105,-1689,58,-108,1769,58510,6624,-17356,4482,-4949,480,6600,39
5049000,6460,-1244,141,357,1558,47524,7357,-18088,103,-3839,480,6319,0
5101000,6735,-1756,103,365,1047,19447,3389,-12534,-1727,-5149,480,6159,39
5149000,6324,-645,-69,-194,1276,17861,48067,-8139,-848,-2788,480,6120,0
5201000,6169,384,-17,-186,807,29213,6075,-9787,-4948,1032,480,4519,-39
5249000,5899,-280,-92,121,1491,19020,4305,-7224,-11541,-737,480,2119,0
5301000,5447,96,-37,25,1432,12245,17366,-6369,-13943,409,-360,799,39
5349000,4756,-441,260,311,1301,6935,-5887,-2402,-12119,-925,0,840,0
5401000,4109,-968,108,-93,1224,10109,11324,-2341,-4889,-2785,-360,2479,39
5449000,4001,-587,191,-44,884,16335,20113,-2280,3104,-1803,480,5039,39
5501000,4201,-804,74,-34,525,25307,1009,-937,9234,-2293,480,7279,39
5549000,4668,-1060,218,-87,2201,34096,11873,466,13536,-3082,480,9080,39
5601000,5151,-1047,-57,0,1487,34767,3756,832,15266,-2663,480,10240,160
5649000,5658,-1298,182,-134,1103,38063,887,3395,13710,-1661,480,10160,720
5701000,5951,-1239,-179,-18,714,35866,5220,3151,12505,242,240,10120,1319
5749000,6046,-1417,-82,-333,1301,30739,-3690,3884,8971,-256,599,9040,1280
5801000,5935,-1466,-140,-195,1454,30861,3328,4494,8472,-79,599,8759,1440
5849000,5783,-1585,-210,77,2201,26955,-5826,4799,6457,156,359,7960,1600
5901000,5619,-1767,11,114,1035,27809,-3995,5898,6302,2136,480,7720,2479
5949000,5591,-1749,-159,68,1886,25795,-9427,4433,6329,3852,480,7720,2999
6001000,5155,-1978,61,63,205,16640,-13577,5349,7214,5344,359,7560,3759
6049000,4725,-1965,-9,-34,727,15541,-5094,4982,6318,5898,599,6879,3959
6101000,4691,-1729,80,110,789,20912,-8023,4860,3925,7530,480,5999,4240
6149000,4722,-2179,-316,-114,1106,18654,-20963,3701,3428,6417,480,5880,4200
6201000,4232,-2434,223,58,1163,9560,-11258,4067,982,6617,480,4560,4640
6249000,3687,-2401,-397,75,1449,13161,-11075,3334,1793,6931,480,4360,4719
6301000,3421,-2605,-33,24,2201,17739,-19315,1320,2694,6944,599,4319,4920
6349000,3416,-2919,-194,-57,279,19020,-14493,1137,2333,7841,599,4200,5520
6401000,3472,-2753,-44,-76,357,17433,-12723,588,2183,8779,599,4200,5680
6449000,3304,-2975,103,79,168,6020,-19132,2907,2644,8154,480,4240,5639
6501000,2720,-3195,87,59,-375,38,-11197,4799,4557,7334,480,4240,5639
6549000,2137,-3048,82,98,2184,-327,-14188,1320,5935,7638,599,4200,5599
6601000,1745,-3282,181,-31,564,3456,-20291,3395,7362,6952,480,4200,5599
6649000,1678,-3323,-331,125,659,7179,-13699,1381,7227,6612,599,4080,5560
6701000,1718,-3295,-48,32,1267,4311,-21207,-449,1924,6913,480,2360,5599
6749000,1627,-3577,-69,-8,1550,-1731,-24503,771,1771,6403,480,2239,5680
6801000,1303,-3594,-93,64,922,-8567,-16507,-2829,1249,7217,480,1719,5999
6849000,1007,-3509,-86,74,669,-9360,-21024,-3378,1911,7449,599,1679,5999
6901000,978,-3687,60,-83,1062,-6675,-25662,-3195,2943,6936,480,1960,5999
6949000,902,-3571,61,200,1445,-9482,-13333,-2158,3831,7138,480,2200,5999
7001000,781,-3131,-56,121,1197,-15525,-16568,-2585,4496,8484,480,2279,5959
7049000,631,-2987,199,164,343,-12534,-22244,-4050,5630,8654,359,2520,5880
7101000,739,-3043,35,-31,1177,-6247,-19437,-4477,7261,6710,480,3159,5280
7149000,1109,-2709,103,49,1685,1808,-9427,-3806,9589,6199,480,4240,4839
7201000,1416,-2503,-49,240,453,3212,-11868,-3745,10151,5689,599,4800,4400
7249000,1754,-2553,51,-102,401,4067,-9976,-4538,12276,4264,480,5799,4000
7301000,1998,-2442,316,65,1740,4982,-8084,-4538,14405,3471,4807401000,2018,-2335
7449000,1664,-2212,3,-156,1924,-7590,-5521,-2158,15941,1408,599,7040,2679
7501000,1535,-2100,-56,141,516,3273,-2408,-1242,16513,1738,480,7040,2679
7549000,1759,-2101,-84,-175,1142,15785,-8573,-2158,15941,1722,480,7000,2679
7601000,2597,-1799,61,6,1125,29518,2535,-1853,13328,2642,480,7040,2679
