time_ms,imu_roll,imu_pitch,ax,ay,az,gx,gy,gz,Setpoint_rollRate,"set_pitchRate,",Setpoint_yawRate,Setpoint_roll,Setpoint_pitch
101000,1396,-609,87,60,1239,-205,2596,-4294,-4188,-1948,4440,0,-39
149000,1799,-749,61,85,1161,5593,-28,2541,-5323,-2297,5760,-39,-39
201000,2182,-923,27,25,729,38,-455,-1303,-6546,-3011,7559,0,-80
249000,2436,-952,1,111,1074,-1609,704,-1303,-7231,-2964,6719,0,-39
301000,2704,-1103,4,20,1160,710,-1492,1259,-8112,-3429,5520,0,-39
349000,2863,-1265,-6,63,1186,-83,948,-83,-8386,-3996,4440,39,-80
401000,2998,-1328,86,55,1111,282,216,405,-8996,-4105,3719,0,-39
449000,3111,-1443,38,126,778,343,-2347,-449,-9254,-4476,2879,0,-80
501000,3227,-1506,-25,57,950,-266,1436,710,-9802,-4639,599,-39,-39
549000,3311,-1479,-6,72,896,-22,-699,-1608,-9886,-4530,480,0,-39
601000,3351,-1549,84,88,1049,-693,-1004,1809,-10053,-4768,599,0,-39
649000,3387,-1519,54,78,1181,-327,460,-2036,-10137,-4694,599,0,-39
701000,3423,-1552,33,48,948,-327,-1187,-1364,-10150,-4896,480,39,-80
749000,3436,-1589,92,39,1089,-83,338,-2585,-10418,-4889,480,-39,-39
801000,3423,-1598,-8,86,699,649,-638,-1181,-10271,-4915,480,0,-39
849000,3418,-1658,-54,65,813,1320,-272,-388,-10236,-5082,359,0,-39
901000,3396,-1674,50,153,946,-1914,399,100,-10190,-5144,359,0,-39
949000,3396,-1691,126,57,1325,-2036,460,771,-10227,-5201,359,0,-39
1001000,3410,-1702,-192,162,1444,3456,1253,3029,-10231,-5227,359,0,-39
1049000,3418,-1593,237,67,807,1564,-1431,-4050,-10381,-4791,240,-39,0
1101000,3419,-1561,32,135,1117,-2524,-1309,-4477,-10259,-4565,240,0,39
1149000,3450,-1486,400,1,1034,-1914,1070,-449,-8567,-4632,240,599,-39
1201000,3476,-1509,93,258,1181,-1059,-1248,-13327,-1548,-4527,240,2960,0
1249000,3474,-1526,228,-53,1188,-1303,-1615,1564,2483,-4553,359,4319,0
1301000,3468,-1443,18,-219,793,-1120,-394,-1181,4235,-4449,359,4879,-39
1349000,3453,-1403,-51,351,1230,-22,1253,-8811,4650,-4144,359,5000,39
1401000,3442,-1389,-421,174,939,5287,1680,-7834,4672,-4169,359,5000,0
1449000,3449,-1414,-108,-138,977,-1609,-1248,9743,4864,-4148,359,5079,0
1501000,3451,-1457,215,-96,463,588,-516,12246,8006,-4372,359,6120,0
1549000,3493,-1462,12,231,600,1381,-1248,-7712,10856,-4507,480,7079,-39
1601000,3488,-1414,120,336,1352,2052,-2408,-1486,14013,-4244,480,8160,0
1649000,3491,-1484,-110,263,825,-815,1131,-11740,17190,-4471,480,9240,0
1701000,3458,-1382,-153,-18,730,-1120,3817,8583,17463,-4027,480,9280,39
1749000,3467,-1396,75,-140,453,-1426,-1737,12368,18127,-4139,359,9519,0
1801000,3469,-1430,0,-140,806,160,1558,19081,20312,-4290,359,10240,0
1849000,3434,-1337,-184,79,843,1442,2962,-2097,22112,-4052,359,10799,0
1901000,3396,-1434,-298,266,822,2175,-3934,-3256,23651,-4304,480,11280,0
1949000,3380,-1362,-31,-29,1676,1015,5648,588,27031,-4304,359,12400,-39
2001000,3409,-1381,-251,103,1485,3395,-2469,3762,28650,-4265,359,12960,-39
2049000,3412,-1546,318,-127,1150,-3806,-2347,6630,30914,-4678,480,13719,-39
2101000,3492,-1346,220,-42,1205,3395,1986,-3989,32243,-4040,480,14240,0
2149000,3479,-1438,-232,252,1209,1503,-2164,-6491,35201,-4411,599,15200,-39
2201000,3519,-1509,-184,366,1110,221,2962,-11008,36961,-4648,359,15840,-39
2249000,3510,-1357,-73,85,892,588,460,-510,37513,-4054,480,16040,0
2301000,3536,-1478,79,-263,673,-937,-3324,6203,38231,-4434,480,16280,0
2349000,3524,-1372,35,279,1484,3212,5281,6264,41012,-4354,480,17160,-39
2401000,3487,-1340,298,63,980,-144,-6558,7912,43296,-4141,480,17920,-39
2449000,3483,-1458,-183,239,592,-2951,2962,-12351,44755,-4590,480,18400,-39
2501000,3484,-1348,25,-1,563,-3623,1863,-1792,49306,-4045,480,19920,0
2549000,3495,-1480,20,-162,703,-3440,-3751,9865,49046,-4220,599,19880,39
2601000,3484,-1448,82,-74,914,-1059,4061,12978,49187,-4344,359,19880,0
2649000,3442,-1375,156,205,1761,771,-1065,1076,45152,-4213,480,18480,-39
2701000,3408,-1568,-116,131,815,-266,-3507,-12717,4653,-4946,359,4960,-80
2749000,3354,-1354,-81,-67,1347,1137,4183,6569,-10100,-4264,480,0,-39
2801000,3326,-1513,-13,-234,1505,-449,-3568,-1425,-9980,-4780,359,0,-80
2849000,3279,-1487,185,42,615,1259,2535,13832,-9958,-4405,359,-39,39
2901000,3243,-1350,46,222,1124,-510,-2103,-10031,-17409,-3932,359,-2560,39
