time_ms,imu_roll,imu_pitch,ax,ay,az,gx,gy,gz,Setpoint_rollRate,"set_pitchRate,",Setpoint_yawRate,Setpoint_roll,Setpoint_pitch
101000,1819,-1602,105,272,1764,6691,-2896,100,-5579,-4808,599,-39,0
149000,2374,-2267,41,108,1172,-11069,1375,-2890,-7276,-6419,720,-39,39
201000,2893,-2660,130,30,560,-4660,-760,5349,-8800,-7982,599,-39,0
249000,3257,-3063,93,-92,829,-8567,-2591,954,-9638,-9106,599,0,-39
301000,3555,-3316,-19,125,1261,2785,1497,771,-10785,-10068,599,-39,-39
349000,3883,-3379,122,-10,1438,-2829,-1492,1503,-11637,-10190,720,-39,-39
401000,4146,-3545,42,28,970,1198,1314,710,-12560,-10757,720,-39,-39
449000,4351,-3564,69,56,1130,99,1619,100,-13001,-10799,599,0,-39
501000,4417,-3708,53,84,1003,-571,-1248,1320,-13253,-11126,480,0,0
549000,4495,-3787,7,167,845,-510,1253,-2463,-13594,-11487,599,-39,-39
601000,4621,-3775,-25,114,1113,2419,704,2907,-13985,-11327,599,-39,0
649000,4676,-3856,-5,101,1084,2297,32,1198,-14094,-11546,599,-39,0
701000,4700,-3822,-21,58,1017,1686,2230,1198,-14222,-11348,599,-39,39
749000,4712,-3756,31,-2,842,-998,277,527,-14139,-11294,480,0,0
801000,4755,-3736,32,62,918,-571,460,-327,-14266,-11210,480,0,0
849000,4840,-3663,93,-9,1334,343,399,-205,-14604,-11164,599,-39,-39
901000,4801,-3744,-13,168,815,1747,-3751,1747,-14523,-11594,599,-39,-119
949000,4797,-3780,76,146,978,-1120,-28,-4355,-14437,-14890,480,0,-1200
1001000,4795,-3819,248,179,451,-3928,-2225,-8261,-14387,-19499,480,0,-2680
1049000,4804,-3825,264,35,1073,-6308,-455,-4050,-14528,-23350,599,-39,-3960
1101000,4824,-3825,180,-187,991,-1670,-2042,-1547,-14593,-28035,599,-39,-5520
1149000,4829,-3760,-210,244,882,1442,3756,-1975,-14541,-29074,599,-39,-5880
1201000,4955,-3599,-142,173,2201,1747,1680,-6552,-14985,-32998,599,-39,-7400
1249000,5025,-3580,380,-212,995,-2707,-1431,11513,-15083,-35229,480,0,-8160
1301000,4917,-3442,190,203,1203,1076,3084,-1853,-14751,-33486,599,0,-7719
1349000,4840,-3392,66,230,796,-1853,-1676,-8078,-14733,-31024,480,-39,-6960
1401000,4736,-3313,59,316,2135,-3012,399,-14243,-14329,-26501,480,-39,-5520
1449000,4686,-3146,99,266,201,2480,-3079,-2829,-14199,-21138,599,-39,-3880
1501000,4739,-3161,40,187,119,-4721,-2164,-6430,-14339,-16203,599,-39,-2239
1549000,4795,-3021,151,147,673,-3623,-394,1198,-14558,-12927,599,-39,-1280
1601000,4807,-3088,-131,52,993,-693,-882,-1547,-14541,-10706,599,-39,-479
1649000,4738,-3183,146,193,1231,1015,-1492,1137,-14273,-11196,480,0,-559
1701000,4703,-3151,77,28,1475,1503,2718,222,-14109,-10895,480,0,-479
1749000,4654,-3269,71,197,504,3090,-2225,-876,-14021,-10947,599,-39,-399
1801000,4593,-3197,110,92,1123,-3196,2779,-632,-13899,-9952,599,-39,-119
1849000,4579,-3349,60,83,1101,3517,-3995,588,-13820,-10128,599,-39,-80
1901000,4592,-3471,142,30,1746,5043,5526,-1059,-13896,-10655,599,-39,-80
1949000,4710,-3388,178,129,393,-3501,-3140,-449,-14042,-10346,480,0,-80
2001000,5006,-3449,257,-65,1202,1015,-28,832,-15020,-10588,480,0,-80
2049000,5354,-3088,115,186,669,5715,4244,-632,-15880,-9874,599,-39,-119
2101000,5736,-3115,217,87,636,-2890,-5460,-1731,-17329,-9587,599,-39,-80
2149000,5914,-2976,29,146,65,-1914,5037,710,-17817,-9194,599,-39,-39
2201000,5962,-2853,80,-30,1663,1930,-1981,4311,-18008,-8561,599,-39,0
2249000,5880,-3000,-138,127,944,1503,1741,-937,-17680,-9116,480,0,-39
2301000,5741,-2650,283,36,1341,-3196,6014,1809,-17224,-8072,480,0,-39
2349000,5367,-2888,89,228,110,-2463,-4666,4128,-16325,-8528,599,-39,-39
2401000,5046,-2707,51,60,1297,-1609,17855,4555,-15260,-8122,599,-39,0
2449000,4826,-2140,291,235,667,-4172,10653,1137,-14755,-6632,599,-39,0
2501000,4245,-1884,76,69,195,-10154,10775,4982,-12856,-5652,599,-39,0
2549000,3829,-1654,178,-23,1517,-8139,10653,5471,-11739,-4901,480,0,39
2601000,3205,-1269,-38,-26,2201,-5027,20784,6935,-9617,-3807,480,0,0
2649000,2888,-780,8,-16,1020,-16257,17977,5410,-9003,-2522,599,0,0
2701000,1988,-520,-99,-43,1550,-16257,14925,4372,-925,-1681,599,1679,-39
2749000,1809,-439,54,-2,155,-754,9127,6813,-707,-1330,599,1559,0
2801000,1928,-356,107,80,1063,-3379,10653,4189,-5905,3851,599,-39,1640
2849000,1928,-168,53,169,1397,-4294,9371,6874,-5826,6661,480,0,2400
2901000,1797,-571,106,18,1291,-5149,-7230,8034,-5392,9084,480,0,3599
2949000,1617,-1016,48,211,1819,-6064,2535,6264,-5028,9742,480,-39,4240
3001000,1685,-1184,110,112,1888,-1670,-4178,5532,-5176,9286,480,-39,4279
3049000,1757,-1551,4,77,568,-2036,-4239,4250,-5220,8717,599,0,4400
3101000,1898,-1530,-261,75,95,-5332,3511,4738,-5696,9568,599,0,4719
3149000,1843,-1558,93,-63,1509,-6858,-5155,4555,-5178,10576,480,120,5039
3201000,1830,-1645,-31,23,270,3212,-2164,5165,-2851,12102,480,880,5680
3249000,2174,-1655,-30,-52,562,5959,-6925,3334,-3739,12062,359,880,5639
3301000,2550,-2030,193,127,411,282,-10587,3334,-4412,11069,480,1080,5720
3349000,2545,-2060,-15,225,78,-8200,-2408,2602,-3736,12209,480,1319,6159
3401000,2485,-2060,66,-1,1278,-8506,-8695,2785,-3256,14577,480,1400,6919
3449000,2447,-2382,122,133,936,-3562,-10831,1198,-2524,14507,480,1600,7160
3501000,2475,-2722,236,249,1463,-6919,-9488,1381,-705,15832,480,2239,7999
3549000,2307,-2936,-9,46,2188,-3623,-9000,1381,7,17302,480,2320,8680
3601000,2414,-3354,231,172,1010,1625,-19620,1442,1755,16457,480,2999,8840
3649000,2300,-3834,51,189,872,-8628,-13822,3456,5422,15186,599,4159,8840
3701000,2093,-3990,35,-61,821,-2341,-7779,2541,6560,14428,480,4279,8800
3749000,2505,-3855,111,106,1660,14870,-8512,2846,6258,14823,480,4479,8800
3801000,3326,-4034,4,44,1286,22316,-18033,2480,3699,14776,480,4560,8959
3849000,3644,-4397,-163,-44,992,10781,-15775,3029,3058,14889,480,4640,9320
3901000,3665,-4450,179,-16,188,10597,-8878,2846,3042,17969,359,4679,10439
3949000,3562,-4576,-283,62,-77,8461,-11075,4494,3333,17886,480,4679,10520
4001000,3549,-4608,19,34,2201,9926,-9488,4372,3510,17494,599,4719,10439
4049000,3369,-4531,-174,11,1539,7057,-10343,4616,3834,17679,480,4679,10439
4101000,3271,-4380,-62,-164,750,9682,-12784,3701,4226,19979,480,4679,11040
4149000,3355,-4133,21,28,540,8095,-10892,4494,4127,23233,480,4719,11919
4201000,3307,-4157,131,-121,838,7851,-20658,3762,4237,24006,480,4719,12160
4249000,3163,-4649,-64,2,660,8400,-18582,3273,4489,22764,480,4679,12160
4301000,3135,-4871,8,37,709,12306,-12357,4311,4634,21864,599,4679,12160
4349000,3171,-5159,237,-46,905,12245,-19376,2846,4644,21202,480,4719,12160
4401000,3136,-5318,278,45,2035,6752,-12296,2846,4149,17285,480,4519,11080
4449000,2901,-5460,99,7,1259,4494,-18949,2602,4141,10111,480,4319,8800
4501000,2690,-5458,138,41,548,4189,-7474,2785,-1111,-6895,480,2320,3159
4549000,2645,-4875,-69,158,278,7057,4488,2419,-3337,-11434,599,1519,1199
4601000,2517,-3954,293,154,1566,-1609,15047,1931,-6473,-11744,599,360,39
4649000,2154,-3118,204,232,2201,-3135,15169,2419,-6777,-9588,599,-39,39
4701000,1784,-2552,-85,20,1007,-3379,11324,1503,-5474,-7538,599,-39,39
4749000,1504,-2080,123,-66,2201,-4905,14681,832,-4677,-6463,480,0,0
4801000,1240,-1761,48,2,2201,-4599,9981,710,-3720,-5405,480,0,-39
4849000,1184,-1596,187,46,1267,-2036,10530,649,-3644,-4885,599,-39,0
4901000,1089,-1332,-5,111,1157,-7102,13460,1015,-3389,-3878,599,-39,39
4949000,1043,-1173,135,233,1439,-2585,8944,954,-3209,-3417,599,-39,39
5001000,1152,-1114,58,-34,1197,-3440,9981,893,-3576,-3224,599,-39,39
5049000,1182,-952,110,70,1568,-2341,11141,1015,-3509,-2933,480,0,0
5101000,1191,-837,394,208,423,-8017,10958,771,-3574,-2512,480,0,0
5149000,1150,-869,164,100,1985,-6980,6685,1137,-3563,-2444,599,-39,39
5201000,1196,-1092,161,6,375,-6369,3939,466,-3708,-3277,599,-39,0
5249000,1276,-1257,66,121,367,-4355,6624,-144,-3907,-3611,599,-39,39
5301000,1446,-1235,90,-51,859,-1487,9249,1015,-4459,-3346,599,-39,120
5349000,1589,-1247,181,-68,1001,-632,5159,466,-4706,-3097,480,0,199
5401000,1820,-1358,-177,175,184,-2402,6258,954,-5460,-3715,480,0,120
5449000,1901,-1273,-90,-82,691,-6369,10530,1625,-5840,-3858,599,-39,0
5501000,1873,-1352,15,-60,57,-3623,3084,2236,-5740,-4057,599,-39,0
5549000,1856,-1571,66,26,-257,-2646,6258,1076,-5719,-4502,599,-39,39
5601000,1804,-1553,-260,9,401,-3745,9859,1564,-5532,-4540,599,-39,39
5649000,1689,-1563,-132,-63,507,-5637,4915,1198,-5156,-4631,480,0,0
5701000,1569,-1634,-4,92,75,-1914,7418,588,-4709,-4903,480,0,0
5749000,1553,-1596,-144,86,540,-1792,7112,1015,-4789,-4687,599,-39,39
5801000,1515,-1580,34,-29,810,-3012,4427,832,-4665,-4740,599,-39,0
5849000,1437,-1482,73,-102,1155,-7468,7540,-144,-4510,-4417,599,-39,39
5901000,1378,-1432,-104,54,430,-998,1925,-510,-4254,-4298,599,-39,0
5949000,1407,-1597,50,117,568,-2158,3878,-1120,-4209,-5117,480,0,-119
6001000,1394,-1558,-178,-28,1436,-2402,5587,-1364,-4184,-5155,480,0,-160
6049000,1366,-1698,130,-102,1914,-1853,-1126,-1853,-4227,-5304,599,-39,-119
6101000,1384,-1842,182,107,1849,-1364,6136,-632,-4274,-5767,599,-39,-80
6149000,1511,-1833,59,-42,2201,4677,1436,-1425,-4511,-5673,359,-39,-80
6201000,1700,-1962,281,27,276,3822,4793,100,-5220,-6128,-239,-39,-80
6249000,1767,-1662,-231,-145,1202,-1487,8577,283,-5320,-5499,480,0,-119
6301000,1505,-1584,320,169,1345,-2036,1314,466,-4516,-5112,480,0,-119
6349000,1299,-1457,106,6,740,-3440,9127,344,-4111,-4847,480,-39,-119
6401000,1266,-1477,-70,199,1495,710,-1126,649,-3919,-4791,599,-39,-119
6449000,1132,-1630,-37,-3,1451,-5515,6380,1625,-3665,-5328,480,-39,-119
6501000,986,-1379,364,-80,1083,-2280,2108,2358,-3080,-4377,359,-39,-80
6549000,1027,-1710,-143,184,1469,-632,1741,2419,-3036,-5359,240,0,-119
6601000,890,-1370,-354,-116,317,-7895,14437,3151,-2670,-4470,119,0,-119
6649000,916,-1261,180,265,1379,-266,-2286,2297,-2744,-3898,119,-39,-80
6700000,1092,-1363,210,182,1209,-2524,6746,2663,-3398,-4450,0,-39,-119
6749000,1091,-1200,-302,-57,740,-3989,-1615,3029,-3411,-3779,-239,-39,-80
6801000,1159,-1532,140,-14,2004,-1914,-2286,3029,-3599,-4837,-360,-39,-80
6849000,1103,-1254,234,182,591,-4538,10469,3640,-3297,-4181,480,0,-80
6901000,1221,-1466,-180,42,1468,-1731,-14249,1931,-3664,-4760,480,0,-119
6949000,1216,-1632,105,-212,1025,-9299,11141,2419,-3867,-5499,599,-39,-119
7001000,801,-1083,34,47,1293,-7224,2474,2968,-2524,-3489,599,-39,-80
7049000,763,-1540,155,-158,1788,-4050,-11014,1381,-2421,-4443,599,-39,-39
7101000,609,-1237,243,90,382,-8811,12484,1320,-1949,-3833,599,-39,-39
7149000,718,-1209,87,-16,1827,6935,-13028,588,-1921,-3480,480,0,-39
7201000,1022,-1722,-103,288,1601,-6369,-2896,710,-3068,-5288,480,0,-39
7249000,526,-1375,195,123,541,-18332,10347,466,-1939,-4411,599,-39,-39
7301000,455,-1346,3,230,1141,-571,1925,-449,-1485,-4039,599,-39,0
7349000,711,-1178,-24,43,1051,-6736,11446,-327,-2217,-3636,599,-39,0
7401000,710,-842,17,53,517,-12778,9371,405,-2252,-2526,599,-39,0
7449000,724,-754,-82,6,1930,-7041,6990,-205,-2131,-2433,480,0,-39
7501000,972,-349,83,62,2201,3151,20296,-1853,-2917,-1169,480,0,-39
7549000,1586,-141,84,39,996,17677,7967,-876,-4494,-552,599,-39,-39
7601000,2375,-412,81,-20,1736,7668,4854,-815,-7127,-1357,599,0,-39
7649000,2152,-479,-105,179,1870,-7163,13155,2053,-6684,-1484,599,0,0
7701000,1486,-358,100,6,283,-11252,14193,2480,219,-1075,599,1559,0
7749000,975,-591,-216,-89,365,-11985,1863,1992,3241,-1554,-119,2200,-39
7801000,749,-1014,49,87,2026,-4843,6807,771,4470,-3163,-119,2239,-39
7849000,945,-903,299,203,2094,2175,16817,893,4285,-2809,240,2320,0
7901000,1081,-1126,50,185,1431,38,399,-144,6236,-3380,119,3159,0
7949000,1001,-1339,246,54,530,-6614,16817,2175,9593,-3925,-360,4240,39
8001000,1053,-1241,214,-102,-285,4616,7967,2663,12198,-3724,0,5120,0
8049000,1594,-1697,60,25,1462,13771,1497,222,10948,-4776,480,5160,39
8101000,2292,-1935,144,121,742,14870,8944,588,6201,-3407,-360,4360,799
8149000,2698,-2075,-99,194,1559,16396,2718,2846,1898,-1173,599,3280,1640
8201000,2837,-2236,-163,-16,1359,14382,6075,2236,728,1809,599,3080,2839
8249000,2912,-2329,-82,-107,-98,10964,-2469,1076,530,4354,-360,3080,3719
8301000,3061,-2864,-141,-26,1206,18044,-6497,2358,3416,4606,480,4200,4400
8349000,3312,-3107,-79,-106,58,14443,-3812,710,2980,4043,359,4279,4440
8401000,3471,-3102,-78,70,100,18166,-4422,1320,4584,5693,480,5000,5000
8449000,3590,-3154,46,-181,431,14748,-5033,1564,4464,6275,599,5079,5239
8501000,3651,-3213,-201,-32,983,22682,-8267,1931,4284,7280,599,5079,5639
8549000,3973,-3415,-106,-66,-295,25734,-13272,466,3509,7246,480,5079,5799
8601000,4067,-3634,-66,29,169,13771,-9915,2175,2918,7936,480,5039,6280
8649000,3538,-3784,76,10,502,-2341,-6253,1686,4378,7975,480,5120,6440
