c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4503,-3723,-1202,-122,52,1140,-2666,2476,15585,223,-83,-322,-20,4,0,13458,571,323,148,13458,1505,1457,1689,1665,572,721,326,412,583,1374,0,-20,-4,-10,-32,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4550,-2816,-970,154,53,564,13507,5894,9665,245,-70,-129,0,2,0,13374,581,328,139,13374,1558,1477,1642,1647,73,526,42,305,-54,309,122,-10,-13,-35,1,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603,-1374,-651,33,-88,951,4840,-697,5148,161,-46,-4,8,2,0,13416,604,289,143,13416,1534,1548,1616,1639,72,381,43,230,84,296,122,-17,-13,-9,14,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4650,-542,-566,97,-93,783,4230,767,2890,186,-38,-2,27,2,0,13458,610,238,148,13458,1533,1522,1631,1651,36,412,22,251,-37,351,112,-10,-12,-28,16,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4703,26,-201,8,52,1013,11188,3026,1791,144,-3,-4,29,2,0,13416,660,312,143,13416,1552,1482,1646,1648,10,380,7,250,-42,184,142,-21,-9,7,15,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4750,607,-498,88,10,1005,8807,-574,693,51,-36,-2,20,1,0,13416,632,270,143,13416,1537,1485,1650,1654,-136,370,-86,234,-67,193,153,-11,-7,-20,18,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4803,642,-181,-169,-69,1003,-164,6016,-222,38,-36,-2,18,-4,0,13416,656,276,143,13416,1513,1498,1668,1646,-182,344,-119,225,-287,346,163,-26,1,24,-6,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4850,556,234,-274,-53,1047,4413,4979,-344,17,-87,-4,13,-21,0,13458,662,277,148,13458,1533,1476,1657,1662,-130,394,-86,261,-252,344,193,-36,5,58,-14,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903,1022,120,215,95,1085,690,9190,1120,-57,-293,-2,6,-60,0,13416,673,246,143,13416,1536,1494,1625,1673,-271,290,-182,195,-431,278,214,-4,-9,-25,31,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4950,867,438,267,49,739,-3032,19261,571,-44,-307,-4,6,-69,0,13458,699,267,148,13458,1525,1496,1658,1648,-488,407,-341,285,-756,464,183,10,-6,-53,20,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5003,594,1439,-72,44,1111,4108,25059,-466,-30,-213,-4,4,-67,0,13500,710,255,152,13500,1545,1462,1683,1639,-423,368,-300,261,-860,296,204,-3,0,6,0,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5050,590,2160,152,-1,1134,6122,17857,266,-27,-108,4,4,-59,0,13713,731,256,172,13713,1550,1488,1673,1644,-333,292,-243,213,-619,152,224,0,6,12,-10,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5103,847,2412,-150,11,1042,7037,9434,266,-87,74,-2,-2,-27,0,13500,735,247,152,13500,1551,1464,1678,1630,-316,316,-232,232,-480,194,244,5,1,8,9,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5150,1025,1978,79,43,1089,202,3087,571,-103,102,-2,-2,-13,0,13458,740,234,148,13458,1535,1493,1662,1649,-292,254,-216,188,-405,194,214,16,3,-15,7,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5203,1063,1650,-171,99,865,-4863,-3504,449,-131,119,-2,-7,-4,0,13500,762,243,152,13500,1538,1486,1661,1650,-377,248,-287,189,-316,333,204,6,-9,9,42,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5250,837,1227,33,145,900,-11699,-2467,-1381,-111,89,-2,-7,-3,0,13543,770,186,155,13543,1509,1489,1671,1664,-269,377,-207,290,-253,548,234,5,-11,9,42,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5303,135,1007,-116,-76,1137,-14385,-7227,-161,-57,80,-4,-9,-1,0,13458,786,233,148,13458,1504,1508,1663,1658,-240,292,-189,229,-114,543,234,-2,0,28,0,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5350,-332,533,-99,121,1259,-10173,-4298,-1625,-19,39,-2,-9,-1,0,13500,812,240,152,13500,1512,1481,1677,1662,-137,378,-111,307,-50,577,183,-1,-7,18,8,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5403,-621,205,-1,-53,924,-5718,-8448,-283,-64,77,-4,-23,11,0,13500,814,272,152,13500,1528,1479,1660,1664,-155,423,-126,344,-8,523,193,1,-5,6,-2,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5450,-582,-6,-134,12,1240,-12920,-8631,-1809,-99,83,-4,-30,16,0,13458,832,264,148,13458,1490,1491,1666,1675,-165,198,-138,164,-59,359,153,0,-13,6,12,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5503,-675,-409,-10,-84,1030,-10540,-6495,-405,-98,86,-2,-31,24,0,13500,835,255,152,13500,1514,1488,1664,1660,-130,314,-108,262,-16,498,193,3,-15,-12,8,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5550,-842,-573,-100,-108,1400,-13530,-3687,-1442,-87,79,-4,-32,25,0,13458,843,253,148,13458,1497,1489,1676,1664,-143,350,-120,295,-93,571,163,0,-18,-4,5,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5603,-1094,-748,28,11,901,-8342,-6312,-954,-9,32,-2,-20,19,0,13500,860,212,152,13500,1503,1491,1660,1674,-169,269,-145,232,-59,415,204,0,-17,-10,-5,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5650,-1217,-716,-143,-3,1081,-4985,-3809,-1625,106,-41,-2,0,4,0,13500,865,237,152,13500,1491,1492,1670,1673,-169,139,-146,120,-100,225,234,-8,-15,7,-16,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5703,-1015,-731,289,-59,912,7404,706,-1076,60,-49,-4,-5,2,0,13458,890,244,148,13458,1530,1455,1666,1673,-140,120,-124,107,-152,-8,234,8,-13,-38,-17,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5750,-631,-478,116,-122,1135,2094,-5274,-1198,55,-27,-2,0,2,0,13500,890,239,152,13500,1495,1491,1659,1682,-203,-11,-181,-9,-165,-107,224,-4,-13,-2,-14,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5803,-171,-377,67,44,892,5817,-5457,266,14,-22,-4,0,2,0,13458,870,147,148,13458,1528,1473,1649,1675,-197,8,-171,7,-101,-93,214,-6,-19,-1,7,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5850,23,-403,77,-65,1207,3009,-3809,449,-5,-28,-2,0,1,0,13500,881,109,152,13500,1517,1492,1654,1669,-239,36,-210,31,-202,-59,224,-3,-10,-10,-11,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5903,197,-321,55,111,966,-1445,1195,-466,21,-21,-94,7,1,0,13416,900,144,143,13416,1450,1455,1698,1694,-186,-94,-168,-84,-207,-69,214,-9,-17,5,10,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5950,45,-297,88,-33,863,3558,-941,4111,107,-15,-113,22,2,0,12140,886,122,20,12140,1453,1430,1650,1651,-242,-133,-214,-118,-153,-153,234,0,-9,-20,-10,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6003,215,-238,24,107,858,14911,-25,5270,225,-41,-152,48,-4,0,12180,901,73,24,12180,1469,1391,1654,1663,-229,-102,-206,-92,-229,-362,244,-5,-12,-4,3,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6050,274,-925,-74,69,1024,18756,-758,8078,572,-188,-150,119,-21,0,12140,910,83,20,12140,1437,1472,1616,1665,-96,-163,-87,-148,-211,-540,214,7,6,-41,-35,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6103,1115,-783,-208,-38,1215,37494,4246,10886,782,-365,-173,175,-59,0,12504,922,90,56,12504,1465,1468,1585,1676,-428,-265,-394,-244,-502,-919,183,29,34,-95,-83,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6150,1968,-1011,166,-129,321,52936,19444,10458,798,-444,-234,194,-71,0,12585,920,19,63,12585,1496,1393,1659,1672,-306,-213,-281,-196,-566,-985,112,42,46,-117,-80,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6203,3706,-216,176,101,746,46649,27257,12290,350,-280,-236,134,-52,0,12708,913,-25,76,12708,1518,1404,1689,1627,-198,-242,-180,-221,-673,-1056,204,19,23,-36,24,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6250,5299,842,162,34,683,16132,14256,10642,-434,-6,-171,5,-16,0,12667,919,6,71,12667,1559,1387,1656,1633,-290,-388,-266,-356,-620,-671,224,14,10,-4,87,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6303,4115,1416,-234,46,1209,-32940,-3565,7529,-362,102,-58,0,-4,0,12749,925,-39,80,12749,1449,1564,1611,1638,-244,-95,-226,-88,-182,479,255,-6,29,55,21,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6350,1832,761,-149,-153,1160,-17681,-9364,7346,-240,73,-4,-16,1,0,12708,910,-73,76,12708,1566,1494,1592,1617,-92,133,-84,121,41,545,234,6,40,14,-32,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6403,919,-82,103,71,730,-7793,-4969,2951,-279,-3,-4,-39,0,0,13164,932,-73,119,13164,1553,1469,1635,1647,-171,126,-159,117,-84,262,224,27,20,-49,9,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6450,496,-289,-36,-27,1149,-20366,-697,3500,-497,-25,-6,-90,0,0,13248,902,-95,128,13248,1566,1467,1639,1639,-140,61,-126,55,-128,420,204,10,9,-6,26,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6503,-383,-374,71,72,943,-26409,2843,1914,-444,-32,-4,-95,0,0,13290,907,-115,132,13290,1523,1496,1653,1643,-75,183,-68,166,-125,644,255,17,3,-25,21,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6550,-1562,-760,56,-91,1008,-27080,218,1975,-376,-62,-20,-102,0,0,13290,893,-139,132,13290,1517,1490,1645,1661,-107,290,-96,259,-124,736,244,21,11,-38,-22,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6603,-2136,-438,-167,2,920,-20427,2720,4843,-330,-27,-67,-103,2,0,15067,889,-153,296,15067,1572,1530,1690,1688,-186,338,-166,300,-234,694,234,0,-3,22,-2,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6650,-2387,-287,-175,139,1137,-19146,340,4233,-266,-14,-27,-94,2,0,15022,902,-119,291,15022,1579,1546,1669,1690,-69,-36,-62,-33,-174,340,255,3,-16,13,14,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6703,-2689,-67,-16,2,1090,-15361,889,1853,-215,1,-10,-90,1,0,15067,885,-39,296,15067,1579,1528,1683,1691,-139,234,-123,207,-154,502,255,9,-15,-1,-3,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6750,-2444,-33,17,10,1184,-7915,-3443,1120,-181,7,-8,-78,2,0,14978,884,-27,287,14978,1576,1519,1676,1701,-109,138,-96,122,-93,287,244,10,-18,-3,-1,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6803,-1888,-2,-203,-12,1310,-6511,-2833,1242,-93,6,-8,-51,1,0,15067,888,-7,296,15067,1567,1532,1683,1695,-154,43,-136,38,-104,156,224,0,-28,21,19,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6850,-1674,-9,111,35,960,-2300,-3382,-405,-35,9,-6,-36,2,0,15022,874,61,291,15022,1563,1514,1690,1704,-43,162,-38,142,-19,228,255,3,-22,9,1,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6903,-1249,68,-176,44,1330,507,-9852,998,0,9,-4,-21,0,0,15067,907,99,296,15067,1569,1532,1669,1710,-87,8,-79,8,84,0,224,-4,-25,27,9,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6950,-981,256,-155,-52,1325,1300,645,-588,68,29,-4,-3,1,0,15067,901,186,296,15067,1557,1522,1712,1685,-21,-50,-19,-45,25,-75,255,-15,-18,53,-7,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7003,-453,226,-143,-82,1344,10578,-3870,815,25,187,-2,-2,33,0,13884,904,201,188,13884,1571,1487,1679,1671,-18,-166,-17,-150,48,-350,214,-4,-21,21,8,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7050,168,15,-153,-57,1028,4840,-8875,-1015,107,360,-2,24,71,0,13585,912,225,159,13585,1504,1494,1696,1645,19,-13,17,-12,161,-127,234,-8,-18,26,8,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7103,504,-51,-172,30,982,11371,-17908,-710,130,389,0,34,78,0,13585,920,202,159,13585,1544,1454,1661,1676,36,-193,33,-178,348,-392,255,-18,-13,43,0,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7150,974,-862,-253,39,1213,11005,-18641,-1259,92,322,-2,35,79,0,13628,921,156,163,13628,1533,1457,1676,1670,119,-101,110,-93,518,-288,255,-14,-13,15,11,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7203,1151,-1497,-39,-61,1241,3864,-17603,-405,81,333,-2,36,92,0,13500,931,194,152,13500,1518,1485,1670,1665,32,-238,30,-221,339,-305,244,-12,-10,-7,10,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7250,971,-2130,-46,-78,989,1178,-18946,-161,103,198,-2,37,76,0,13543,940,183,155,13543,1516,1486,1637,1691,27,-236,26,-222,290,-265,255,-14,-2,-16,-11,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7303,1008,-2592,43,-43,937,8197,-14490,-283,194,122,-6,56,69,0,13543,959,171,155,13543,1530,1466,1656,1679,-74,-103,-71,-98,178,-246,224,-17,-7350,1131,-2649,31,101,947,7587,-6007,-1015,54,-224,0,30,1,0,13543,948,218,155,13543,1533,1456,1635,1703,-171,-209,-163,-198,0,-346,234,-22,-7,-17,14,150,,,,,,,,,,,,,,,,,,,,,
7403,1173,-220,1112,-7427,16453,-2053,-84,-188,-4,3,1,0,11980,973,215,4,11980,1488,1481,1703,16497503,-43,-443,-174,-105,1360,-5169,11387,205,14,-185,2,2,-29,0,11042,1006,183,0,1104,1455,1408,1601,1614,-261,-165,-262,-166,-460,-75,255,-5,1,-30,-24,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7550,-289,-12,-170,-88,902,-2727,15721,449,63,-231,0,7,-46,0,11004,1005,112,0,11004,1456,1407,1604,1609,-258,-319,-260,-321,-607,-215,224,-7,-7,-12,-2,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7603,-660,777,-70,-71,1002,-4436,19871,876,141,-207,-2,16,-55,0,10966,1008,77,0,10966,1424,1446,1610,1598,-39,-429,-403,-433,-746,-352,234,-5,2,0,-31,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7650,-379,952,-91,-67,1032,10639,14744,1669,197,-192,0,32,-55,0,10966,997,-1,0,10966,1493,1386,1596,1598,-356,-400,-355,-398,-635,-389,244,-1,-7,3,-2,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7703,-740,215,80,37,1119,16803,20482,693,256,-253,-2,38,-54,0,10928,1010,-36,0,10928,1465,1396,1616,1589,-254,-364,-257,-367,-612,-657,224,28,15,-67,-55,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7750,-75,948,-226,37,955,17108,17857,1059,383,-182,0,75,-53,0,10928,1008,-121,0,10928,1446,1427,1608,1591,-233,-443,-235,-447,-617,-684,244,-3,3,34,-7,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7803,446,1219,-23,81,746,28278,11937,632,453,-162,-2,98,-53,0,12020,987,-208,7,12020,1503,1425,1620,1635,-291,-322,-287,-318,-499,-816,224,16,18,-5,-30,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7850,1318,1392,-67,-154,1035,25226,9373,1914,296,-119,-2,82,-48,0,13206,994,-222,123,13206,1536,1480,1647,1644,-215,-490,-214,-487,-383,-1040,193,12,25,11,-26,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7903,2844,1081,175,172,820,12836,1744,1486,34,-108,-2,56,-40,0,13206,972,-313,123,13206,1525,1486,1625,1670,-341,-396,-332,-385,-372,-620,204,27,-1,-24,68,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7950,2687,1000,154,-29,1003,-1567,4124,-100,-84,80,-2,30,-1,0,13290,950,-291,132,13290,1502,1493,1672,1648,-229,-239,-218,-227,-278,-259,214,27,18,-21,15,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8003,1739,1021,-203,-96,1107,-591,-4786,-893,-1,78,0,30,-2,0,13374,945,-287,139,13374,1517,1459,1657,1666,-438,-94,-413,-89,-354,-84,224,7,31,30,-23,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8050,1330,769,-192,-71,1145,3864,-3443,-649,-7,60,2,21,-1,0,13416,919,-279,143,13416,1533,1459,1666,1661,-255,-105,-234,-96,-201,-142,234,6,26,30,-10,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8103,1376,306,28,-7,1052,507,-5579,205,-71,23,-2,9,0,0,13332,893,-343,136,13332,1528,1469,1653,1664,-145,-164,-129,-146,-48,-173,234,14,19,2,9,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8150,1007,89,14,31,1050,-9685,-8509,144,-307,217,-12,-43,41,0,13543,892,-339,155,13543,1529,1468,1670,1662,44,-16,39,-14,158,75,224,16,14,-7,16,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8203,679,51,110,44,1116,-20305,-17847,876,-373,353,0,-62,69,0,13500,856,-327,152,13500,1520,1499,1655,1660,-43,-128,-37,-109,267,225,214,0,1,24,38,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8250,-569,-806,185,-60,1133,-22869,-20472,510,-208,306,0,-51,75,0,13884,853,-309,188,13884,1517,1517,1660,1676,28,-80,24,-68,379,345,183,8,13,-12,-14,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8303,-1406,-1163,-60,54,1210,-8587,-10889,-588,56,258,0,-13,71,0,14317,804,-326,228,14317,1520,1521,1699,1667,-73,-49,-58,-40,116,100,204,-7,10,15,-21,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8350,-1114,-1082,54,94,1327,2338,-10889,144,37,285,-4,-11,76,0,14889,830,-275,280,14889,1566,1510,1705,1680,-105,-36,-87,-30,94,-103,173,-12,0,19,5,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8403,-640,-1256,17,49,1197,4596,-7777,-1381,0,162,-2,-11,54,0,14933,804,-204,284,14933,1558,1499,1699,1704,-84,-158,-68,-127,51,-238,183,-5,3,-5,0,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8450,-306,-1605,86,-143,988,-1812,-7105,-1076,-18,104,-2,-9,48,0,14933,808,-183,284,14933,1544,1518,1707,1692,-145,-78,-117,-63,16,-50,214,-1,2,-24,2,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8503,-162,-1465,-29,65,1037,1788,-6190,-1748,17,-19,0,0,21,0,15022,785,-134,291,15022,1559,1498,1698,1712,-117,-101,-92,-79,-9,-132,183,-12,0,0,9,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8550,79,-1426,-93,-81,1150,-408,-2955,-2236,7,-54,0,2,13,0,14978,792,-85,287,14978,1535,1513,1712,1702,-217,-125,-172,-99,-110,-161,183,-19,1,12,6,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8603,237,-1626,-81,55,1296,-1201,-6129,449,-10,-96,-2,2,9,0,14933,774,-94,284,14933,1557,1527,1674,1712,-280,-86,-216,-67,-173,-65,224,-9,0,-15,12,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8650,200,-1500,-33,-34,1216,79,1500,-1381,-14,-123,0,0,1,0,14978,769,-37,287,14978,1550,1508,1703,1703,-330,-126,-253,-97,-367,-135,204,-13,2,-6,3,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8703,209,-1259,-175,-112,1290,-530,-1002,-893,-14,-99,-4,0,2,0,14978,792,32,287,14978,1547,1514,1694,1710,-347,-50,-275,-39,-329,-41,193,-16,5,4,-4,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8750,128,-1044,-45,-48,949,-957,2904,-2297,-7,-84,2,0,1,0,15022,801,102,291,15022,1542,1500,1709,1706,-323,-142,-259,-113,-393,-125,224,-14,7,0,-11,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8803,233,-675,-4,0,932,873,-269,-1748,56,-76,0,15,-3,0,15022,792,114,291,15022,1544,1508,1698,1717,-435,-147,-345,-116,-431,-162,214,-17,-1,10,15,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8850,268,-154,-22,23,1012,4108,6260,-2480,119,-90,-2,28,-15,0,14978,794,149,287,14978,1538,1498,1715,1708,-385,-29,-306,-23,-440,-42,214,-17,4,14,-2,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8903,596,26,195,92,920,9601,10777,-1809,206,-102,-2,51,-20,0,15022,811,213,291,15022,1546,1496,1720,1694,-428,141,-347,114,-616,-26,214,-3,0,-17,16,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8950,993,167,152,22,986,10822,6749,21,150,-62,-2,47,-15,0,14978,815,222,287,14978,1558,1512,1695,1702,-528,-76,-430,-62,-692,-346,183,3,0,-27,23,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9003,1737,735,16,117,891,8380,6322,-649,5,60,2,31,0,0,15022,828,242,291,15022,1563,1501,1709,1695,-577,-6,-478,-5,-688,-152,204,-6,-4,6,47,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9050,1928,931,-29,-44,1136,-774,1256,-527,-84,77,0,16,0,0,14978,864,317,287,14978,1556,1507,1701,1701,-479,-100,-414,-87,-533,-91,244,-8,-3,15,47,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9103,1598,600,-200,110,1072,-6633,-147,-1076,-135,55,0,0,0,0,14978,875,330,287,14978,1546,1511,1715,1695,-415,27,-363,24,-413,143,224,-12,2,26,28,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9150,1071,577,-32,107,1031,-5779,7359,-954,-90,50,-2,0,0,0,15022,897,383,291,15022,1557,1499,1721,1690,-399,-34,-358,-31,-537,127,193,-3,3,6,18,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9203,794,402,158,168,853,-6755,2598,-161,-69,35,-2,0,0,0,15022,906,409,291,15022,1550,1518,1707,1695,-516,95,-468,86,-562,213,224,12,-4,-33,34,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
