c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,-58,234,54,25,1030,-274,-411,-946,1,26,-2,0,0,0,0,37,-8,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,3,-9,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,263,245,-39,104,993,885,259,762,2,19,0,0,0,0,0,49,-10,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,3,27,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,-159,308,-4,-129,995,-823,198,-823,-11,20,0,0,0,0,0,47,-1,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,8,-22,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,-87,237,38,108,974,579,625,-335,21,25,-2,0,0,0,0,42,-6,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,0,-3,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,186,172,-49,-31,1051,-396,442,1007,-4,11,2,0,0,0,0,54,-40,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,0,24,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,-267,177,-15,-106,950,-1068,15,-1312,-2,6,0,0,0,0,0,51,2,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,6,-30,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,8,55,14,167,1064,1861,-473,396,25,7,-4,0,0,0,0,52,19,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,-5,11,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,-48,223,-53,-127,1003,-762,15,1251,-10,9,0,0,0,0,0,36,-16,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,14,-2,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,-270,163,47,29,949,-1434,15,-1983,16,14,0,0,0,0,0,42,-44,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,3,-24,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,219,80,-33,138,1013,1495,564,1495,13,4,0,0,0,0,0,40,-23,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,-1,-3,34,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,-48,205,-8,-164,1092,-1129,320,-335,-25,13,2,0,0,0,0,60,-7,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,11,-9,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,-9,47,47,84,959,701,-473,-396,15,17,2,0,0,0,0,57,49,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,-7,-1,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,302,116,-70,-36,976,2166,442,2227,-9,0,-4,0,0,0,0,53,18,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,-1,3,28,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,-68,274,16,-132,1075,-1495,-900,-2838,-24,28,2,0,0,0,0,71,56,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,14,-21,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1403,240,92,-25,176,939,1007,137,1251,4,7,0,0,0,0,0,54,-5,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,-7,17,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,239,239,-55,-95,999,30,-595,91,-27,6,-2,0,0,0,0,42,-9,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,11,6,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,-11,-30,67,30,943,-1495,-656,-2166,-8,12,0,0,0,0,0,58,-24,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,-13,-19,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551,469,66,-69,129,994,946,686,2960,-7,-6,0,0,0,0,0,58,-11,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,-1,4,36,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,153,167,22,-169,987,-1190,-106,-1007,-40,10,0,0,0,0,0,50,-2,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,11,-11,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
