80
80451 -1.892090 1.647949 -1.037598 0.166504 0.132324 0.810059
80508 -1.892090 1.708984 -0.976562 0.161621 0.135254 0.816406
80565 -1.892090 1.708984 -1.037598 0.159668 0.139160 0.809570
80622 -1.953125 1.708984 -1.037598 0.161621 0.138184 0.818359
80679 -1.892090 1.647949 -1.098633 0.160645 0.133789 0.808105
80736 -1.953125 1.586914 -1.037598 0.170410 0.133301 0.825195
80793 -2.014160 1.647949 -1.098633 0.169434 0.131348 0.815430
80850 -1.953125 1.647949 -1.037598 0.158691 0.137695 0.818848
80907 -1.953125 1.647949 -1.098633 0.163574 0.133301 0.821289
80964 -1.892090 1.586914 -1.037598 0.165039 0.145996 0.819336
81021 -1.953125 1.647949 -1.037598 0.169434 0.133789 0.814453
81078 -1.892090 1.647949 -1.037598 0.165527 0.137695 0.811523
81135 -1.892090 1.586914 -1.037598 0.167480 0.134766 0.808105
81192 -1.892090 1.586914 -1.037598 0.161621 0.126465 0.824219
81249 -1.892090 1.647949 -1.037598 0.165527 0.136230 0.824707
81306 -1.892090 1.647949 -1.037598 0.161133 0.135742 0.827637
81363 -1.892090 1.647949 -0.915527 0.157227 0.139648 0.826172
81420 -1.953125 1.708984 -1.037598 0.162598 0.121094 0.827148
81477 -1.892090 1.647949 -1.159668 0.167969 0.135742 0.829102
81533 -1.831055 1.586914 -1.037598 0.162598 0.156250 0.857422
81590 -1.953125 1.708984 -0.976562 0.173828 0.149414 0.826660
81647 -1.892090 1.647949 -1.159668 0.161133 0.148926 0.831055
81704 -1.953125 1.647949 -1.098633 0.161621 0.153809 0.808594
81761 -1.953125 1.708984 -0.915527 0.161133 0.143555 0.812988
81818 -1.892090 1.647949 -1.098633 0.150391 0.125000 0.840820
81875 -1.892090 1.586914 -1.159668 0.183105 0.116699 0.807129
81932 -2.014160 1.647949 -0.976562 0.156250 0.130859 0.863770
81989 -1.892090 1.647949 -1.037598 0.182129 0.140625 0.822754
82046 -1.953125 1.586914 -1.159668 0.169434 0.131348 0.788574
82103 -1.892090 1.647949 -0.976562 0.161621 0.135742 0.811035
82160 -1.953125 1.708984 -0.976562 0.171387 0.129395 0.817871
82217 -1.892090 1.647949 -1.037598 0.161133 0.134766 0.815918
82274 -2.014160 1.647949 -1.098633 0.157715 0.139160 0.821777
82331 -1.892090 1.647949 -0.976562 0.167480 0.143066 0.812988
82388 -1.953125 1.647949 -1.098633 0.166016 0.132812 0.813477
82445 -1.892090 1.586914 -1.037598 0.169922 0.135254 0.811523
82502 -1.953125 1.647949 -1.037598 0.162598 0.133301 0.811523
82559 -1.892090 1.647949 -1.037598 0.164062 0.139648 0.824219
82616 -1.892090 1.586914 -1.037598 0.159668 0.133789 0.809570
82673 -1.953125 1.647949 -1.037598 0.166504 0.139160 0.833008
82730 -1.953125 1.647949 -1.037598 0.164551 0.133301 0.825684
82787 -1.953125 1.647949 -1.037598 0.170410 0.143066 0.816895
82844 -1.831055 1.647949 -1.037598 0.158691 0.141602 0.806641
82901 -1.892090 1.708984 -1.098633 0.162109 0.132812 0.811523
82958 -1.892090 1.586914 -1.098633 0.164551 0.136719 0.821777
83015 -1.892090 1.647949 -1.037598 0.164551 0.132812 0.820801
83072 -1.831055 1.647949 -1.037598 0.166992 0.130859 0.821289
83128 -1.892090 1.586914 -1.037598 0.158203 0.135254 0.813477
83185 -1.953125 1.647949 -1.037598 0.166016 0.134766 0.815430
83242 -1.892090 1.586914 -1.159668 0.165039 0.136230 0.819336
83299 -1.892090 1.647949 -1.037598 0.161621 0.133301 0.819336
83356 -1.892090 1.708984 -1.098633 0.151367 0.138672 0.819824
83413 -1.953125 1.647949 -1.098633 0.163574 0.134766 0.819336
83470 -1.892090 1.647949 -1.037598 0.168945 0.132324 0.825195
83527 -1.892090 1.647949 -1.037598 0.162598 0.127930 0.834961
83584 -1.892090 1.647949 -1.037598 0.163086 0.129395 0.808594
83641 -1.953125 1.647949 -1.037598 0.166016 0.142090 0.824707
83698 -1.892090 1.647949 -1.037598 0.164551 0.132324 0.823730
