60750 -1.892090 1.525879 -1.098633 0.115723 0.152832 0.827148 ␊
60767 -1.953125 1.464844 -1.037598 0.121582 0.141602 0.825195 ␊
60784 -1.953125 1.464844 -1.037598 0.116211 0.147461 0.820312 ␊
60801 -1.892090 1.525879 -1.037598 0.126953 0.154297 0.831055 ␊
60818 -1.892090 1.525879 -1.037598 0.112305 0.145020 0.813965 ␊
60835 -1.892090 1.464844 -1.037598 0.118652 0.145020 0.822754 ␊
60852 -1.892090 1.464844 -1.037598 0.118652 0.145020 0.822754 ␊
60869 -1.892090 1.403809 -1.037598 0.121582 0.144531 0.812988 ␊
60887 -1.892090 1.464844 -1.037598 0.119629 0.146973 0.823242 ␊
60904 -1.892090 1.464844 -1.037598 0.115234 0.147461 0.815918 ␊
60921 -1.953125 1.464844 -0.976562 0.118652 0.142090 0.820801 ␊
60938 -1.953125 1.464844 -1.037598 0.120117 0.142578 0.831543 ␊
60955 -1.892090 1.464844 -1.037598 0.114746 0.146484 0.806152 ␊
60972 -1.892090 1.464844 -1.037598 0.114746 0.146484 0.806152 ␊
60989 -1.892090 1.464844 -0.976562 0.112305 0.145508 0.823730 ␊
61006 -1.892090 1.525879 -0.976562 0.105469 0.144043 0.815918 ␊
61023 -1.953125 1.525879 -1.037598 0.116699 0.144043 0.819336 ␊
61040 -1.953125 1.525879 -1.037598 0.110840 0.142578 0.814453 ␊
61057 -1.892090 1.525879 -1.037598 0.113770 0.146484 0.819336 ␊
61074 -1.892090 1.525879 -1.037598 0.106445 0.146484 0.824707 ␊
61091 -1.953125 1.464844 -1.037598 0.106445 0.146484 0.824707 ␊
61108 -1.892090 1.525879 -1.037598 0.118652 0.147949 0.816895 ␊
61125 -1.831055 1.464844 -1.037598 0.115723 0.147949 0.830566 ␊
61142 -1.892090 1.464844 -0.976562 0.116699 0.147949 0.816406 ␊
61159 -1.892090 1.464844 -1.037598 0.123047 0.138184 0.820312 ␊
61176 -1.831055 1.525879 -1.037598 0.119141 0.146484 0.819824 ␊
61193 -1.831055 1.525879 -1.037598 0.119141 0.146484 0.819824 ␊
61210 -1.892090 1.464844 -1.037598 0.112793 0.142090 0.820801 ␊
61227 -1.892090 1.464844 -0.976562 0.117188 0.152832 0.830566 ␊
61244 -1.892090 1.525879 -0.976562 0.119141 0.147949 0.823730 ␊
61261 -1.892090 1.525879 -1.037598 0.114746 0.138184 0.822754 ␊
61278 -1.953125 1.525879 -1.037598 0.125977 0.160156 0.830078 ␊
61295 -1.953125 1.464844 -1.037598 0.116699 0.145020 0.828125 ␊
61312 -1.953125 1.464844 -1.037598 0.116699 0.145020 0.828125 ␊
61329 -1.953125 1.525879 -0.976562 0.118164 0.151367 0.824219 ␊
61346 -1.953125 1.525879 -1.037598 0.115723 0.148438 0.812012 ␊
61363 -1.892090 1.464844 -1.037598 0.116211 0.149902 0.828613 ␊
61380 -1.892090 1.525879 -1.037598 0.111816 0.144043 0.827637 ␊
61397 -1.892090 1.525879 -0.976562 0.121582 0.145020 0.834961 ␊
61414 -1.892090 1.525879 -0.976562 0.118652 0.142090 0.826172 ␊
61431 -1.892090 1.464844 -0.976562 0.118652 0.142090 0.826172 ␊
61448 -1.892090 1.525879 -0.976562 0.124512 0.154785 0.817871 ␊
61465 -1.953125 1.525879 -1.037598 0.123535 0.145508 0.826172 ␊
61482 -1.892090 1.464844 -1.037598 0.125977 0.156250 0.823730 ␊
