c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
2076,285,126,35,85,1001,1254,166,3527,-23,18,2,-1,0,195,1261,55,-8,-820,1261,1150,1150,1225,1197,0,0,0,0,0,0,0,111
2126,222,222,20,-74,925,-1431,1021,-3674,-32,25,4,0,0,229,1739,70,7,-684,1739,1200,1169,1150,1150,0,0,0,0,0,0,0,112
2176,245,311,-136,0,964,-698,2119,353,-29,12,6,-1,0,230,1754,69,2,-684,1739,1150,1154,1188,1223,0,0,0,0,0,0,0,110
2226,148,48,-11,100,1016,643,-2213,-3430,-9,4,4,-1,0,248,2039,72,52,-608,2039,1248,1232,1150,1150,0,0,0,0,0,0,0,112
2276,118,160,54,-14,1019,216,-2274,-2637,-22,20,4,-2,0,284,2675,57,-9,-528,2382,1290,1289,1153,1150,0,0,0,0,0,0,0,114
2326,215,308,63,-63,952,1254,1143,3222,-32,33,4,-1,0,297,2925,59,-1,-412,2925,1257,1258,1246,1225,0,0,0,0,0,0,0,112
2376,246,223,-40,40,1096,521,-748,-4224,-21,16,2,0,0,331,3633,38,-57,-279,3612,1298,1316,1264,1236,0,0,0,0,0,0,0,113
2426,-9,147,-58,51,1127,-1126,-1725,-4102,-1,8,4,-1,0,369,4516,64,0,-124,4516,1351,1322,1248,1272,0,0,0,0,0,0,0,112
2476,-29,108,84,-36,982,-332,1814,3099,-8,21,4,-1,0,400,5306,64,9,0,5306,1309,1356,1390,1340,0,0,0,0,0,0,0,107
2526,80,-77,8,14,1138,1498,471,1879,-8,-2,4,0,0,401,5333,39,-50,0,5333,1345,1308,1335,1404,0,0,0,0,0,0,0,105
2576,5,-216,-60,-62,1416,949,-1176,-1660,-11,-16,2,-1,1,426,6019,51,-18,0,6047,1390,1368,1344,1403,0,0,0,0,0,0,0,113
2626,165,-162,-101,56,1278,1925,-8134,-256,-16,-18,4,-1,0,438,6363,49,-5,0,6363,1428,1392,1285,1428,0,0,0,0,0,0,0,114
2676,95,-515,27,-6,789,704,-6425,-2759,-16,-39,6,-1,0,463,7110,57,-15,0,7079,1451,1416,1365,1412,0,0,0,0,0,0,0,111
2726,24,-386,-12,-24,910,1742,1021,597,-7,-32,4,0,0,463,7110,33,-24,0,7110,1412,1418,1432,1389,0,0,0,0,0,0,0,109
2776,273,-189,-43,154,715,1986,-3312,475,-8,-14,2,-1,1,470,7326,70,13,0,7264,1405,1407,1415,1444,0,0,0,0,0,0,0,111
2826,100,-416,81,-95,1182,-3384,2302,-2332,-25,-27,2,-1,0,500,8292,36,12,0,8292,1448,1412,1435,1420,0,0,0,0,0,0,0,114
2876,161,-529,-10,-80,1175,-698,-3678,-1660,-28,-46,4,-1,0,499,8258,48,-34,0,8292,1463,1457,1429,1450,0,0,0,0,0,0,0,116
2926,174,-534,-52,-44,1269,-2774,-748,-1965,-30,-51,6,-2,0,499,8258,36,-38,0,8258,1436,1460,1440,1462,0,0,0,0,0,0,0,116
2976,288,-411,-42,-95,954,460,2180,1390,-46,-42,4,-2,0,531,9352,57,22,0,9003,1447,1431,1470,1531,0,0,0,0,0,0,0,111
3026,224,-779,8,63,818,3329,1265,48,-21,-65,0,-2,0,530,9316,45,-7,0,9316,1479,1473,1488,1483,0,0,0,0,0,0,0,107
3076,109,-361,0,-119,1085,155,2058,-3919,-27,-29,0,-1,0,566,10625,34,-55,0,10663,1534,1508,1510,1515,0,0,0,0,0,0,0,115
3126,405,-394,-84,0,922,-1248,1509,536,-40,-45,0,0,0,566,10625,61,33,0,10625,1508,1485,1531,1542,0,0,0,0,0,0,0,111
3176,-111,-410,29,-224,815,-515,-1298,-1538,-24,-28,2,-1,0,576,11004,90,92,0,11042,1498,1467,1550,1586,0,0,0,0,0,0,0,117
3226,339,-1069,262,64,726,-3079,-5204,-4712,-29,-54,0,-1,0,586,11389,100,52,0,11389,1501,1525,1521,1558,0,0,0,0,0,0,0,118
