26,110,207,89,-91,1023,0,494,-5685,-18,27,0,0,0,0,0,56,344,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,-85,51,-2,-15,1006,-1038,-238,-9,9,4,0,0,0,0,0,78,304,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,151,334,-32,31,1030,1036,1104,296,-6,29,0,0,0,0,0,57,206,-1600,0,1150,1150,1150,1168,0,0,0,0,0,0,0,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,-66,-36,77,-66,961,-1099,-1092,-3488,1,5,0,0,0,0,0,96,210,-1600,0,1164,1150,1150,1150,0,0,0,0,0,0,0,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,177,269,-63,94,1026,1342,372,4202,-2,20,0,0,0,0,0,71,136,-1600,0,1150,1150,1158,1168,0,0,0,0,0,0,0,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,-6,-76,149,-112,987,0,6,-5197,-11,8,0,0,0,0,0,95,83,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,107,184,-122,65,967,731,1287,4751,1,2,0,0,0,0,0,55,37,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,37,74,46,-47,1045,0,-54,-1473,0,14,0,1,0,0,0,69,43,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,51,-36,-22,83,1025,1036,-1641,1211,4,-4,-2,0,0,0,0,127,29,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,108,128,-60,36,960,548,860,2493,-5,4,-2,0,0,0,0,76,49,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,-4,-30,31,-10,1030,-1038,-1031,-2999,5,0,-2,1,0,0,0,64,-1,-1600,0,1154,1150,1150,1150,0,0,0,0,0,0,0,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,71,67,-80,49,1003,1403,189,4812,2,-2,2,0,0,0,0,117,76,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
