996563 -8.392080 ␊
996576 -8.386683 ␊
996589 -8.381391 ␊
996603 -8.365205 ␊
996616 -8.373565 ␊
996629 -8.381758 ␊
996642 -8.384599 ␊
996655 -8.378086 ␊
996668 -8.371704 ␊
996681 -8.372066 ␊
996694 -8.374177 ␊
996708 -8.376246 ␊
996721 -8.374163 ␊
996734 -8.376666 ␊
996747 -8.379119 ␊
996760 -8.360187 ␊
996773 -8.342316 ␊
996786 -8.324800 ␊
996800 -8.315845 ␊
996813 -8.318313 ␊
996826 -8.327797 ␊
996839 -8.354377 ␊
996852 -8.380425 ␊
996865 -8.403354 ␊
996878 -8.378416 ␊
996891 -8.353977 ␊
996905 -8.329868 ␊
996918 -8.300171 ␊
996931 -8.271068 ␊
996944 -8.247465 ␊
996957 -8.251478 ␊
996970 -8.255411 ␊
996983 -8.282422 ␊
996996 -8.296021 ␊
997010 -8.309346 ␊
997023 -8.310080 ␊
997036 -8.297289 ␊
997049 -8.284754 ␊
997062 -8.282039 ␊
997075 -8.283769 ␊
997088 -8.285464 ␊
997101 -8.293255 ␊
997115 -8.298476 ␊
997128 -8.303592 ␊
997141 -8.316033 ␊
997154 -8.319019 ␊
997167 -8.321946 ␊
997180 -8.322120 ␊
997193 -8.319550 ␊
997207 -8.316245 ␊
997220 -8.318985 ␊
997233 -8.310061 ␊
997246 -8.302100 ␊
997259 -8.409721 ␊
997272 -8.515190 ␊
997285 -8.459964 ␊
997298 -8.046877 ␊
997312 -7.642085 ␊
997325 -6.920881 ␊
997338 -5.957833 ␊
997351 -5.013973 ␊
997364 -3.819391 ␊
997377 -2.418014 ␊
997390 -1.044665 ␊
997403 0.502755 ␊
997416 2.208547 ␊
997430 3.880348 ␊
997443 5.694922 ␊
997456 7.572553 ␊
997469 9.413033 ␊
997482 11.244390 ␊
997495 12.979864 ␊
997508 14.680872 ␊
997521 16.203365 ␊
997534 17.480734 ␊
997547 18.732643 ␊
997560 19.702591 ␊
997574 20.676846 ␊
997587 21.282530 ␊
997600 21.476812 ␊
997613 21.667135 ␊
997626 21.470211 ␊
997639 20.852573 ␊
997652 20.247290 ␊
997666 19.234968 ␊
997679 17.816813 ␊
997692 16.426481 ␊
997705 14.658808 ␊
997718 12.558636 ␊
997731 10.500154 ␊
997744 8.177429 ␊
997757 5.645815 ␊
997770 3.164645 ␊
997783 0.487182 ␊
997796 -2.334099 ␊
997810 -5.116156 ␊
997823 -7.965117 ␊
997836 -10.807704 ␊
997849 -13.610521 ␊
997862 -16.376020 ␊
997876 -19.070118 ␊
997889 -21.709764 ␊
997902 -24.229179 ␊
997915 -26.519382 ␊
997928 -28.763781 ␊
997942 -30.733444 ␊
997955 -32.373486 ␊
997968 -33.981064 ␊
997981 -35.278584 ␊
997994 -36.210247 ␊
998008 -37.123219 ␊
998021 -37.658222 ␊
998034 -38.185658 ␊
998047 -38.323185 ␊
998061 -38.031532 ␊
998074 -37.718533 ␊
998087 -37.043285 ␊
998100 -35.997425 ␊
998113 -34.972481 ␊
998127 -33.588478 ␊
998140 -31.857712 ␊
998153 -30.160915 ␊
998166 -28.155928 ␊
998179 -25.892456 ␊
998193 -23.674088 ␊
998206 -21.220037 ␊
998219 -18.594896 ␊
998232 -16.021694 ␊
998246 -13.318865 ␊
998259 -10.559041 ␊
998272 -7.853825 ␊
998285 -5.149566 ␊
998298 -2.492202 ␊
998311 0.111828 ␊
998324 2.593258 ␊
998337 4.907098 ␊
998350 7.174499 ␊
998364 9.198736 ␊
998377 10.980490 ␊
998390 12.737574 ␊
998403 14.217740 ␊
998416 15.336489 ␊
998429 16.432631 ␊
998442 17.187101 ␊
998455 17.588858 ␊
998468 17.982578 ␊
998482 18.014601 ␊
998495 17.665842 ␊
998508 17.324118 ␊
998521 16.607340 ␊
998534 15.868399 ␊
998547 14.806689 ␊
998560 13.403959 ␊
998574 12.029390 ␊
998587 10.345281 ␊
998600 8.372978 ␊
998613 6.452859 ␊
998626 4.302176 ␊
998639 1.953496 ␊
998652 -0.348210 ␊
998665 -2.826906 ␊
998678 -5.388914 ␊
998691 -7.900054 ␊
998704 -10.462292 ␊
998718 -13.039029 ␊
998731 -15.564048 ␊
998744 -18.028893 ␊
998757 -20.395287 ␊
998771 -22.714684 ␊
998784 -24.864672 ␊
998797 -26.804216 ␊
998810 -28.705641 ␊
998823 -30.351782 ␊
998837 -31.708097 ␊
998850 -33.037289 ␊
998863 -34.062740 ␊
998876 -34.743713 ␊
998889 -35.411068 ␊
998903 -35.710129 ␊
998916 -35.648064 ␊
998929 -35.587162 ␊
998942 -35.177742 ␊
998956 -34.401417 ␊
998969 -33.640739 ␊
998982 -32.548470 ␊
998995 -31.130684 ␊
999008 -29.741467 ␊
999022 -28.055811 ␊
999035 -26.333799 ␊
999048 -24.422850 ␊
999061 -22.279047 ␊
999075 -20.107197 ␊
999088 -17.838417 ␊
999101 -15.417569 ␊
999114 -13.044964 ␊
999127 -10.574414 ␊
999141 -8.079920 ␊
999154 -5.650961 ␊
999167 -3.247426 ␊
999180 -0.901782 ␊
999193 1.397780 ␊
999206 3.543683 ␊
999219 5.528220 ␊
999232 7.472646 ␊
999245 9.190609 ␊
999258 10.669725 ␊
999271 12.128109 ␊
999285 13.275943 ␊
999298 14.138391 ␊
999311 14.983592 ␊
999324 15.494535 ␊
999337 15.661039 ␊
999350 15.824259 ␊
999363 15.668801 ␊
999376 15.156725 ␊
999390 14.654809 ␊
999403 13.828788 ␊
999416 12.672956 ␊
999429 11.540240 ␊
999442 10.115866 ␊
999455 8.657495 ␊
999468 6.999829 ␊
999481 5.118991 ␊
999494 3.275770 ␊
999507 1.233778 ␊
999520 -0.952482 ␊
999534 -3.109128 ␊
999547 -5.403263 ␊
999560 -7.735981 ␊
999573 -10.022215 ␊
999586 -12.361586 ␊
999599 -14.668293 ␊
999613 -16.928373 ␊
999626 -19.112976 ␊
999639 -21.167538 ␊
999652 -23.180864 ␊
999666 -25.015182 ␊
999679 -26.628235 ␊
999692 -28.208803 ␊
999705 -29.554733 ␊
999718 -30.607964 ␊
999732 -31.639847 ␊
999745 -32.384819 ␊
999758 -32.806328 ␊
999771 -33.219360 ␊
999784 -33.312885 ␊
999798 -33.059364 ␊
999811 -32.810913 ␊
999824 -32.245361 ␊
999837 -31.367361 ␊
999851 -30.506508 ␊
999864 -29.332556 ␊
999877 -27.882748 ␊
999890 -26.462044 ␊
999903 -24.789499 ␊
999917 -22.897738 ␊
999930 -21.043398 ␊
999943 -19.002756 ␊
999956 -16.827028 ␊
999969 -14.694346 ␊
999983 -12.456851 ␊
999996 -10.174767 ␊
1000009 -7.925048 ␊
1000022 -5.689502 ␊
1000036 -3.419559 ␊
1000049 -1.270772 ␊
1000062 0.770420 ␊
1000075 2.811017 ␊
1000088 4.649333 ␊
1000101 6.298948 ␊
1000115 7.915806 ␊
