6550164 1128 6550156 0.15
6598876 1152 48712 20.53
6630212 1156 31336 31.91
6657016 1168 26804 37.31
6681240 1168 24224 41.28
6703768 1168 22528 44.39
6725140 1176 21368 46.80
6745676 1176 20540 48.69
6765560 1176 19884 50.29
6784896 1176 19332 51.73
6803772 1176 18880 52.97
6822244 1176 18468 54.15
6840176 1176 17932 55.77
6857156 1176 16980 58.89
6873348 1176 16192 61.76
6888916 1176 15572 64.22
6903996 1176 15080 66.31
6918672 1176 14676 68.14
6933012 1176 14340 69.74
6947064 1176 14048 71.18
6960864 1176 13804 72.44
6974444 1176 13580 73.64
6987836 1176 13392 74.67
7001060 1176 13220 75.64
7014128 1176 13072 76.50
7027060 1176 12932 77.33
7039872 1176 12812 78.05
7052568 1176 12696 78.76
7065160 1176 12588 79.44
7077656 1176 12500 80.00
7090068 1176 12412 80.57
7102404 1176 12332 81.09
7114660 1176 12260 81.57
7126856 1176 12192 82.02
7138972 1192 12120 82.51
7151000 1196 12028 83.14
7162908 1196 11908 83.98
7174676 1208 11768 84.98
7186292 1228 11616 86.09
7197720 1228 11424 87.54
7208968 1236 11244 88.94
7220020 1248 11056 90.45
7230888 1248 10868 92.01
7241568 1260 10680 93.63
7252060 1260 10496 95.27
7262392 1260 10332 96.79
7272576 1260 10184 98.19
7282620 1260 10044 99.56
7292536 1260 9916 100.85
7302344 1260 9808 101.96
7312060 1260 9716 102.92
7321684 1260 9624 103.91
7331232 1260 9544 104.78
7340704 1260 9476 105.53
7350112 1256 9408 106.29
7359456 1256 9344 107.02
7368744 1260 9288 107.67
7377980 1260 9236 108.27
7387168 1268 9188 108.84
7396312 1268 9144 109.36
7405416 1264 9104 109.84
7414480 1264 9060 110.38
7423508 1260 9028 110.77
7432500 1260 8996 111.16
7441460 1264 8960 111.61
7450388 1264 8928 112.01
7459284 1268 8896 112.41
7468144 1268 8860 112.87
7476964 1280 8816 113.43
7485736 1280 8772 114.00
7494460 1296 8728 114.57
7503128 1296 8668 115.37
7511748 1304 8620 116.01
7520304 1304 8556 116.88
7528800 1308 8496 117.70
7537244 1308 8440 118.48
7545632 1308 8392 119.16
7553976 1308 8340 119.90
7562272 1316 8300 120.48
7570528 1316 8256 121.12
7578736 1324 8208 121.83
7586904 1324 8164 122.49
7595024 1324 8124 123.09
7603104 1332 8080 123.76
7611148 1332 8044 124.32
7619148 1336 8000 125.00
7627112 1336 7964 125.57
7635036 1344 7924 126.20
7642924 1344 7884 126.84
7650768 1352 7848 127.42
7658572 1352 7804 128.14
7666340 1352 7768 128.73
7674072 1364 7728 129.40
7681756 1364 7688 130.07
7689404 1376 7644 130.82
7697004 1376 7600 131.58
7704560 1396 7560 132.28
7712080 1396 7516 133.05
7719548 1396 7472 133.83
7726976 1412 7428 134.63
7734356 1412 7376 135.57
7741692 1432 7336 136.31
7748976 1432 7288 137.21
7756216 1432 7240 138.12
7763412 1444 7192 139.04
7770560 1444 7148 139.90
7777664 1464 7108 140.69
7784728 1464 7064 141.56
7791748 1464 7016 142.53
7798724 1472 6980 143.27
7805664 1472 6940 144.09
7812576 1500 6908 144.76
7819448 1500 6876 145.43
7826288 1500 6840 146.20
7833096 1508 6808 146.89
7839868 1508 6772 147.67
7846608 1508 6740 148.37
7853324 1524 6712 148.99
7860004 1524 6684 149.61
7866656 1532 6652 150.33
7873284 1532 6628 150.88
7879888 1532 6604 151.42
7886468 1548 6580 151.98
7893024 1548 6556 152.53
7899560 1548 6536 153.00
7906072 1560 6512 153.56
7912568 1560 6492 154.04
7919040 1560 6476 154.42
7925496 1572 6456 154.89
7931940 1572 6440 155.28
7938364 1584 6424 155.67
7944772 1584 6412 155.96
7951168 1584 6392 156.45
7957544 1596 6380 156.74
7963908 1596 6364 157.13
7970260 1596 6348 157.53
7976592 1608 6336 157.83
7982916 1608 6324 158.13
7989224 1608 6308 158.53
7995524 1620 6296 158.83
8001812 1620 6288 159.03
8008088 1620 6276 159.34
8014352 1640 6268 159.54
8020604 1640 6252 159.95
8026844 1640 6240 160.26
8033076 1648 6232 160.46
8039296 1648 6220 160.77
8045504 1648 6208 161.08
8051704 1672 6200 161.29
8057892 1672 6188 161.60
8064068 1672 6176 161.92
8070232 1676 6164 162.23
8076388 1676 6156 162.44
8082536 1700 6148 162.65
8088672 1700 6136 162.97
8094800 1700 6128 163.19
8100920 1708 6120 163.40
8107028 1708 6108 163.72
8113132 1708 6100 163.93
8119224 1716 6096 164.04
8125308 1716 6084 164.37
8131388 1716 6080 164.47
8137460 1744 6068 164.80
8143524 1744 6068 164.80
8149580 1744 6056 165.13
8155632 1756 6048 165.34
8161676 1756 6044 165.45
8167708 1756 6036 165.67
8173736 1764 6028 165.89
8179764 1764 6024 166.00
8185780 1764 6020 166.11
8191796 1780 6016 166.22
8197808 1780 6008 166.44
8203812 1780 6008 166.44
8209812 1792 6000 166.67
8215808 1792 5996 166.78
8221800 1792 5992 166.89
8227784 1808 5984 167.11
8233768 1808 5984 167.11
8239744 1808 5976 167.34
8245716 1816 5972 167.45
8251684 1816 5968 167.56
8257644 1816 5960 167.79
8263604 1840 5960 167.79
8269556 1840 5952 168.01
8275500 1840 5940 168.35
8281436 1852 5940 168.35
8287360 1852 5924 168.80
8293284 1852 5920 168.92
8299196 1872 5916 169.03
8305104 1872 5904 169.38
8310996 1872 5896 169.61
8316884 1880 5888 169.84
8322764 1880 5876 170.18
8328632 1880 5872 170.30
8334496 1880 5864 170.53
8340328 1900 5828 171.59
8346092 1900 5764 173.49
8351816 1900 5724 174.70
8357512 1912 5700 175.44
8363196 1912 5684 175.93
8368868 1912 5672 176.30
8374540 1924 5672 176.30
8380208 1924 5668 176.43
8385876 1924 5668 176.43
8391544 1944 5664 176.55
8397208 1944 5664 176.55
8402872 1944 5664 176.55
8408532 1972 5664 176.55
8414196 1972 5664 176.55
8419860 1972 5664 176.55
8425524 1984 5664 176.55
8431188 1984 5664 176.55
8436852 1984 5664 176.55
8442516 1984 5660 176.68
8448176 2000 5664 176.55
8453840 2000 5664 176.55
8459504 2000 5664 176.55
8465168 2012 5664 176.55
8470832 2012 5664 176.55
8476496 2012 5660 176.68
8482156 2012 5664 176.55
8487820 2012 5660 176.68
8493484 2012 5664 176.55
8499144 2012 5664 176.55
8504808 2012 5660 176.68
8510480 2012 5668 176.43
8516136 2012 5660 176.68
8521800 2012 5664 176.55
8527460 2012 5664 176.55
8533124 2016 5660 176.68
8538784 2016 5664 176.55
8544448 2016 5660 176.68
8550112 2016 5664 176.55
8555772 2012 5664 176.55
8561436 2012 5664 176.55
8567100 2012 5660 176.68
8572760 2016 5664 176.55
8578424 2016 5664 176.55
8584088 2016 5664 176.55
8589752 2008 5664 176.55
8595416 2008 5660 176.68
8601076 2008 5664 176.55
8606740 2012 5664 176.55
8612404 2012 5664 176.55
8618068 2012 5664 176.55
8623732 2016 5664 176.55
8629392 2016 5660 176.68
8635056 2016 5664 176.55
8640720 2016 5664 176.55
8646384 2012 5664 176.55
8652048 2012 5664 176.55
8657712 2012 5660 176.68
8663372 2016 5664 176.55
8669036 2016 5664 176.55
8674700 2016 5664 176.55
8680364 2016 5660 176.68
8686024 2016 5664 176.55
8691688 2016 5664 176.55
8697352 2004 5664 176.55
8703016 2004 5660 176.68
8708676 2004 5664 176.55
8714340 2008 5664 176.55
8720000 2008 5660 176.68
8725664 2008 5664 176.55
8731332 2016 5664 176.55
8736992 2016 5664 176.55
8742656 2016 5660 176.68
8748316 2016 5664 176.55
8753980 2012 5660 176.68
8759640 2012 5664 176.55
8765304 2012 5664 176.55
8770968 2016 5664 176.55
8776632 2016 5660 176.68
8782292 2016 5664 176.55
8787956 2016 5664 176.55
8793620 2016 5660 176.68
8799280 2016 5664 176.55
8804940 2016 5660 176.68
8810604 2016 5664 176.55
8816264 2016 5660 176.68
8821928 2012 5660 176.68
8827588 2012 5664 176.55
8833252 2012 5664 176.55
8838916 2012 5664 176.55
8844580 2012 5664 176.55
8850244 2012 5664 176.55
8855908 2012 5664 176.55
8861572 2012 5664 176.55
8867232 2012 5660 176.68
8872896 2012 5664 176.55
8878560 2016 5660 176.68
8884220 2016 5664 176.55
8889884 2016 5664 176.55
8895548 2016 5660 176.68
8901208 2016 5664 176.55
8906872 2016 5660 176.68
8912536 2012 5664 176.55
8918196 2012 5664 176.55
8923860 2012 5664 176.55
8929524 2012 5660 176.68
8935184 2012 5664 176.55
8940848 2012 5664 176.55
8946512 2012 5664 176.55
8952176 2012 5664 176.55
8957840 2012 5664 176.55
8963500 2012 5660 176.68
8969164 2012 5664 176.55
8974828 2012 5660 176.68
8980496 2012 5664 176.55
8986152 2016 5664 176.55
8991816 2016 5664 176.55
8997480 2016 5664 176.55
9003144 2012 5664 176.55
9008808 2012 5660 176.68
9014468 2012 5664 176.55
9020132 2012 5664 176.55
9025796 2012 5664 176.55
9031460 2012 5660 176.68
9037120 2012 5664 176.55
9042784 2012 5664 176.55
9048448 2012 5664 176.55
9054112 2012 5660 176.68
9059776 2012 5664 176.55
9065436 2012 5664 176.55
9071100 2012 5664 176.55
9076764 2020 5664 176.55
9082428 2020 5664 176.55
9088092 2020 5660 176.68
9093752 2012 5664 176.55
9099416 2012 5664 176.55
9105076 2012 5660 176.68
9110740 2012 5660 176.68
9116400 2012 5664 176.55
9122064 2012 5664 176.55
9127728 2012 5660 176.68
9133392 2012 5664 176.55
9139056 2012 5664 176.55
9144720 2012 5664 176.55
9150384 2012 5664 176.55
9156044 2012 5664 176.55
9161708 2012 5664 176.55
9167372 2012 5664 176.55
9173032 2012 5660 176.68
9178696 2012 5664 176.55
9184360 2012 5664 176.55
9190024 2012 5660 176.68
9195684 2012 5664 176.55
9201348 2012 5664 176.55
9207012 2012 5664 176.55
9212676 2012 5664 176.55
9218340 2012 5664 176.55
9224004 2012 5664 176.55
9229668 2012 5664 176.55
9235332 2016 5660 176.68
9240996 2016 5664 176.55
9246656 2016 5664 176.55
9252320 2016 5664 176.55
9257980 2012 5660 176.68
9263640 2012 5660 176.68
9269316 2012 5660 176.68
9274964 2008 5664 176.55
9280624 2008 5660 176.68
9286288 2008 5664 176.55
9291952 2012 5664 176.55
9297616 2012 5664 176.55
9303280 2012 5664 176.55
9308944 2012 5664 176.55
9314608 2012 5660 176.68
9320272 2012 5664 176.55
9325936 2012 5664 176.55
9331600 2012 5668 176.43
9337264 2012 5660 176.68
9342928 2012 5664 176.55
9348588 2016 5664 176.55
9354260 2016 5664 176.55
9359916 2016 5660 176.68
9365576 2012 5664 176.55
9371240 2012 5664 176.55
9376904 2012 5660 176.68
9382564 2012 5664 176.55
9388232 2012 5664 176.55
9393892 2012 5664 176.55
9399556 2012 5664 176.55
9405220 2012 5660 176.68
9410884 2012 5668 176.43
9416548 2012 5660 176.68
9422212 2012 5664 176.55
9427872 2012 5664 176.55
9433532 2012 5660 176.68
9439196 2012 5660 176.68
9444856 2012 5664 176.55
9450520 2012 5664 176.55
9456184 2012 5660 176.68
9461844 2012 5664 176.55
9467508 2012 5664 176.55
9473172 2012 5664 176.55
9478836 2012 5664 176.55
