c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36
1876,-739,-592,-47,-94,1193,-5698,4682,579,44,-51,-2,-2,1,429,6104,79,13,0,6047,1338,1379,1409,1379,687,557,54,44,659,557,0,-7,3,35,-75,136
1926,-657,-388,-76,0,908,-5698,2973,1433,45,-37,-2,-2,1,438,6363,66,-34,0,6363,1331,1407,1397,1380,687,557,45,36,659,557,0,-4,12,32,-77,136
1976,-548,-423,22,-72,1153,-5027,226,1616,22,-25,0,-3,2,465,7171,59,-17,0,6927,1398,1414,1390,1424,687,557,40,32,659,557,0,9,33,28,-78,135
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2176,-140,-756,118,-67,734,-4966,-5022,-519,-51,-41,-2,-10,1,496,8159,49,57,0,8159,1453,1472,1409,1448,687,557,33,27,659,557,0,51,81,18,-75,140
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2326,597,-416,-119,69,792,709,2667,2044,-96,-46,-2,-10,1,7,0,99,50,26,-74,138,,,,,,,,,,,,,,,
2376,547,-5,5,-68,1242,-1487,531,-275,-96,6,-4,-8,1,530,9316,42,-148,0,9281,1503,1491,1466,1454,687,557,28,23,659,557,0,39,58,28,-71,133
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526,804,-607,-205,33,1111,587,1386,-641,-110,-66,-2,-8,1,531,9352,58,-27,0,9352,1501,1478,1452,1492,687,557,39,32,659,557,0,83,22,35,-72,138
2576,537,-350,118,-26,985,1076,-6853,-2045,-99,-5,-4,-9,2,531,9352,62,50,0,9352,1507,1484,1495,1434,687,557,42,34,659,557,0,84,58,37,-72,137
2626,608,-94,-144,9,628,1198,-5083,5462,-101,-18,-6,-9,2,533,9422,53,69,0,9422,1490,1390,1462,1567,687,557,36,29,659,557,0,50,67,38,-70,136
2676,503,-8,-81,27,808,953,-4717,4851,-86,-1,0,-9,1,531,9352,136,176,0,9387,1449,1460,1497,1519,687,557,93,75,659,557,0,74,90,39,-68,133
2726,660,-130,-89,93,827,3212,-994,-2167,-94,-11,-2,-9,2,552,10106,79,99,0,10106,1533,1468,1447,1514,687,557,54,44,659,557,0,69,66,40,-66,138
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,10738,51,-17,0,10738,1515,1474,1525,1558,687,557,35,28,659,557,0,34,55,42,-63,139,,,,,,,,,,,,,,
2926,505,-195,0,-40,842,-693,-2031,-4242,-95,-13,-4,-9,0,568,10700,42,-117,0,10700,1571,1487,1488,1522,687,557,28,23,659,557,0,67,82,43,-60,140
2976,234,63,-13,-20,839,1198,43,-1679,-78,7,-4,-11,0,569,10738,42,-127,0,10700,1533,1539,1475,1522,687,557,28,23,659,557,0,66,111,45,-54,137
3026,-12,-275,72,59,714,465,531,640,-46,0,-2,-11,2,578,11081,42,-97,0,11081,1533,1525,1529,1525,687,557,28,23,659,557,0,51,100,46,-49,134
3076,158,218,-301,-46,1043,-2463,-1238,2349,-72,19,-4,-10,5,590,11545,42,-71,0,10890,1553,1474,1511,1550,687,557,28,23,659,557,0,38,93,48,-43,142
3126,-123,-85,-23,52,1359,709,-1848,-2228,-40,-1,-4,-11,1,602,12020,76,99,7,12020,1583,1539,1533,1556,687,557,52,42,659,557,0,46,85,48,-41,139
