c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903000,-1114,-1283,100,-157,1042,-6218,8716,-6115,97,-108,-4,0,39,532,9387,67,-26,0,9387,1383000,1457000,1554000,1510000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950000,202,-465,1,487,990,9039,1270,-3307,-24,-37,-6,-79,39,554,10179,96,69,0,10179,1539000,1386000,1552000,1523000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003000,-89,-49,317,-515,493,-1030,-1598,-6481,-2,-4,-4,-120,0,576,11004,74,-19,0,11004,1453000,1479000,1566000,1594000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050000,295,-728,78,-379,-52,1105,-9227,-3063,-39,-61103000,-1351,-1372,407,-39,512,15814,-1720,-5870,110,-109,-4,-79,120,579,11119,63,50,0,11119,1519000,1408000,1565000,1591150000,-1995,-2487,-3,-421,190,3424,-9288,-3978,167,-210,-6,-79,79,578,11081,62,-45,0,11081,1483000,1475000,1504000,1631203000,-1049,-2054,56,498,2073,6903,17383,-9349,56,-172,-8,-399,79,589,11506,104,-17,0,11506,1468000,1422000,1658000,1578000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250000,68,-1970,457,-195,-372,2265,-12035,2490,-149,-14,-6,-1640,1800,598,11861,53,-33,0,11861,1574000,1500000,1484000,1597000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303000,1164,-1145,-226,822,1158,8246,2307,-5932,-342,60,-6,-2760,1840,598,11861,45,-115,0,11861,1538000,1417000,1616000,1600000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350000,-1435,-566,88,-851,358,8246,-3307,5298,-160,118,-4,-3280,1919,598,11861,95,73,0,11861,1610000,1511000,1524000,1543000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1403000,-2084,-146,547,-77,167,5560,-7885,-2697,-38,84,-6,-2519,1119,601,11980,68,-90,4,11980,1527000,1486000,1566000,1618000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450000,-2472,-1458,58,242,1388,-9148,-4894,-10509,79,-99,-6,-1560,320,600,11940,79,-39,0,11940,1348000,1521000,1578000,1698000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503000,-3143,-2533,-570,-13,1645,-481,293,7251,197,-200,-4,-880,239,604,12100,120,31,15,12100,1552000,1604000,1490000,1565000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550000,-1504,-3681,592,264,485,-2373,13599,-8129,82,-296,-6,-559,280,620,12749,93,185,80,12749,1455000,1511000,1651000,1640000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603000,-4354,-3535,-390,457,2175,12946,-7274,3040,341,-291,-6,-440,199,638,13500,67,-57,152,13500,1584000,1582000,1527000,1652000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650000,-3053,-3732,374,-43,63,14533,9509,-9533,231,-304,-4,-399,239,646,13841,110,101,184,13841,1507000,1501000,1672000,1684000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703000,-2375,-1471,288,-392,-360,160,646,13841,68,-97,184,13841,1600000,1563000,1632000,15870001750000,-482,-2494,659,508,678,17279,18298,-5504,10,-137,-6,-360,920,646,13841,55,-118,184,13841,1548000,1509000,1676000,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803000,-899,-1706,-129,-417,905,15692,26050,-3429,-26,11,-6,-1200,1840,655,14230,137,82,219,14230,1584000,1521000,1686000,1625000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850000,-44,-773,296,-26,505,14838,21716,-9349,-132,176,-4,-1560,2799,656,14273,89,158,224,14273,1543000,1474000,1706000,1677000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903000,1226,760,-394,84,1592,12213,293,1514,-382,488,-4,-3159,4839,657,14317,158,173,228,14317,1637000,1525000,1642000,1616000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950000,2588,666,202,566,1184,-20867,-17833,110,-707,627,-4,-5520,6519,657,14317,166,271,228,14317,1576000,1571000,1638000,1640000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003000,740,-1084,-332,-138,1059,-29290,-42919,-5748,-685,659,-4,-7120,8640,658,14360,96,93,231,14360,1555000,1504000,1653000,1694000,0,0,0,2050000,-233,-3122,-68,127,946,-37285,-35839,-3307,-604,516,-6,240,410,228,14317,1530000,1562000,1669000,1656000,0,0,0,2103000,-2409,-3894,241,-39,698,-35698,-39562,-5626,-456,564,-6,-7640,10360,656,14273,175,284,224,14273,1523000,1532000,1679000,1673000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150000,-3716,-5763,256,444,755,-36492,-32482,-3490,-349,366,-6,-7719,9960,656,14273,147,91,224,14273,1515000,1566000,1662000,1668000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203000,-4959,-5956,0,-303,349,-15679,-24486,-2880,-209,119,-6,-7360,7320,655,14230,135,15,219,14230,1576000,1512000,1626000,1699000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250000,-4210,-6117,527,186,-133,-20134,-17284,-7518,-205,-69,-6,-6560,5320,655,14230,149,20,219,14230,1501000,1513000,1665000,1713000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2303000,-3970,-6119,-391,-380,1450,-18975,-18139,-3612,-68,-376,-6,-4760,1800,655,14230,189,84,219,14230,1545000,1523000,1606000,1726000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350000,-4010,-5061,-205,-128,733,-9575,13110,-4467,217,-424,-6,-1520,199,647,13884,222,167,188,13884,1511000,1520000,1662000,1673000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401000,-4237,-4095,137,191,888,7819,16589,-5016,300,-350,-6,-800,199,646,13841,298,360,184,13841,1528000,1507000,1654000,1676000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450000,-3808,-2279,34,157,1417,14166,20068,-7274,332,-188,-6,0,120,639,13543,282,191,155,13543,1492000,1474000,1696000,1663000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503000,-2592,-251,-394,-295,1527,17767,15186,-5077,222,-11,-6,-39,120,639,13543,314,320,155,13543,1517000,1480000,1684000,1651000,-225,-134,-70,-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550000,-1979,-431,-157,-335,1097,7941,6275,-5199,172,-30,-6,0,79,638,13500,323,347,152,13500,1470000,1521000,1671000,1669000,-225,-134,-72,-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
