c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,44,384,-29,-59,1088,-820,2675,2011,-3,33,-2,0,0,0,0,44,237,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103000,-99,-26,55,69,889,-698,-375,-3786,12,-5,-2,39,-40,0,0,88,260,-1600,0,1150000,1150000,1150000,1154000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150000,238,331,-109,52,830,-942,844,3659,-24,28,0,-39,0,0,0,68,256,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203000,-183,89,98,-67,1008,277,-498,-3908,16,7,0,0,0,0,0,37,142,-1600,0,1150000,1150000,1150000,1151000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000,92,69,-23,63,969,-759,417,-246,-8,6,-2,0,0,0,0,89,82,-1600,0,115303000,224,428,-32,-90,1059,338,417,1706,-23,37,-2,-39,0,0,0,67,67,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350000,-237,171,100,-27,878,521,-803,-2687,20,15,-2,0,0,0,0,67,118,-1600,403000,49,202,-47,92,1044,460,51,2805,-4,21,-2,450000,-309,188,4,-138,930,-1614,3225,241,26,19,0,0,39,0,0,59,36,-1600,0,1150000,1150000,1150000,11500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503000,-259,-307,-59,87,1122,-271,1638,-2443,22,-23,0,0,39,0,0,98,56,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550000,-334,-115,-40,-93,1024,582,-1169,4880,29,-10,-2,0,0,0,0,54,0,-1600,0,1150000,1151000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603000,-400,-224,70,72,960,582,-1901,-4458,34,-16,0,0,39,0,0,71,11,-1600,0,1150000,1150000,1150000,1176000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650000,-3,-240,-74,-28,1123,1681,-9,2988,0,-17,-2,0,39,0,0,66,11,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703000,-387,-108,3,16,878,-1065,966,-2382,33,-5,-2,0,39,0,0,69,-2,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750000,-72,-320,-26,71,1132,33,-559,-2199,6,-24,-2,0,39,0,0,84,34,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803000,-345,-147,-14,-116,851,-2407,539,3720,30,-12,-2,0,0,0,0,46,1,-1600,0,1150000,1174000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850000,-79,-312,58,132,1022,-149,-131,-5617,6,-27,-2,0,0,0,0,98,11,-1600,0,1150000,1150000,1157000,1178000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
