50000,285,-204,244,30,1096,3048,-560,-2998,-28,-17,-2,-39,0,0,0,42,254,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103000,-278,-70,-218,-23,936,-2322,1575,5668,17,-6,-4,-79,0,0,0,65,270,-1600,0,1150000,1206000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150000,208,-115,155,80,935,3598,-2025,-8003,-25,250000,174,-238,310,79,906,2987,-499,-9041,-18,-20,0,-39,0,0,0,56,46,-1600,0,1150000,1150000,1196000,1248000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303000,89,124,-326,-15,972,-552,2674,11405,-11,14,0,-39,39,0,0,44,-8,-1600,0,1250000,1263000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350000,33,35,201,63,1071,-2627,3040,-1716,-9,3,-2,-79,0,0,0,43,-29,-1600,0,1150000,1150000,1150000,1150000,0,0,403000,-49,17,-333,-220,924,-1834,2430,2372,7,5,0,40,39,0,0,80,45,-1600,0,1150000,1159000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450000,-214,952,-30,121,908,1217,1148,-1228,18,86,0,0,39,0,0,56,10,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503000,-40,-81,-155,-200,953,-6167,172,5485,0,-7,0,-39,0,0,0,60,69,-1600,0,1150000,1242000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550000,-246,1215,41,83,875,1828,-255,-2449,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603000,-27,58,-78,-119,1073,-857,50,5912,-4,8,-2,-79,39,0,0,57,-35,-1600,0,1153000,1184000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650000,36,1110,24,156,992,2133,843,2372,-6,96,0,-39,0,0,0,58,12,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703000,-329,470,-357,-131,982,-3848,3895,9757,25,41,0,-39,0,0,0,115,111,-1600,0,1169000,1286000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750000,187,791,344,108,954,2316,-4832,-9651,-16,69,0,0,0,0,0,66,22,-1600,0,1150000,1150000,1191000,1268000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
