c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36
776,-97,-396,128,28,991,2606,-1956,850,12,-17,2,0,0,0,0,85,23,-1600,0,1150,1150,1154,1150,25,-326,2,-27,0,-304,0,17,-17,-17,44,127
826,-57,333,-158,-3,1104,1507,3719,-1712,5,17,4,0,0,0,0,36,-37,-1600,0,1150,1168,1150,1150,25,-326,0,-11,0,-304,0,6,-25,-24,41,127
876,-108,-393,259,-9,933,-567,-919,3292,11,-6,16,0,0,25,20,82,6,-1500,20,1150,1150,1150,1150,25,-326,2,-26,0,-304,0,18,-25,-26,38,130
926,19,38,-216,17,1018,1202,1217,-2750,0,-18,2,0,0,25,20,51,-15,-1500,20,1150,1150,1150,1150,25,-326,1,-16,0,-304,0,15,-20,-28,35,130
976,-219,-297,186,-82,946,-1727,-186,3170,9,-3,2,0,0,24,19,80,44,-1500,20,1150,1150,1150,1150,25,-326,2,-26,0,-304,0,1,-16,-32,37,130
1026,-118,-153,-135,63,1015,1202,-1590,-4398,21,-22,0,0,0,25,20,52,-3,-1500,20,1150,1150,1150,1150,25,-326,1,-16,0,-304,0,15,-14,-32,37,136
1076,-172,-102,81,-107,919,-323,240,1827,6,0,2,0,0,23,17,69,3,-1500,20,1150,1150,1150,1150,25,-326,1,-22,0,-304,0,-5,-22,-34,36,128
1126,-141,-153,-79,137,1017,4071,-2689,-1956,21,-16,0,-1,0,0,0,42,-38,-1600,0,1150,1150,1150,1150,440,-869,18,-36,429,-859,112,12,-13,-37,40,141
1176,-115,-136,82,-84,945,-872,-1407,850,-2,0,2,0,0,0,0,61,8,-1600,0,1150,1150,1150,1150,440,-869,26,-53,429,-859,0,7,-43,-44,43,129
1226,-307,-218,-17,112,956,2423,-2445,-736,40,-16,0,0,0,0,0,58,10,-1600,0,1150,1150,1150,1150,440,-869,25,-50,429,-859,0,21,-29,-48,52,135
1276,-55,-165,22,8,997,347,1156,606,2,-9,0,0,0,0,0,84,13,-1600,0,1150,1150,1150,1150,440,-869,36,-73,429,-859,0,26,-65,-51,57,126
1326,-332,-119,-75,29,1059,1019,118,-858,32,-14,-4,0,0,0,0,89,36,-1600,0,1150,1150,1150,1150,440,-869,39,-77,429,-859,0,35,-49,-50,56,134
1376,66,-183,49,67,983,-1055,-552,-491,0,-7,-2,0,0,0,0,44,-42,-1600,0,1150,1150,1150,1150,440,-869,19,-38,429,-859,0,34,-72,-49,54,131
1426,-357,-240,-30,-35,1026,-628,-430,362,20,-20,0,-1,0,0,0,43,-48,-1600,0,1150,1150,1150,1150,440,-869,18,-37,429,-859,0,33,-57,-50,57,136
1476,59,-24,-33,124,958,469,-797,-980,4,-1,18,0,0,0,0,47,-81,-1600,0,1150,1156,1150,1150,440,-869,20,-40,429,-859,0,23,-68,-47,53,130
1526,-221,-239,68,-112,958,-506,-675,667,4,-10,4,0,0,0,0,58,-8,-1600,0,1150,1150,1150,1150,440,-869,25,-50,429,-859,0,20,-64,-48,55,132
1576,14,-97,-72,110,1017,2056,-736,-1102,3,-12,2,-1,0,0,0,46,-43,-1600,0,1150,1150,1150,1150,440,-869,20,-39,429,-859,0,26,-58,-46,50,134
1626,-219,-10,98,-67,1026,-689,667,1217,9,8,2,0,0,0,0,73,52,-1600,0,1150,1150,1150,1150,440,-869,32,-63,429,-859,0,21,-60,-47,52,129
1676,-157,-338,21,92,983,1202,-2567,-308,20,-19,4,0,1,0,0,63,-13,-1600,0,1150,1150,1150,1150,440,-869,27,-54,429,-859,0,42,-46,-44,52,134
1726,-173,87,-24,-53,974,-1788,2132,484,2,7,14,-1,0,0,0,55,-11,-1600,0,1150,1150,1150,1150,440,-869,24,-47,429,-859,0,32,-56,-45,53,132
1776,-127,-461,201,90,1022,408,-1712,1156,20,-17,23,0,0,0,0,47,-34,-1600,0,1150,1150,1150,1150,440,-869,20,-40,429,-859,0,28,-43,-44,54,136
1826,-120,91,-220,-85,1036,-2154,1522,-308,-2,-10,20,0,0,0,0,45,-14,-1600,0,1150,1150,1150,1150,440,-869,19,-39,429,-859,0,50,-49,-45,56,137
1876,-294,-259,281,-41,951,-1483,-675,1766,14,10,20,-1,0,0,0,52,8,-1600,0,1150,1150,1150,1150,440,-869,22,-45,429,-859,0,13,-51,-47,56,135
1926,-45,-162,-256,-10,1004,-1544,-919,-1163,-4,-36,18,-1,0,0,0,113,100,-1600,0,1150,1150,1150,1150,440,-869,49,-98,429,-859,0,34,-58,-48,56,141
1976,-122,-69,179,-76,1022,-1116,2376,-64,0,10,60,0,0,2,0,75,51,-1600,0,1160,1150,1150,1150,440,-869,33,-65,429,-859,0,14,-65,-52,57,133
2026,-14,-357,-140,88,1074,3033,-491,911,11,-41,18,0,0,23,17,70,27,-1508,17,1150,1150,1150,1150,-138,-16,-9,-1,-183,0,112,34,-63,-49,53,136
2076,-111,-13,12,-59,1010,-1483,2376,-3,-3,2,8,-1,0,24,19,121,34,-1512,16,1150,1150,1150,1150,-453,-1270,-54,-153,-489,-1223,0,2,-73,-40,54,140
2126,-129,-304,-100,67,1048,2911,-1590,1339,19,-32,8,0,0,22,16,85,58,-1512,16,1150,1150,1150,1150,-93,-226,-7,-19,-77,-231,0,11,-56,-37,47,139
2176,-143,-88,44,-55,1003,-1727,1705,-2322,6,0,4,0,0,24,19,73,3,-1504,19,1150,1150,1150,1150,-93,-226,-6,-16,-77,-231,0,-5,-54,-35,41,134
2226,-326,-332,-101,70,1083,1141,240,2742,36,-35,2,0,0,24,19,53,-27,-1504,19,1150,1150,1150,1150,-93,-226,-4,-12,-77,-231,0,8,-45,-33,38,137
2276,-10,-107,50,22,1086,164,2132,-3604,3,1,4,0,1,24,19,54,-19,-1504,19,1150,1150,1150,1150,-93,-226,-5,-12,-77,-231,0,-7,-53,-32,33,133
2326,-339,-469,-116,-9,1082,-1055,-430,3658,28,-49,2,0,0,26,22,49,-89,-1496,22,1150,1150,1150,1150,-93,-226,-4,-11,-77,-231,0,3,-46,-30,29,139
2376,-63,-82,-7,100,1029,2056,2071,-2872,16,-5,2,0,0,34,38,57,-24,-1508,17,1150,1150,1150,1150,-167,487,-9,27,-176,498,0,-9,-23,-29,21,135
2426,-198,-525,23,-59,1016,-1361,423,2132,7,-37,4,0,1,59,115,68,-6,-1364,115,1150,1150,1150,1150,-167,487,-11,33,-176,498,0,-14,-23,-28,16,139
2476,-59,-30,-177,140,1163,2484,972,-2139,18,-15,2,0,0,59,115,56,-27,-1360,119,1150,1150,1150,1150,-167,487,-9,27,-176,498,0,-14,5,-27,12,138
2526,-207,-311,114,-108,984,-1300,57,1644,20,-22,4,2,-1,61,123,74,57,-1356,123,1150,1150,1150,1150,-167,487,-12,36,-176,498,0,-25,-4,-27,10,140
2576,-170,-103,-148,166,1108,2789,57,-2567,31,-19,4,0,0,91,274,34,4,-1264,234,1150,1150,1150,1150,-167,487,-5,16,-176,498,0,-4,9,-26,7,135
2626,-46,-166,130,-97,959,-567,972,1461,-6,-1,2,0,0,136,613,80,61,-1056,613,1150,1150,1150,1150,-167,487,-13,39,-176,498,0,-11,5,-26,3,135
2676,-181,-328,-21,58,954,2667,-2078,-980,23,-30,2,0,0,156,807,60,-1,-976,807,1150,1150,1150,1150,518,194,31,11,529,158,0,8,29,-29,3,133
2726,-102,-18,-62,-78,1034,1629,118,-369,-4,0,4,-1,1,192,1222,62,-30,-832,1222,1156,1150,1150,1150,518,194,32,12,529,158,0,21,11,-31,4,135
2776,-248,-440,122,7,987,2423,-1041,118,20,-26,2,0,0,194,1248,95,80,-828,1235,1160,1150,1150,1150,518,194,49,18,529,158,0,23,13,-36,3,134
2826,-67,-187,-120,-118,989,836,-1895,118,-12,-28,0,-1,0,194,1248,52,-75,-824,1248,1157,1150,1150,1167,-868,204,-45,10,-840,168,0,23,1,-31,2,141
2876,-174,-340,48,109,1022,3643,-1041,-2628,24,-21,2,0,0,227,1709,51,-78,-748,1504,1223,1212,1150,1150,-868,204,-44,10,-840,168,0,-5,20,-24,3,142
2926,-155,-161,39,-179,1014,164,-3,2987,-10,-6,2,-1,0,247,2023,59,-29,-612,2023,1211,1150,1226,1238,-868,204,-51,12,-840,168,0,-23,-4,-21,2,140
2976,-38,-113,-58,168,991,3338,179,667,18,-12,2,0,0,260,2242,49,-52,-564,2224,1150,1221,1234,1253,-868,204,-42,10,-840,168,0,-40,15,-18,4,138
3026,-247,45,-149,24,1034,-2703,-1407,-675,16,-10,4,-1,0,305,3085,59,-5,-379,3085,1200,1233,1214,1305,-868,204,-51,12,-840,168,0,-13,37,-17,5,142
3076,-159,-108,-111,14,967,-2520,-125,-10501,7,-14,2,-1,1,338,3789,61,-15,-292,3546,1391,1356,1150,1152,-868,204,-53,12,-840,168,0,-64,8,-17,6,143
3126,-77,-65,88,18,976,-3680,423,-11295,3,3,4,0,0,363,4370,32,-37,-147,4370,1456,1417,1150,1150,-868,204,-27,6,-840,168,0,-57,18,-18,6,135
3176,-18,-285,10,93,975,-3131,118,2681,3,-24,4,-1,0,363,4370,49,5,-144,4394,1378,1434,1240,1150,-103,173,-5,8,0,0,112,-8,22,-15,6,130
3226,374,-600,-12,-18,1066,12493,4146,-3238,-33,-53,4,0,0,372,4589,66,39,-111,4589,1502,1345,1150,1247,-103,173,-6,11,0,0,0,28,8,-12,6,135
3276,570,-1115,248,-1,703,-8013,-10989,8114,-64,-59,2,-2,0,381,4814,82,12,-108,4614,1377,1450,1258,1150,-103,173,-8,14,0,0,0,54,0,-6,4,135
3326,681,-1306,-116,118,1343,18109,12447,-4520,-50,-123,4,-1,1,395,5175,80,-16,-19,5175,1573,1178,1171,1321,-103,173,-8,13,0,0,0,31,-19,-3,3,141
3376,26,-1766,73,-44,1094,7733,-3543,7259,-6,-145,0,0,0,388,4993,88,34,-16,5201,1336,1444,1295,1290,-103,173,-9,15,0,0,0,18,-33,0,-2,133
3426,302,-1539,-3,93,840,5596,2926,-1773,-20,-135,2,-1,0,375,4664,64,7,-100,4664,1501,1236,1220,1272,-103,173,-6,11,0,0,0,2,-49,1,-5,133
3476,275,-1665,138,18,754,11273,-8853,7747,-20,-125,2,0,0,366,4443,47,-17,-139,4418,1234,1440,1337,1199,-103,173,-4,8,0,0,0,-10,-30,2,-10,138
3526,343,-1332,-46,39,1118,-4840,5306,-1468,-36,-125,4,-1,0,412,5630,54,33,0,5630,1458,1150,1288,1334,-103,173,-5,9,0,0,0,-15,-37,1,-14,136
3726,-146,-788,176,82,767,6085,-6656,5489,23,-44,4,0,0,444,6538,79,-34,0,6538,1395,1344,1393,1438,-103,173,-8,13,0,0,0,-67,28,-12,-11,134
3776,-189,-606,-54,-24,979,9930,-3482,2193,15,-58,2,0,0,459,6987,58,-33,0,6927,1434,1345,1378,1461,990,777,57,45,1101,672,0,-34,39,-23,-12,139
3826,-218,-286,-159,51,1257,4742,1278,1033,18,-38,4,-1,0,460,7018,88,117,0,7018,1443,1334,1428,1419,990,777,87,68,1101,672,0,-52,44,-32,-13,140
3876,-458,570,-46,-38,1406,-5816,-675,3780,28,51,2,-1,0,461,7048,71,177,0,7048,1425,1388,1369,1457,990,777,70,55,1101,672,0,-47,73,-43,-12,139
4026,-188,-391,-51,-27,1422,-1849,-1590,-491,10,-37,2,0,0,497,8192,57,26,0,8192,1437,1416,1429,1471,990,777,56,44,1101,672,0,21,12,-55,-13,139
4076,-598,-567,1,-97,851,1507,606,-3177,35,-47,4,-1,0,498,8225,58,47,0,8258,1481,1400,1452,1460,990,777,57,45,1101,672,0,47,6,-57,-17,134
4126,-244,-615,168,3,1144,-2398,-4581,1888,17,-37,2,0,0,501,8325,42,-11,0,8325,1465,1412,1428,1483,990,777,41,32,1101,672,0,68,-14,-58,-21,139
4176,-312,-755,14,10,959,-1727,-430,2559,24,-62,4,0,0,524,9107,46,-21,0,9107,1475,1433,1495,1490,990,777,45,35,1101,672,0,34,-20,-58,-25,137
4226,-259,-335,-136,-37,937,-3253,4207,789,14,-46,4,0,0,523,9072,104,75,0,9072,1483,1421,1502,1487,990,777,102,80,1101,672,0,36,-10,-59,-29,140
4276,105,44,6,97,650,1812,1705,2620,0,7,4,-1,0,527,9211,68,-23,0,9176,1492,1461,1473,1477,990,777,67,52,1101,672,0,58,-6,-60,-33,129
4326,-319,-157,-67,-8,857,-3436,484,3353,22,-22,2,0,0,527,9211,41,-48,0,9211,1527,1444,1445,1487,990,777,40,31,1101,672,0,69,5,-60,-34,135
4376,-354,-400,80,275,1129,-323,2437,-2567,52,-29,2,0,0,529,9281,70,13,0,9281,1532,1486,1453,1440,990,777,69,54,1101,672,0,11,39,-62,-36,137
4426,-657,-7,5,34,839,-2337,-1712,-2017,54,4,2,-1,0,530,9316,74,29,0,9316,1534,1507,1426,1436,990,777,73,57,1101,672,0,80,40,-63,-37,133
4476,-506,76,-55,38,1161,958,1033,-4093,41,1,2,-1,0,529,9281,84,24,0,9316,1528,1454,1473,1462,990,777,83,65,1101,672,0,84,52,-63,-37,133
4526,-718,8,-70,-105,708,1263,972,-3177,38,-9,4,-2,0,530,9316,51,-53,0,9316,1484,1487,1465,1483,990,777,50,39,1101,672,0,119,38,-61,-38,136
4576,-512,-250,167,2,1188,3155,2193,-3360,40,-5,2,-1,0,532,9387,44,-52,0,9316,1487,1473,1475,1485,990,777,43,34,1101,672,0,104,24,-58,-39,138
4626,-341,-159,-2,15,1127,4132,3048,-1285,30,-15,4,0,0,534,9458,48,-102,0,9458,1508,1475,1448,1494,990,777,47,37,1101,672,0,113,22,-55,-40,139
4676,-524,84,-48,-126,897,-811,-1590,-2139,25,6,2,-1,0,566,10625,72,3,0,10663,1550,1524,1492,1500,990,777,71,55,1101,672,0,106,33,-53,-42,138
4726,-220,395,108,-150,1159,2117,1033,-2689,0,44,-2,-1,0,569,10738,76,-4,0,10738,1515,1540,1506,1502,990,777,75,59,1101,672,0,57,-1,-53,-45,140
4776,-279,508,-73,-212,910,9075,-247,-2139,-1,37,-2,-1,0,568,10700,88,1,0,10700,1513,1501,1523,1534,990,777,87,68,1101,672,0,74,7,-53,-50,138
4826,-573,548,-141,-186,865,-994,789,1949,29,31,-2,0,0,570,10776,89,81,0,10776,1535,1503,1512,1526,990,777,88,69,1101,672,0,75,-3,-55,-53,138
4876,-562,289,89,32,1537,-750,3597,-4337,44,33,-2,-1,0,578,11081,95,15,0,11081,1551,1543,1525,1491,990,777,94,73,1101,672,0,102,13,-55,-57,139
4926,-587,957,-3,39,1030,-1605,-919,-1590,52,85,0,0,0,602,12020,73,18,7,12020,1570,1518,1525,1549,990,777,72,56,1101,672,0,76,39,-55,-59,137
4976,-563,852,-250,-120,768,1568,-797,-675,27,47,-4,-1,0,605,12140,65,-80,11,12060,1579,1518,1542,1571,990,777,64,50,1101,672,0,107,67,-50,-59,143
5026,-58,358,87,-112,858,592,5611,-4093,-14,43,-2,-1,0,602,12020,46,68,7,12020,1593,1522,1548,1542,990,777,45,35,1101,672,0,119,21,-47,-60,139
5076,144,165,-89,41,953,2239,4696,-4215,-10,3,-2,0,0,602,12020,56,-18,7,12020,1586,1526,1549,1546,990,777,55,43,1101,672,0,124,31,-44,-63,138
5126,323,391,151,220,1493,4864,3963,-5618,-18,46,-2,-1,0,603,12060,66,13,11,12060,1550,1514,1577,1573,-206,1356,-13,89,-288,1270,112,102,68,-40,-63,148
5176,985,769,-47,-107,1108,8526,4696,57,-97,62,-2,0,0,633,13290,86,31,56,12504,1570,1475,1604,1598,627,-430,53,-37,554,-503,0,163,4,-34,-63,140
5226,1245,1069,-192,116,1459,5291,5672,2315,-110,79,-2,-2,0,636,13416,124,108,143,13416,1558,1559,1626,1602,627,-430,77,-53,554,-503,0,155,32,-28,-61,150
5276,989,1173,195,58,1307,-5145,1644,-2689,-96,118,0,-2,0,640,13585,78,66,152,13500,1580,1541,1619,1608,627,-430,48,-33,554,-503,0,90,28,-24,-56,145
5326,634,1473,-180,-142,1163,10784,5306,-1895,-74,116,0,-2,0,641,13628,105,179,163,13628,1607,1526,1632,1590,892,1260,93,132,759,1062,112,133,-25,-20,-58,154
5376,1281,1490,225,127,1286,4620,10921,-2078,-112,149,-2,-2,0,642,13670,42,144,168,13670,1604,1541,1631,1588,892,1260,37,52,759,1062,0,194,-26,-12,-66,151
5426,947,1670,-108,25,1610,-6915,-2384,-3360,-103,149,2,-3,1,643,13713,140,320,172,13713,1573,1553,1612,1630,3,-19,0,-2,90,90,132,174,32,-6,-66,144
5476,308,1293,-146,-3,1063,11456,8480,-5374,-36,104,2,-2,1,644,13756,111,235,172,13713,1643,1476,1661,1576,3,-19,0,-2,90,90,0,81,92,1,-60,138
5526,916,2017,146,15,726,28668,16353,-7144,-73,220,0,-1,5,644,13756,118,226,175,13756,1599,1459,1693,1603,777,399,91,47,437,-41,0,36,76,0,-59,142
5576,1595,1969,11,-279,770,10601,-2078,-4703,-183,247,2,-2,13,642,13670,130,283,179,13798,1591,1518,1641,1623,264,239,34,31,437,81,153,103,113,0,-56,149
5626,852,1538,24,-40,766,-1300,-15750,-6473,-151,367,0,-13,43,643,13713,127,243,172,13713,1555,1485,1678,1637,264,239,33,30,437,81,0,63,93,1,-53,145
5676,1141,364,40,9,1352,5108,-5252,-4276,-164,292,2,-13,50,640,13585,181,388,168,13670,1555,1534,1651,1621,264,239,47,43,437,81,0,46,3,1,-52,141
5726,1009,-773,56,51,1315,-6610,-24356,-4764,-127,267,0,-7,64,641,13628,206,415,163,13628,1574,1533,1593,1656,264,239,54,49,437,81,0,58,58,1,-53,145
5776,243,-2114,122,-64,1152,-10333,-16666,-6229,-66,150,2,-6,64,638,13500,219,448,159,13585,1573,1526,1633,1621,264,239,57,52,437,81,0,6,95,0,-50,146
5826,-521,-2151,-49,-230,978,-8807,-9158,-4947,12,264,2,-1,91,639,13543,259,575,155,13543,1557,1504,1658,1625,264,239,68,62,437,81,0,-37,45,-3,-50,147
5876,-336,-2468,43,128,861,653,-23929,-6107,-38,333,2,-16,107,640,13585,313,628,155,13543,1588,1521,1599,1641,264,239,82,75,437,81,0,-100,39,-13,-51,149
5926,-499,-3477,235,-146,915,-14666,-24234,-4703,-61,267,2,-16,108,639,13543,301,528,155,13543,1520,1554,1629,1648,264,239,79,72,437,81,0,-97,4,-20,-53,152
5976,-596,-4493,307,140,776,-10455,-8487,-4886,-13,15,0,-16,74,639,13543,314,543,152,13500,1574,1517,1637,1617,264,239,82,75,437,81,0,-53,-16,-29,-60,150
6026,-1576,-4171,-11,-139,1141,-5084,7381,-7083,139,-239,2,2,27,640,13585,352,497,159,13585,1538,1510,1634,1661,264,239,92,84,437,81,0,-47,0,-34,-63,149
6076,-1311,-3322,-33,41,1125,-4229,15621,-5130,94,-298,2,-4,1,639,13543,324,460,155,13543,1561,1529,1649,1610,264,239,85,77,437,81,0,-46,14,-42,-67,148
6126,-1241,-2002,195,12,944,531,18123,-6412,91,-158,4,-4,1,639,13543,407,512,155,13543,1555,1499,1662,1627,264,239,107,97,437,81,0,-100,19,-50,-70,147
6176,-765,-791,39,64,985,1934,15926,-5191,44,-66,2,-6,1,638,13500,412,427,152,13500,1539,1506,1664,1629,264,239,108,98,437,81,0,-65,-16,-60,-77,144
6226,-1044,137,-59,-80,936,-4718,8663,-6961,54,2,2,-5,0,639,13543,457,495,155,13543,1538,1513,1673,1618,630,977,288,446,463,1042,122,3,29,-70,-88,146
6276,-985,805,-152,101,1011,-1971,6160,-4398,69,50,0,-5,0,640,13585,450,418,159,13585,1559,1530,1638,1626,506,1066,227,480,463,1072,132,10,80,-82,-108,151
6326,-430,905,23,-22,756,225,-247,-4764,3,164,2,-6,16,639,13543,504,457,155,13543,1553,1511,1670,1611,588,902,296,454,611,946,193,74,108,-90,-121,146
6376,-182,343,-29,143,1164,-4962,-10196,-4703,54,357,2,5,64,638,13500,505,413,159,13585,1560,1503,1654,1632,576,877,291,443,885,902,153,148,259,-100,-136,154
6426,-495,38,-1,-18,1003,-5755,-28507,-4642,-2,602,2,-8,117,638,13500,519,422,152,13500,1542,1521,1638,1645,658,948,341,492,1115,1046,0,162,288,-107,-144,154
6476,-497,-1735,98,-72,508,-4168,-37967,-4947,-10,495,2,-7,122,639,13543,544,333,155,13543,1556,1517,1633,1641,497,832,270,452,1068,936,142,266,372,-112,-151,158
6526,-594,-3112,-74,182,1279,-5633,-27286,-3299,23,276,4,-8,109,638,13500,523,291,152,13500,1553,1537,1629,1635,476,581,249,303,847,651,122,231,334,-114,-153,158
6576,-380,-3298,-15,66,753,-10455,-15689,-4581,-7,109,4,-9,79,639,13543,544,225,155,13543,1545,1515,1624,1661,330,660,179,359,534,705,132,198,322,-116,-157,156
6626,-228,-3430,65,43,908,-5267,-614,-4215,-92,-175,-2,-23,24,638,13500,563,191,152,13500,1569,1499,1635,1638,235,796,132,448,204,858,142,207,376,-115,-158,156
6676,-402,-2898,-6,17,763,-8441,11837,-3726,-77,-236,2,-22,5,637,13458,571,239,148,13458,1529,1531,1661,1616,96,631,55,360,-132,748,122,162,391,-110,-160,154
6726,-517,-1786,-26,24,978,-8807,15377,-5191,-66,-140,2,-22,5,637,13458,574,191,148,13458,1546,1530,1644,1620,11,486,6,279,-208,640,112,76,383,-107,-158,153
6776,-846,-785,-33,0,945,-9356,2315,-4215,-36,30,2,-21,20,637,13458,609,236,163,13628,1556,1502,1658,1635,-95,627,-58,382,-58,686,183,7,341,-105,-159,150
6826,-454,-676,-7,76,726,-8197,-7877,-4337,47,176,0,0,46,637,13458,594,140,148,13458,1552,1505,1640,1640,-112,541,-67,321,67,672,214,23,346,-102,-159,150
6876,-927,-1302,172,-187,987,-4656,-7266,-4031,40,173,2,-4,53,637,13458,614,177,148,13458,1534,1522,1665,1616,-143,412,-88,253,0,509,224,-41,314,-98,-157,154
6926,-1075,-957,-71,108,1039,1080,-10257,-4886,2,369,2,-20,91,638,13500,629,199,152,13500,1554,1516,1638,1632,-267,413,-168,260,19,403,224,-77,245,-96,-158,156
6976,-392,-2022,23,46,1169,-5145,-21182,-3909,-60,372,4,-19,108,637,13458,631,197,152,13500,1531,1518,1633,1658,-323,315,-204,198,67,452,244,-100,204,-91,-158,159
7026,-870,-3389,286,-136,1115,-7830,-21182,-2506,-39,218,0,-20,97,637,13458,625,119,148,13458,1533,1508,1637,1656,-404,302,-252,188,-61,413,234,-131,228,-87,-157,162
7076,-1223,-4361,177,-85,793,2545,-10013,-3543,4,221,0,-18,116,637,13458,632,72,152,13500,1553,1514,1666,1608,-548,164,-346,104,-381,186,234,-267,197,-81,-151,159
7126,-1093,-3885,-38,-110,1290,5780,-13187,-3299,0,281,4,-18,124,637,13458,650,118,148,13458,1531,1521,1618,1667,-653,107,-424,69,-363,118,224,-309,114,-77,-150,161
7176,-905,-3987,-72,153,1254,-1422,-14774,-3726,1,123,0,-18,95,637,13458,679,143,148,13458,1552,1511,1642,1633,-782,94,-531,64,-561,106,224,-365,143,-71,-147,158
7226,-1051,-4861,265,-91,1104,-689,-6473,-3116,4,72,-2,-16,95,636,13416,674,145,143,13416,1535,1495,1656,1646,-901,85,-607,57,-786,57,224,-398,156,-64,-143,156
7276,-993,-4675,95,8,870,6634,-1590,-3177,15,73,0,-15,95,637,13458,662,65,152,13500,1536,1486,1669,1643,-1136,58,-752,38,-1097,-17,193,-542,132,-54,-137,153
7326,-1107,-4185,-10,-128,1247,9747,179,-3848,22,27,-2,-13,80,638,13500,665,32,152,13500,1539,1502,1670,1619,-1161,37,-772,25,-1229,-38,214,-597,112,-48,-133,158
7376,-520,-3590,-254,-110,823,4742,6405,-5435,-24,16,0,-11,74,638,13500,662,12,152,13500,1536,1517,1651,1637,-1386,-39,-918,-26,-1501,-84,163,-647,100,-35,-128,160
7426,-605,-3508,192,-138,1018,1751,9212,-4520,-11,-46,-2,-10,50,638,13500,679,61,152,13500,1516,1517,1659,1642,-1614,-193,-1096,-131,-1753,-166,132,-726,104,-24,-122,166
7476,-621,-2466,-41,-104,905,4925,9639,-3543,17,-8,-4,-5,43,636,13416,677,62,152,13500,1556,1492,1652,1639,-1733,-160,-1173,-108,-1889,-258,173,-817,61,-9,-115,160
7526,-138,-2393,186,210,1186,-811,9212,-3421,117,-197,0,17,0,637,13458,688,51,148,13458,1555,1488,1657,1641,-1806,-129,-1242,-89,-1979,-248,173,-833,60,1,-111,159
7576,-339,-2008,9,140,975,10784,17635,-3299,91,-182,-2,8,0,638,13500,673,-19,148,13458,1540,1497,1675,1621,-1907,-176,-1283,-118,-2243,-292,173,-925,105,19,-102,161
7626,-646,-1093,-98,-132,999,11029,17635,-2506,87,-111,-2,7,0,638,13500,674,21,152,13500,1548,1460,1684,1636,-1983,-59,-1337,-39,-2281,-271,214,-978,72,30,-98,159
