c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36
26,75,-196,-36,148,1039,3643,-2017,-1773,9,-16,2,0,0,0,0,55,263,-1600,0,1150,1170,1150,1150,0,0,0,0,0,0,0,3,17,0,4,115
76,-312,-67,53,-169,962,-4046,3292,1888,8,1,0,0,0,0,0,74,264,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,-7,12,2,14,114
126,-79,-347,41,151,977,1690,-3,-1895,23,-23,16,0,0,0,0,89,209,-1600,0,1150,1198,1150,1150,0,0,0,0,0,0,0,-8,19,1,26,116
176,-110,-48,-52,-187,1001,-3314,1461,850,-6,-10,20,0,0,0,0,56,170,-1600,0,1150,1150,1150,1150,-154,-203,-8,-11,-168,-168,0,-7,-9,9,29,135
226,43,-345,75,171,944,958,-491,-1529,14,-18,4,0,0,0,0,95,132,-1600,0,1150,1155,1150,1150,-154,-203,-14,-19,-168,-168,0,-6,1,28,37,131
276,67,-237,-12,-180,960,-1605,423,2132,-25,-19,6,0,0,0,0,94,132,-1600,0,1150,1150,1150,1150,-154,-203,-14,-19,-168,-168,0,-15,-21,44,27,137
326,-28,-245,-1,87,964,836,118,-3116,12,-22,2,0,0,0,0,78,42,-1600,0,1150,1150,1150,1150,-154,-203,-12,-15,-168,-168,0,-13,0,37,27,130
376,50,-110,1,-102,1041,-445,1644,2498,-18,-10,-6,0,0,0,0,61,84,-1600,0,1150,1150,1150,1150,-154,-203,-9,-12,-168,-168,0,-23,-21,31,28,135
426,-133,-252,54,14,1031,-323,-430,-2933,9,-16,2,0,0,0,0,44,-17,-1600,0,1150,1150,1150,1150,-154,-203,-6,-8,-168,-168,0,-23,-8,23,28,133
476,52,55,-114,-56,1025,-140,1094,484,-13,-6,2,0,0,0,0,48,11,-1600,0,1150,1150,1150,1150,-460,6,-22,0,-436,0,0,-29,-14,38,10,125
526,-157,-156,179,-24,1070,-1300,179,-858,4,6,2,-1,0,0,0,62,56,-1600,0,1150,1150,1150,1150,-460,6,-28,0,-436,0,0,-47,-1,37,8,125
576,17,33,-231,0,1044,347,-1529,-64,-8,-15,2,-1,0,0,0,58,-12,-1600,0,1150,1150,1150,1150,-460,6,-26,0,-436,0,0,-29,-5,38,7,123
626,-69,26,179,-6,1015,-994,179,1156,5,23,0,0,0,0,0,92,65,-1600,0,1150,1150,1150,1150,-460,6,-42,0,-436,0,0,-48,0,26,8,119
676,-4,-366,-8,25,969,2423,-4093,-980,4,-31,2,0,0,0,0,77,45,-1600,0,1150,1150,1150,1150,25,-326,1,-25,0,-304,0,-3,-4,4,28,122
726,-146,264,50,-22,992,-445,1827,667,17,27,2,1,0,0,0,83,17,-1600,0,1150,1150,1150,1150,25,-326,2,-27,0,-304,0,-24,-9,-11,38,125
