c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36
44926,-13,-369,-136,-92,345,-261,-6472,2862,40,-65,0,13,0,260,2242,1082,-309,-560,5500,1498,1490,1609,1600,577,544,624,588,738,582,244,393,541,-66,-67,151
44976,-681,-754,215,28,776,1141,-5740,3228,127,-30,-2,12,1,217,1561,1088,-393,-740,5500,1322,1239,1442,1396,593,585,646,636,742,576,255,488,596,-69,-68,152
45026,-167,-1283,262,66,533,7245,-5252,7440,97,-61,0,13,0,223,1649,1063,-547,-708,14369,1456,1440,1538,1537,832,723,885,769,901,705,255,509,593,-72,-68,152
45076,249,-1831,-108,96,713,-5877,-2627,7135,55,-173,-4,13,0,223,1649,1011,-737,-708,16985,1633,1656,1709,1676,874,776,885,785,824,841,244,578,654,-75,-71,155
45126,-250,-1730,-50,-8,1037,5475,-491,4022,65,-155,-4,8,0,224,1664,997,-689,-704,11889,1520,1453,1595,1571,724,797,722,795,735,715,255,565,667,-77,-72,152
45176,-284,-2255,89,31,654,-1787,485,3961,95,-183,-2,13,0,224,1664,940,-774,-704,13212,1544,1554,1619,1623,978,976,919,918,871,940,255,676,735,-81,-74,151
45226,110,-2311,42,328,775,-444,5490,4632,97,-199,0,13,0,224,1664,910,-776,-704,11921,1621,1562,1675,1634,1051,1106,957,1006,883,1043,255,710,834,-83,-76,154
45276,87,-1621,52,-70,610,-2031,8419,3900,45,-135,0,13,0,223,1649,883,-803,-708,14298,1580,1553,1677,1663,1161,1234,1025,1090,1057,1178,255,701,897,-87,-78,156
45326,130,-1385,142,-65,1129,5597,3903,4876,47,-108,0,12,0,223,1649,813,-851,-708,17419,1596,1558,1661,1639,1304,1219,1060,991,1235,1176,234,760,876,-90,-79,157
45376,485,-722,49,116,1337,1752,2621,2191,29,-58,-2,12,0,222,1634,748,-894,-704,18576,1684,1656,1720,1716,1411,1445,1055,1081,1381,1373,204,826,939,-94,-82,156
45426,1013,-417,-120,-108,1268,-5816,668,54,-35,-43,-2,13,0,224,1664,700,-835,-704,16801,1596,1593,1689,1668,1579,1569,1105,1098,1571,1676,244,831,994,-96,-83,159
45476,1064,-301,-15,-11,1384,-7769,2987,1824,-36,-25,-2,12,0,223,1649,678,-712,-704,10320,1493,1471,1614,1572,1748,1803,1185,1222,1710,1945,0,952,1054,-100,-86,160
45526,920,-195,-109,258,1213,-10881,4330,2496,-2,-24,-2,12,0,223,1649,638,-721,-708,13505,1534,1547,1641,1642,1716,1705,1095,1087,1698,1839,122,1042,1126,-101,-86,163
45576,191,-383,106,-66,931,-11004,485,2679,37,-19,0,13,0,224,1664,578,-820,-708,18512,1638,1620,1711,1692,2035,1915,1176,1107,2009,2125,0,1026,1157,-103,-85,157
45626,-167,-370,40,-227,569,-1360,-2017,238,38,-21,2,12,0,224,1664,549,-744,-704,14917,1605,1548,1662,1673,2103,1983,1154,1089,2184,1919,112,1073,1060,-103,-85,160
45676,340,-367,-13,83,1185,-1482,-7266,1153,42,-27,-2,13,0,224,1664,531,-651,-704,8285,1479,1474,1590,1588,2164,2026,1149,1075,2293,1977,0,1135,1130,-104,-85,158
45726,-183,-781,-47,64,809,-6487,-1956,3656,87,-71,-4,13,0,224,1664,533,-546,-704,10674,1314,1343,1468,1440,2164,2026,1153,1080,2293,1977,0,1113,1115,-104,-84,159
45776,-1014,-389,-107,-125,956,2057,-11050,2435,144,-34,0,13,1,223,1649,462,-708,-708,14564,1620,1617,1640,1697,2164,2026,999,936,2293,1977,0,1063,1096,-104,-83,161
