33001000,-1182,2778,746,579,-531,1100000,1100000,1100000,1100000,1499000,1496000,999000,1498000,1998000,997000,0,0,0,0,0,0
33101000,-746,3045,135,30,-470,1100000,1100000,1100000,1100000,1499000,1497000,997000,1499000,1997000,999000,0,0,0,0,0,0
33201000,577,3881,-901,-945,-104,1100000,1100000,1100000,1100000,1499000,1498000,997000,1499000,1998000,998000,0,0,0,0,0,0
33301000,1329,3690,502,274,200,1100000,1100000,1100000,1100000,1499000,1497000,997000,1499000,1998000,998000,0,0,0,0,0,0
33401000,2606,3151,-47,-213,383,1100000,1100000,1100000,1100000,1499000,1497000,997000,1500000,1997000,999000,0,0,0,0,0,0
33501000,4331,3882,-230,-518,200,1100000,1100000,1100000,1100000,1499000,1497000,998000,1499000,1999000,997000,0,0,0,0,0,0
33601000,5896,4466,135,30,566,1100000,1100000,1100000,1100000,1499000,1497000,999000,1498000,1998000,998000,0,0,0,0,0,0
33701000,7165,3502,-230,-91,505,1100000,1100000,1100000,1100000,1499000,1496000,998000,1499000,1997000,998000,0,0,0,0,0,0
33801000,8166,3424,-108,274,-165,1100000,1100000,1100000,1100000,1499000,1497000,998000,1499000,1998000,998000,0,0,0,0,0,0
33901000,8502,2779,13,213,-226,1100000,1100000,1100000,1100000,1499000,1497000,998000,1499000,1998000,998000,0,0,0,0,0,0
34001000,8977,1872,-108,91,-348,1100000,1100000,1100000,1100000,1499000,1497000,997000,1499000,1997000,997000,0,0,0,0,0,0
34101000,7850,2415,74,-213,-226,1100000,1100000,1100000,1100000,1499000,1497000,998000,1499000,1998000,998000,0,0,0,0,0,0
34201000,7080,2349,-47,-762,-348,1100000,1100000,1100000,1100000,1499000,1498000,997000,1499000,1998000,998000,0,0,0,0,0,0
34301000,5452,1570,380,-518,-837,1100000,1100000,1100000,1100000,1498000,1496000,999000,1498000,1997000,998000,0,0,0,0,0,0
34401000,2818,1866,746,-30,-43,1100000,1100000,1100000,1100000,1499000,1496000,998000,1499000,1998000,998000,0,0,0,0,0,0
34501000,412,1790,-657,-762,261,1100000,1100000,1100000,1100000,1499000,1497000,998000,1499000,1998000,998000,0,0,0,0,0,0
34601000,-532,2133,-230,-518,383,1100000,1100000,1100000,1100000,1499000,1497000,997000,1499000,1998000,998000,0,0,0,0,0,0
34701000,-1175,2818,807,396,444,1100000,1100000,1100000,1100000,1499000,1497000,998000,1499000,1998000,998000,0,0,0,0,0,0
34801000,-263,2983,-47,152,78,1100000,1100000,1100000,1100000,1499000,1497000,998000,1499000,1998000,998000,0,0,0,0,0,0
34901000,849,3054,-108,-91,505,1100000,1100000,1100000,1100000,1498000,1498000,997000,1499000,1998000,998000,0,0,0,0,0,0
35001000,2633,2770,258,335,-104,1100000,1100000,1100000,1100000,1499000,1496000,999000,1499000,1997000,998000,0,0,0,0,0,0
35101000,3887,2457,441,396,-348,1100000,1100000,1100000,1100000,1499000,1497000,999000,1498000,1998000,998000,0,0,0,0,0,0
35201000,4713,2129,-474,91,-287,1100000,1100000,1100000,1100000,1499000,1497000,998000,1498000,1998000,998000,0,0,0,0,0,0
