101000 -124186 128800 -81 203 1071 624 -274 43 
201000 -73582 78259 105 -10 1008 -2976 4058 -1055 
301000 -43363 47476 91 39 1167 -2732 3204 -139 
401000 -25459 29189 -54 28 898 -3465 4302 -2336 
501000 -14608 17762 98 -56 1016 -1939 2105 -688 
601000 -8004 10978 -39 14 934 3065 -2166 1142 
701000 -3840 7339 48 32 941 -1389 1373 470 
801000 -1911 4302 0 -13 937 -2549 2044 -749 
901000 -143 2966 64 42 1044 -6455 4852 348 
1001000 558 1304 72 -43 1048 -3220 1983 -200 
1101000 -220 329 77 62 1123 3614 -3509 409 
1201000 576 -41 -15 6 965 -1389 1251 -200 
1301000 899 -105 -42 -32 962 2943 -2838 -383 
1401000 394 -87 37 -21 949 868 -1373 -1055 
1501000 354 -386 -10 35 1056 1173 -1373 -383 
1601000 1002 -53 29 -63 968 868 -885 -322 
1701000 1376 208 59 -103 914 -474 335 -810 
1801000 1565 182 49 62 887 -962 640 -627 
1901000 342 -668 -28 -88 918 -840 335 -1482 
2001000 571 423 -28 12 804 1783 -1312 1081 
2101000 1498 174 31 -115 936 380 -1129 592 
2201000 1418 726 -35 31 1026 807 -1251 409 
2301000 1085 1243 55 109 1098 -1145 762 -1116 
2401000 967 997 -42 100 964 319 -335 715 
2501000 1716 1181 -41 27 1300 -352 457 -200 
2601000 1841 623 -58 90 1208 197 91 -566 
2701000 1982 1119 77 165 1150 380 335 -78 
2801000 2062 710 12 36 957 502 152 959 
2901000 2661 1350 253 33 944 -352 1067 470 
3001000 2097 1706 -106 -3 1064 -1572 2227 104 
3101000 2493 952 -63 8 1058 1906 -1007 715 
3201000 3333 519 88 12 918 -474 1067 959 
3301000 2223 556 5 -30 811 -230 823 959 
3401000 2935 507 -121 -45 980 -718 457 531 
3501000 3426 1166 -56 114 1076 624 -30 470 
3601000 1018 663 -12 13 1003 -169 -30 -200 
3701000 309 244 -12 -80 1061 -779 213 -383 
3801000 910 -169 32 -90 901 -108 -152 43 
3901000 787 475 40 -108 1193 -47 -335 -200 
4001000 1328 418 -101 -100 1023 -901 579 -383 
4101000 3232 523 71 43 910 197 -335 -322 
4201000 3259 1859 51 94 949 13 30 -932 
4301000 2537 433 143 58 1224 380 -640 -139 
4401000 3975 1413 21 -53 956 -657 579 -78 
4501000 2859 843 -18 52 944 197 274 165 
4601000 4345 -118 168 36 812 624 -91 470 
4701000 3031 -45 8 -1 1083 380 -91 287 
4801000 2823 -324 -64 -2 830 868 -457 287 
4901000 3211 397 -28 93 905 -230 213 43 
5001000 989 458 111 36 1025 197 -91 226 
5101000 1436 -310 -77 -30 1002 -474 335 287 
5201000 -116 519 44 121 845 380 -335 -17 
5301000 -368 1130 -77 -91 947 -840 1006 165 
5401000 -454 250 -39 -125 1073 -779 579 104 
5501000 179 427 -142 -107 1041 -413 823 -17 
5601000 153 257 40 24 859 807 -335 898 
5701000 2104 950 113 79 1111 -230 823 -139 
5801000 2605 763 116 -64 1022 319 -91 -932 
5901000 2377 -653 52 -43 1136 -657 457 -444 
6001000 4528 1076 3 76 875 -352 335 -749 
6101000 1916 460 -39 111 925 135 -274 -200 
6201000 3095 -756 206 51 979 135 91 -200 
6301000 1935 22 -33 -19 1061 807 -763 -322 
6401000 -794 934 -27 48 985 -1450 1067 -322 
6501000 -463 306 -115 -10 1064 197 -518 348 
6601000 -89 606 -23 77 887 -474 396 653 
6701000 1495 1839 39 115 1093 -291 -30 653 
6801000 527 1415 37 -77 991 1661 -1312 1386 
6901000 1966 188 157 107 1096 -230 274 348 
7001000 3396 530 119 55 921 -779 701 -810 
7101000 3588 315 -38 -87 926 502 -274 -200 
7201000 3143 1093 -36 -25 850 -474 396 -200 
7301000 274 -94 -152 -185 942 197 213 -627 
7401000 1439 -443 69 147 1057 -108 457 -78 
7501000 802 593 -15 2 1023 990 -152 43 
7601000 -88 635 -42 -34 1244 -413 1129 -383 
7701000 1203 156 57 -76 1069 -413 701 -383 
7801000 1602 495 0 79 1021 135 518 -139 
7901000 2978 1111 22 -72 889 74 457 43 
8001000 2287 683 64 18 1036 13 152 -17 
8101000 1988 88 -139 8 1055 13 91 43 
8201000 2089 -414 44 16 1197 -718 274 -17 
8301000 1826 -1026 -86 161 1089 -47 30 -688 
8401000 1852 -548 -104 88 1071 197 -274 -139 
8501000 1807 -511 -79 143 707 -1084 30 348 
8601000 1191 -263 -173 -104 936 868 -1434 -78 
8701000 1133 951 104 -27 1252 -1634 335 165 
8801000 138 1213 -81 -15 679 -291 91 -139 
8901000 225 562 133 -50 837 -901 274 -261 
9001000 -468 -77 79 9 915 -1084 1190 -383 
9101000 -529 -103 -182 -69 954 -352 823 -383 
9201000 -437 448 111 -4 900 746 518 287 
9301000 -1274 900 -58 -31 1025 502 -396 409 
9401000 120 198 -73 -142 894 -901 640 -139 
9501000 -333 12 -46 -49 971 624 -1129 715 
9601000 1289 597 -81 -138 900 624 -579 348 
9701000 868 537 77 -82 801 13 -30 165 
9801000 2075 876 8 33 837 -230 -213 287 
