IMU,SETUP,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,,
6801000,5000,10000,0,576,-395,-27613,999,-3,5,0,1143000,1133000,1148000,1139000,1498000,1498000,1141000,1496000,1998000,998000,0,0,0,0,0,0
7001000,5000,10000,0,506,-443,-27614,999,-3,4,0,1137000,1146000,1144000,1139000,1498000,1499000,1142000,1497000,1999000,997000,0,0,0,0,0,0
7201000,5000,10000,0,262,-809,-27619,999,-7,2,0,1144000,1152000,1141000,1133000,1498000,1498000,1143000,1496000,1998000,997000,0,0,0,0,0,0
7401000,5000,10000,0,485,-800,-27612,999,-6,4,0,1150000,1149000,1140000,1128000,1497000,1498000,1142000,1496000,1998000,997000,0,0,0,0,0,0
7601000,5000,10000,0,382,-828,-27624,999,-7,3,0,1143000,1149000,1142000,1132000,1499000,1498000,1142000,1495000,1998000,998000,0,0,0,0,0,0
7801000,5000,10000,0,205,-977,-27629,999,-8,1,0,1136000,1144000,1149000,1138000,1498000,1499000,1142000,1497000,2000000,997000,0,0,0,0,0,0
8001000,5000,10000,0,186,-981,-27625,999,-8,1,0,1134000,1142000,1149000,1138000,1498000,1498000,1141000,1496000,1998000,997000,0,0,0,0,0,0
8201000,5000,10000,0,-92,-1208,-27629,999,-10,0,0,1127000,1147000,1150000,1138000,1498000,1498000,1141000,1496000,1998000,997000,0,0,0,0,0,0
8401000,5000,10000,0,-370,-1472,-27617,999,-12,-3,0,1134000,1151000,1145000,1136000,1498000,1499000,1142000,1495000,1998000,997000,0,0,0,0,0,0
8601000,5000,10000,0,-389,-1458,-27614,999,-12,-3,0,1136000,1148000,1141000,1137000,1498000,1499000,1141000,1496000,1999000,998000,0,0,0,0,0,0
8801000,5000,10000,0,-311,-1502,-27628,999,-13,-2,0,1133000,1153000,1140000,1135000,1497000,1499000,1141000,1496000,2000000,997000,0,0,0,0,0,0
9001000,5000,10000,0,-520,-1510,-27618,999,-13,-4,0,1132000,1147000,1144000,1138000,1497000,1499000,1141000,1496000,1998000,997000,0,0,0,0,0,0
9201000,5000,10000,0,-391,-1309,-27628,999,-11,-3,0,1144000,1149000,1139000,1133000,1498000,1499000,1142000,1496000,1998000,997000,0,0,0,0,0,0
9401000,5000,10000,0,29,-1026,-27640,999,-8,0,0,1143000,1147000,1142000,1135000,1498000,1499000,1142000,1496000,1999000,998000,0,0,0,0,0,0
9601000,5000,10000,0,30,-1122,-27636,999,-9,0,0,1132000,1159000,1142000,1132000,1497000,1499000,1142000,1496000,1999000,997000,0,0,0,0,0,0
9801000,5000,10000,0,-245,-1472,-27640,999,-12,-2,0,1139000,1149000,1141000,1137000,1497000,1498000,1142000,1496000,1998000,997000,0,0,0,0,0,0
10001000,5000,10000,0,622,-907,-27643,999,-7,5,0,1152000,1129000,1150000,1139000,1498000,1499000,1143000,1496000,1998000,997000,0,0,0,0,0,0
10201000,5000,10000,0,986,-393,-27638,999,-3,8,0,1139000,1143000,1146000,1138000,1498000,1499000,1142000,1495000,1998000,998000,0,0,0,0,0,0
10401000,5000,10000,0,285,-1000,-27635,999,-8,2,0,1127000,1157000,1146000,1136000,1497000,1499000,1142000,1496000,1999000,997000,0,0,0,0,0,0
10601000,5000,10000,0,-272,-1717,-27626,999,-14,-2,0,1139000,1158000,1140000,1129000,1497000,1499000,1142000,1496000,1998000,997000,0,0,0,0,0,0
10801000,5000,10000,0,-258,-1628,-27632,999,-14,-2,0,1141000,1149000,1141000,1135000,1498000,1498000,1142000,1496000,1998000,997000,0,0,0,0,0,0
11001000,5000,10000,0,50,-1317,-27632,999,-11,0,0,1146000,1153000,1138000,1133000,1498000,1499000,1143000,1495000,1998000,997000,0,0,0,0,0,0
11201000,5000,10000,0,469,-1099,-27647,999,-9,4,0,1145000,1142000,1145000,1133000,1498000,1498000,1142000,1496000,1999000,998000,0,0,0,0,0,0
11401000,5000,10000,0,346,-1199,-27642,999,-10,3,0,1130000,1150000,1147000,1135000,1498000,1498000,1141000,1496000,1999000,997000,0,0,0,0,0,0
11601000,5000,10000,0,-267,-1635,-27631,999,-14,-2,0,1132000,1154000,1147000,1134000,1497000,1498000,1142000,1496000,1998000,997000,0,0,0,0,0,0
11801000,5000,10000,0,-354,-1587,-27642,999,-13,-3,0,1141000,1148000,1146000,1135000,1498000,1499000,1143000,1496000,1998000,997000,0,0,0,0,0,0
