[17:06:15:584] HHello Junta. Starting Potato Controller now␊
[17:06:18:459] imu.begin()-IMU comm & initialize completed ␊
[17:06:18:925] imu.dmpBegin() suceeded␊
[17:06:21:927] IMU SETUP COMPLETED␊
[17:06:22:929] Motor starting Now␊
[17:06:32:532] 1.534828 -3.355878 -22.913065 1455.000000 1455.000000 1470.000000 1470.000000 -2.012195 -1.585366 1.707317 ␊
[17:06:32:732] 1.559815 -3.461760 -23.243908 1455.000000 1455.000000 1470.000000 1470.000000 -1.951220 -1.524390 2.012195 ␊
[17:06:32:932] 1.513376 -3.409794 -23.564867 1456.000000 1456.000000 1469.000000 1469.000000 -1.890244 -1.768293 1.768293 ␊
[17:06:33:132] 1.458623 -3.300342 -23.884924 1456.000000 1456.000000 1469.000000 1469.000000 -1.707317 -1.524390 1.707317 ␊
[17:06:33:332] 1.537032 -3.548030 -24.214352 1456.000000 1456.000000 1469.000000 1469.000000 -1.951220 -1.463415 1.646341 ␊
[17:06:33:532] 1.471506 -3.506359 -24.535881 1455.000000 1455.000000 1470.000000 1470.000000 -1.951220 -1.585366 1.890244 ␊
[17:06:33:732] 1.418609 -3.420520 -24.856907 1449.000000 1449.000000 1476.000000 1476.000000 -1.890244 -1.463415 1.768293 ␊
[17:06:33:931] 1.834765 -3.295017 -25.376417 1449.000000 1449.000000 1564.000000 1564.000000 -1.768293 -1.585366 1.585366 ␊
[17:06:34:131] 1.845324 -2.942719 -25.683950 1447.000000 1447.000000 1562.000000 1562.000000 -2.012195 -1.524390 1.890244 ␊
[17:06:34:331] 1.990323 -2.997359 -26.005680 1447.000000 1447.000000 1562.000000 1562.000000 -1.951220 -1.768293 1.768293 ␊
[17:06:34:531] 1.740984 -3.163742 -26.328716 1445.000000 1445.000000 1560.000000 1560.000000 -2.012195 -1.524390 1.768293 ␊
[17:06:34:731] 1.893914 -3.042735 -26.646353 1508.000000 1508.000000 1499.000000 1499.000000 -2.073171 -2.012195 1.768293 ␊
[17:06:34:931] 1.834696 -2.693479 -26.953861 1496.000000 1496.000000 1513.000000 1513.000000 -1.768293 -1.280488 2.012195 ␊
[17:06:35:132] 1.874074 -2.482303 -27.219681 1504.000000 1504.000000 1505.000000 1505.000000 -0.304878 -0.365854 0.243902 ␊
[17:06:35:332] 1.936447 -2.626530 -27.220074 1504.000000 1504.000000 1505.000000 1505.000000 0.060976 0.304878 0.182927 ␊
[17:06:35:532] 1.465238 -2.228088 -27.210691 1505.000000 1505.000000 1504.000000 1504.000000 0.000000 -0.000000 -0.060976 ␊
[17:06:35:732] 1.165196 -2.025150 -27.210922 1504.000000 1504.000000 1505.000000 1505.000000 0.000000 0.060976 0.060976 ␊
[17:06:35:932] 0.653346 -1.812520 -27.204739 1505.000000 1505.000000 1504.000000 1504.000000 0.060976 0.243902 -0.000000 ␊
[17:06:36:131] 0.200073 -1.355042 -27.206100 1502.000000 1502.000000 1503.000000 1503.000000 -0.060976 0.182927 0.243902 ␊
[17:06:36:331] 0.106767 -1.412779 -27.212038 1504.000000 1504.000000 1501.000000 1501.000000 -0.243902 -0.121951 -0.060976 ␊
[17:06:36:532] -0.118735 -1.096944 -27.209826 1513.000000 1513.000000 1492.000000 1492.000000 -0.060976 0.304878 0.365854 ␊
[17:06:36:731] -0.529608 -0.691654 -27.210497 1504.000000 1504.000000 1505.000000 1505.000000 0.000000 0.121951 0.182927 ␊
[17:06:36:931] -0.120813 -0.396685 -27.214483 1504.000000 1504.000000 1505.000000 1505.000000 -0.121951 0.243902 0.060976 ␊
[17:06:37:131] 0.164525 -0.330970 -27.215353 1488.000000 1488.000000 1521.000000 1521.000000 0.000000 -0.000000 -0.000000 ␊
[17:06:37:332] 0.232627 -0.455937 -27.214325 1454.000000 1454.000000 1555.000000 1555.000000 -0.060976 0.060976 0.182927 ␊
[17:06:37:532] 0.228549 -0.462931 -27.221182 1452.000000 1452.000000 1553.000000 1553.000000 0.000000 -0.060976 0.243902 ␊
[17:06:37:732] 0.016064 -0.803785 -27.223562 1454.000000 1454.000000 1553.000000 1553.000000 -0.121951 -0.060976 -0.121951 ␊
[17:06:37:932] -0.118738 -0.637150 -27.224663 1451.000000 1451.000000 1552.000000 1552.000000 -0.182927 -0.000000 -0.243902 ␊
[17:06:38:132] -0.211114 -0.699394 -27.228912 1452.000000 1452.000000 1553.000000 1553.000000 0.060976 0.243902 0.426829 ␊
[17:06:38:331] 0.036793 -0.248160 -27.229469 1507.000000 1507.000000 1500.000000 1500.000000 -0.182927 0.304878 -0.182927 ␊
[17:06:38:531] 0.098971 -0.288754 -27.228191 1504.000000 1504.000000 1503.000000 1503.000000 -0.365854 -0.060976 0.121951 ␊
[17:06:38:731] 0.243130 0.079983 -27.227575 1503.000000 1503.000000 1504.000000 1504.000000 0.060976 -0.060976 -0.060976 ␊
[17:06:38:931] 0.432938 0.167745 -27.226171 1503.000000 1503.000000 1504.000000 1504.000000 -0.121951 0.060976 0.243902 ␊
[17:06:39:131] 0.467211 -0.117335 -27.224979 1503.000000 1503.000000 1504.000000 1504.000000 -0.060976 0.121951 -0.121951 ␊
