
1388079 <0xf4>081 -3.329399 
1426094 -3.324917 
1426107 -3.320523 
1426120 -3.317600 
1426134 -3.324934 
1426147 -3.332121 
1426160 -3.329129 
1426173 -3.323320 
1426187 -3.317628 
1426200 -3.311245 
1426213 -3.296716 
1426226 -3.282477 
1426239 -3.277602 
1426253 -3.265635 
1426266 -3.253906 
1426279 -3.251606 
1426292 -3.247186 
1426306 -3.242855 
1426319 -3.257437 
1426332 -3.251341 
1426345 -3.244576 
1426358 -3.257900 
1426372 -3.246806 
1426385 -3.236724 
1426398 -3.238513 
1426411 -3.242540 
1426425 -3.247277 
1426438 -3.239085 
1426451 -3.231058 
1426464 -3.234087 
1426477 -3.242602 
1426491 -3.250946 
1426504 -3.245019 
1426517 -3.251487 
1426530 -3.257825 
1426544 -3.254374 
1426557 -3.253187 
1426570 -3.252025 
1426583 -3.246708 
1426596 -3.241160 
1426610 -3.235726 
1426623 -3.237440 
1426636 -3.222027 
1426649 -3.206928 
1426663 -3.209682 
1426676 -3.210293 
1426689 -3.210889 
1426702 -3.207797 
1426715 -3.202170 
1426729 -3.196658 
1426742 -3.200863 
1426755 -3.190108 
1426768 -3.179568 
1426782 -3.185222 
1426795 -3.190381 
1426808 -3.195435 
1426821 -3.196762 
1426834 -3.204595 
1426848 -3.212274 
1426861 -3.218544 
1426874 -3.230802 
1426887 -3.242815 
1426901 -3.249012 
1426914 -3.249266 
1426927 -3.249514 
1426940 -3.255045 
1426953 -3.261840 
1426967 -3.268499 
1426980 -3.276133 
1426993 -3.271046 
1427006 -3.266061 
1427019 -3.262414 
1427033 -3.254877 
1427046 -3.247488 
1427059 -3.242093 
1427072 -3.237544 
1427086 -3.233087 
1427099 -3.230160 
1427112 -3.233195 
1427125 -3.236169 
1427138 -3.241220 
1427152 -3.246171 
1427165 -3.244894 
1427178 -3.246981 
1427191 -3.249026 
1427205 -3.250650 
1427218 -3.247752 
1427231 -3.244913 
1427244 -3.240875 
1427257 -3.243199 
1427271 -3.245475 
1427284 -3.258313 
1427297 -3.265928 
1427310 -3.273396 
1427324 -3.295148 
1427337 -3.309853 
1427350 -3.324269 
1427363 -3.343944 
1427376 -3.352293 
1427390 -3.360483 
1427403 -3.382277 
1427416 -3.409012 
1427429 -3.435223 
1427443 -3.454906 
1427456 -3.466000 
1427469 -3.476882 
1427482 -3.502544 
1427495 -3.536543 
1427509 -3.569861 
1427522 -3.595757 
1427535 -3.610899 
1427548 -3.625751 
1427562 -3.657835 
1427575 -3.687364 
1427588 -3.716314 
1427601 -3.741207 
1427614 -3.769692 
1427628 -3.797602 
1427641 -3.838450 
1427654 -3.876797 
1427667 -3.914398 
1427681 -3.957896 
1427694 -4.002970 
1427707 -4.047139 
1427720 -4.083455 
1427733 -4.120281 
1427747 -4.156369 
1427760 -4.193076 
1427773 -4.223407 
1427786 -4.251546 
1427800 -4.279187 
1427813 -4.308924 
1427826 -4.334894 
1427839 -4.372220 
1427852 -4.408810 
1427866 -4.435232 
1427879 -4.448537 
1427892 -4.461583 
1427905 -4.470879 
1427919 -4.480534 
1427932 -4.489995 
1427945 -4.501802 
1427958 -4.501350 
1427971 -4.500907 
1427985 -4.498017 
1427998 -4.493519 
1428011 -4.489112 
1428024 -4.477724 
1428038 -4.473934 
1428051 -4.470221 
1428064 -4.455186 
1428077 -4.438273 
1428090 -4.421698 
1428104 -4.426343 
1428117 -4.421139 
1428130 -4.416039 
1428143 -4.417222 
1428157 -4.416480 
1428170 -4.415753 
1428183 -4.425984 
1428196 -4.423886 
1428209 -4.421829 
1428223 -4.426762 
1428236 -4.432398 
1428249 -4.437921 
1428262 -4.440671 
1428276 -4.442771 
1428289 -4.444828 
1428302 -4.443501 
1428315 -4.444489 
1428328 -4.445455 
1428342 -4.443252 
1428355 -4.452740 
1428368 -4.462038 
1428381 -4.463238 
1428395 -4.452460 
1428408 -4.441898 
1428421 -4.447348 
1428434 -4.438269 
1428447 -4.429372 
1428461 -4.432155 
1428474 -4.430657 
1428487 -4.429189 
1428500 -4.428836 
1428513 -4.417741 
1428527 -4.408449 
1428540 -4.406789 
1428553 -4.415162 
1428566 -4.424951 
1428580 -4.427512 
1428593 -4.430021 
1428606 -4.433167 
1428619 -4.440856 
1428632 -4.448389 
1428646 -4.454984 
1428659 -4.458358 
1428672 -4.461663 
1428685 -4.475986 
1428699 -4.481959 
1428712 -4.487813 
1428725 -4.499238 
1428738 -4.512960 
1428751 -4.526408 
1428765 -4.527934 
1428778 -4.535278 
1428791 -4.542476 
1428804 -4.545314 
1428818 -4.545168 
1428831 -4.545023 
1428844 -4.542985 
1428857 -4.542889 
1428870 -4.542793 
1428884 -4.550834 
1428897 -4.549932 
1428910 -4.549049 
1428923 -4.542541 
1428937 -4.539964 
1428950 -4.537437 
