8329	-7.83
8349	-9.00
8370	-9.99
8390	-10<0xfd>0	0.00
19	0.00
39	0.00
60	0.00
80	0.00
101	0.00
121	0.00
142	0.00
162	0.00
183	0.00
203	0.00
224	0.09
244	0.09
265	0.09
285	0.09
306	0.09
326	0.09
347	0.09
367	0.09
388	0.09
408	0.09
429	0.09
449	0.18
470	0.18
490	0.18
510	0.18
531	0.18
551	0.18
572	0.18
592	0.18
613	0.18
633	0.18
654	0.18
674	0.18
695	0.18
715	0.18
736	0.18
756	0.18
777	0.18
797	0.18
818	0.18
838	0.18
859	0.18
879	0.18
900	0.27
920	0.27
941	0.27
961	0.27
982	0.36
1002	0.36
1022	0.36
1043	0.45
1063	0.45
1084	0.45
1105	0.54
1126	0.54
1146	0.63
1167	0.72
1187	0.72
1208	0.81
1228	0.81
1249	0.90
1269	0.99
1290	0.99
1310	1.08
1331	1.08
1351	1.17
1372	1.17
1392	1.26
1413	1.26
1433	1.26
1455	1.35
1475	1.35
1496	1.35
1516	1.35
1537	1.35
1557	1.35
1577	1.35
1598	1.35
1618	1.35
1639	1.35
1659	1.35
1680	1.35
1700	1.35
1721	1.26
1741	1.26
1762	1.26
1783	1.26
1804	1.26
1824	1.26
1845	1.26
1865	1.26
1886	1.26
1906	1.26
1927	1.26
1947	1.26
1968	1.26
1988	1.26
2009	1.26
2029	1.26
2050	1.26
2070	1.26
2091	1.26
2112	1.26
2132	1.26
2153	1.35
2173	1.35
2194	1.35
2214	1.35
2235	1.35
2255	1.35
2276	1.35
2296	1.35
2317	1.35
2337	1.35
2358	1.35
2378	1.35
2399	1.35
2419	1.35
2440	1.35
2461	1.35
2482	1.35
2502	1.35
2523	1.35
2543	1.35
2564	1.35
2584	1.35
2605	1.35
2625	1.35
2646	1.35
2666	1.35
2686	1.35
2707	1.35
2727	1.35
2748	1.35
2768	1.35
2790	1.35
2810	1.35
2831	1.35
2851	1.35
2872	1.35
2892	1.35
2913	1.35
2933	1.35
2954	1.35
2974	1.35
2995	1.35
3015	1.35
3036	1.35
3056	1.35
3077	1.35
3097	1.35
3119	1.35
3139	1.26
3160	1.26
3180	1.26
3201	1.26
3221	1.26
3241	1.26
3262	1.26
3282	1.26
3303	1.44
3323	1.62
3344	1.89
3364	2.25
3385	2.70
3405	3.15
3426	3.69
3447	4.32
3468	4.95
3488	5.58
3509	6.21
3529	6.84
3550	7.38
3570	7.92
3591	8.37
3611	8.73
3632	9.09
3652	9.36
3673	9.45
3693	9.54
3714	9.54
3734	9.45
3755	9.18
3776	8.91
3796	8.64
3817	8.19
3837	7.74
3858	7.20
3878	6.66
3899	6.12
3919	5.58
3940	5.04
3960	4.50
3981	4.05
4001	3.60
4022	3.24
4042	2.88
4063	2.61
4083	2.43
4105	2.34
4125	2.34
