,,,,,,,,
49000,11,-24,10,-14,1031,38,32,-83
101000,43,-69,-3,-1,1023,38,-150,39
149000,17,-69,-6,1,1040,38,-89,-22
201000,10,-41,0,2,1020,-22,-89,39
249000,24,-24,-4,1,1013,-22,-89,-22
301000,20,0,6,0,1018,38,-89,-22
349000,21,-52,11,0,1023,38,-89,-22
401000,2,-27,-4,-3,1011,99,32,39
449000,-17,-15,-2,2,1021,-22,-28,-22
501000,-1,18,-2,2,1015,38,-28,-83
549000,1,22,5,-2,1008,-22,-89,-22
601000,29,25,5,2,1030,-22,-28,-22
649000,-27,38,-3,1,1024,99,32,-22
701000,9,14,3,2,1025,-22,-28,39
749000,-16,-3,1,-2,1006,38,-28,-22
801000,-9,27,-3,7,1028,99,-150,-22
849000,11,6,4,3,1021,99,-28,-83
901000,7,0,-2,-5,1015,99,-28,-22
949000,-16,-26,0,-6,1014,38,-28,-83
1001000,-40,-13,0,1,1018,99,-150,-83
1049000,-41,-15,3,-6,1021,38,-89,-83
1101000,-39,-61,-5,-8,1014,38,-89,-22
1149000,-12,-75,8,-3,1031,99,-89,39
1201000,32,-39,1,1,1025,99,-89,-83
1249000,7,-28,-3,0,1020,-22,-28,39
1301000,-10,-54,-2,-1,1022,38,-89,39
1349000,-19,-50,0,1,1020,-22,-28,-22
1401000,-23,-67,1,-3,1014,-22,-89,39
1449000,-17,-68,2,-1,1017,38,-28,39
1501000,-11,-79,-4,2,1014,38,-89,-22
1549000,-20,-71,0,2,1015,38,-89,-83
1601000,1,-83,-1,-10,1019,38,-28,39
1649000,24,-74,-2,-3,1013,38,-28,-22
1701000,9,-79,4,-1,1008,38,-150,-22
1749000,0,-61,2,10,1017,-22,-28,-83
1801000,-2,-23,5,4,1015,99,-28,39
1849000,-39,0,-5,7,1018,38,-28,-22
1901000,-41,-13,-2,0,1028,99,-28,39
1949000,-46,-9,2,-7,1022,-22,-28,39
2001000,9,-15,0,-2,1015,-22,-28,-22
2049000,19,-44,0,-4,1022,-22,-28,-22
2101000,-5,-52,1,2,1014,38,-89,39
2149000,-23,-23,5,5,1015,38,-89,-22
2201000,2,-51,2,1,1027,38,-28,39
2249000,6,-16,-6,1,1019,-22,-28,-22
2301000,16,34,2,5,1022,99,-28,-22
2349000,-43,4,0,-1,1011,99,-28,-83
2401000,-88,-3,-9,-4,1015,-22,-89,-22
2449000,-95,-15,-15,-4,987,-22,-89,588
2501000,-152,-42,-20,-40,893,649,-333,2907
2549000,-75,-10,23,-50,893,649,216,832
2601000,82,-70,-10,-53,1072,-571,765,649
2649000,-3,53,28,17,1041,-1364,-394,1564
2701000,-39,-53,-16,28,959,-144,-516,-1669
2749000,-136,37,-21,4,1030,954,93,100
2801000,-31,103,5,5,963,221,1070,-510
2849000,-57,50,13,-21,982,-571,-516,1137
2901000,-143,24,-2,7,1031,-815,-699,-2524
2949000,-63,-77,-11,10,975,588,1131,1320
3001000,14,-61,-1,-14,1032,405,399,-1486
3049000,4,30,2,-6,1040,-205,-821,1442
3101000,24,-14,-9,0,1031,-388,277,-998
3149000,9,-30,-4,11,1018,405,-28,1076
3201000,27,52,-2,-3,1016,343,32,-1303
3249000,-12,61,-4,9,1019,-205,-89,1503
3301000,33,49,-4,1,1007,-449,93,-1608
3349000,-30,12,-3,7,1002,588,-577,1747
3401000,-48,-71,1,-15,1012,-22,32,-1486
3449000,-41,-39,11,10,1020,-83,-89,1076
3501000,-42,27,-16,-16,1001,-388,460,-876
3549000,-49,-63,6,-2,1044,-22,-28,893
3601000,-63,-54,5,2,1071,282,-1004,-327
3649000,-45,-27,-1,0,966,343,-1248,-205
3701000,-8,-4,1,1,990,-510,-150,405
3749000,-47,-30,0,1,1025,-266,216,39
3801000,-65,-108,-12,-16,1045,466,-760,1137
3849000,-131,-104,-16,-13,1032,160,-272,-876
3901000,-81,-67,6,-10,1021,-83,32,893
3949000,-30,-90,-11,-10,1018,-266,338,-876
4001000,-102,-90,-10,-7,1006,-22,32,1015
4049000,-86,-116,0,0,1017,-22,338,-998
4101000,-59,-69,-5,0,1006,405,-272,954
4149000,-47,-17,-4,3,1021,-22,216,-998
4201000,-73,-107,-4,-16,791,-1059,1009,4250
4249000,-140,-106,-29,-4,1074,99,1131,-2036
4301000,-76,-72,14,5,983,343,-699,1503
4349000,-96,-88,-50,4,817,221,1253,649
4401000,53,-219,5,-33,1049,-144,521,-1792
4449000,27,-198,15,-18,1074,-632,-821,2419
4501000,73,-171,38,-6,987,-815,-516,-1975
4549000,-26,-126,-19,13,998,710,-333,1320
4601000,-2,-80,-16,18,1072,954,826,-1731
4649000,27,-100,34,-7,1035,-327,-577,1870
4701000,-24,-15,14,-9,1043,-1120,-211,-1853
4749000,22,62,7,20,1051,649,399,1015
4801000,23,5,1,8,1002,527,277,-876
4849000,-59,17,1,-7,1022,-205,-333,344
4901000,-97,54,-3,-6,1057,-388,32,-388
4949000,-95,8,5,2,1005,282,277,344
5001000,-41,14,-2,12,1027,282,460,-266
5049000,-23,-21,11,-6,1015,99,-333,466
5101000,-1,40,6,0,1019,-144,93,-449
5149000,-22,16,-1,-13,1006,-266,-89,283
5201000,-50,-35,-16,-21,988,-388,948,-83
5249000,1,-11,7,3,1074,527,277,405
5301000,28,48,-16,-13,1057,-510,-516,-266
5349000,45,10,-15,-3,1018,-388,338,-266
5401000,2,-5,3,-8,1003,-22,338,-144
5449000,12,1,23,9,1063,771,-882,-144
5501000,3,-15,-15,-6,1012,221,-1370,283
5549000,-17,-3,-15,-4,1036,-22,-455,100
5601000,-25,-21,5,5,1005,160,93,39
5649000,-48,-16,7,10,1074,649,-638,-388
5701000,-43,36,0,6,1027,405,-882,466
5749000,-44,36,-14,-12,994,-205,277,-571
5801000,-45,-18,4,-3,1022,-83,-516,527
5849000,-18,-48,58,16,974,343,-455,-998
5901000,-2,-84,24,-21,901,99,-89,3090
5949000,-99,22,-55,6,885,-632,1131,-1669
6001000,-1,-270,29,15,1001,405,-150,2236
6049000,152,-54,12,-39,1236,-144,460,-2707
6101000,-7,-93,15,-3,1117,-815,-577,1320
6149000,-127,39,-32,-2,968,1137,-1187,-1242
6201000,-104,7,-22,-8,1048,710,277,466
6249000,-2,47,10,0,1046,-327,399,1137
6301000,-63,-4,11,-10,1016,-693,-1492,-1547
6349000,-71,-25,-20,-3,1001,649,-394,1320
6401000,-39,-74,-3,14,1040,527,32,-632
6449000,-2,-19,-3,-14,1010,-83,-333,832
6501000,-32,2,-6,0,1017,-144,-28,-815
