101000 -42258 1713 -54 -43 1017 -1145 762 -444 
201000 -24978 1499 95 -91 892 197 91 776 
301000 -14488 245 44 -16 985 -169 -91 -17 
401000 -8101 561 8 -18 938 -962 91 -261 
501000 -4544 385 66 31 996 -840 -152 -383 
601000 -2117 836 -6 15 1090 -230 -274 -444 
701000 -1101 1162 -85 1 979 380 -396 165 
801000 438 658 8 -64 807 197 -640 -261 
901000 100 635 -30 -97 883 -718 -457 -505 
1001000 71 524 62 8 1134 -474 335 -17 
1101000 614 133 4 -24 828 135 701 837 
1201000 1146 454 111 118 1141 74 -30 531 
1301000 1267 727 52 16 935 -47 -579 -17 
1401000 397 684 75 -1 1065 -413 -640 -322 
1501000 745 452 -8 -35 1097 -352 -91 -261 
1601000 1806 -46 -8 21 1055 135 518 165 
1701000 1262 -317 5 -49 943 135 396 -78 
1801000 880 38 -4 25 1005 135 -213 -383 
1901000 1272 449 15 -4 1090 -108 -91 -322 
2001000 1725 115 59 -26 1004 -108 335 -139 
2101000 2500 273 61 80 997 -108 518 165 
2201000 1622 1059 -12 47 973 -169 335 165 
2301000 1295 980 42 21 889 74 -152 104 
2401000 1194 -80 -48 -103 1010 13 -335 -322 
2501000 1232 -141 55 -227 1155 -291 -1251 165 
2601000 587 -614 64 -19 933 -1328 -457 1142 
2701000 1112 389 228 -136 876 -1695 701 1386 
2801000 1057 702 1 -10 823 13 -1190 1935 
2901000 1421 -126 -109 26 1243 197 -1556 592 
3001000 1269 325 -49 160 997 258 -763 348 
3101000 1151 507 37 81 934 -291 335 -688 
3201000 1373 211 70 75 1062 -47 1190 -1421 
3301000 1064 916 14 21 985 135 335 -17 
3401000 951 1318 31 27 1194 746 -152 104 
3501000 337 684 -4 -3 1063 135 -579 -17 
3601000 2374 871 -15 -1 1090 -352 213 -17 
3701000 3839 959 223 58 915 -108 457 43 
3801000 2255 -266 -82 -43 983 -108 335 -383 
3901000 2853 -242 -11 21 1100 -108 274 -322 
4001000 3074 255 -27 55 976 441 91 -383 
4101000 2430 962 19 91 1124 380 91 -78 
4201000 2156 1494 66 46 1001 258 30 -566 
4301000 1115 665 31 41 980 13 -91 -200 
4401000 418 -202 -48 82 981 380 274 -383 
4501000 533 232 66 111 941 624 579 470 
4601000 810 1198 73 94 1123 502 213 592 
4701000 1846 131 -79 -127 845 -108 -30 470 
4801000 2587 700 11 12 695 -352 -213 715 
