00000 1998000 998000 
17601000 3670 -6100 78 -99 963 -283 14 -235 1100000 1100000 1100000 1100000 1498000 1499000 997000 1500000 1997000 998000 
17649000 3582 -5904 57 -95 976 -527 258 69 1100000 1100000 1100000 1100000 1497000 1500000 997000 1499000 1999000 997000 
17701000 3664 -5726 51 -83 1097 327 -351 69 1100000 1100000 1100000 1100000 1498000 1499000 999000 1498000 1998000 998000 
17749000 3786 -5842 150 -85 952 -405 319 -52 1100000 1100000 1100000 1100000 1497000 1498000 998000 1499000 1997000 998000 
17801000 3960 -5809 115 -106 998 22 -351 496 1100000 1100000 1100000 1100000 1496000 1499000 998000 1498000 1997000 999000 
17849000 3884 -5752 27 -96 1097 -344 -229 -419 1100000 1100000 1100000 1100000 1498000 1498000 998000 1499000 1997000 999000 
17901000 3927 -5921 2 -108 1048 388 -229 -174 1100000 1100000 1100000 1100000 1498000 1498000 1000000 1497000 1998000 998000 
17949000 3562 -5895 89 -146 939 449 -351 -52 1100000 1100000 1100000 1100000 1498000 1499000 998000 1499000 1998000 998000 
18001000 3546 -6289 65 -103 1032 205 502 -541 1100000 1100000 1100000 1100000 1498000 1499000 998000 1499000 1998000 998000 
18049000 3563 -6822 89 -145 908 22 197 -480 1100000 1100000 1100000 1100000 1497000 1499000 997000 1498000 1997000 998000 
18101000 3572 -6988 60 -189 1043 83 -412 -235 1100000 1100000 1100000 1100000 1497000 1498000 998000 1498000 1997000 998000 
18149000 3492 -6967 78 -178 993 22 -290 496 1100000 1100000 1100000 1100000 1498000 1499000 998000 1499000 1998000 998000 
18201000 3442 -7031 35 -77 963 -344 136 435 1100000 1100000 1100000 1100000 1498000 1498000 998000 1499000 1997000 998000 
18249000 3310 -7083 41 -127 936 -38 -229 496 1100000 1100000 1100000 1100000 1498000 1499000 997000 1499000 1998000 998000 
18301000 3522 -6802 62 -123 961 -160 75 -113 1100000 1100000 1100000 1100000 1498000 1499000 998000 1499000 1998000 997000 
18349000 3671 -6754 109 -161 1018 388 -107 -297 1100000 1100000 1100000 1100000 1498000 1499000 997000 1499000 1997000 998000 
18401000 3842 -6759 59 -96 926 205 14 8 1100000 1100000 1100000 1100000 1497000 1498000 999000 1498000 1998000 999000 
18449000 3809 -6526 47 -68 1005 -38 441 -113 1100000 1100000 1100000 1100000 1498000 1498000 998000 1499000 1998000 998000 
18501000 3802 -6499 88 -82 981 -160 319 -52 1100000 1100000 1100000 1100000 1498000 1499000 998000 1499000 1998000 998000 
18549000 3731 -6320 79 -136 1015 -283 14 -358 1100000 1100000 1100000 1100000 1498000 1499000 998000 1499000 1998000 998000 
18601000 3753 -6172 56 -84 954 266 -473 -297 1100000 1100000 1100000 1100000 1498000 1499000 998000 1499000 1998000 998000 
18649000 3898 -6141 92 -66 976 144 75 130 1100000 1100000 1100000 1100000 1498000 1499000 998000 1499000 1999000 997000 
18701000 3919 -6064 73 -90 918 -283 14 313 1100000 1100000 1100000 1100000 1498000 1499000 998000 1498000 1998000 997000 
18749000 3924 -6161 51 -120 909 22 -290 69 1100000 1100000 1100000 1100000 1499000 1498000 998000 1500000 1998000 997000 
18801000 3885 -6394 28 -144 938 83 75 -235 1100000 1100000 1100000 1100000 1498000 1498000 999000 1498000 1998000 998000 
18849000 3707 -6576 43 -141 1030 22 -107 69 1100000 1100000 1100000 1100000 1498000 1499000 998000 1499000 1998000 998000 
18901000 3385 -6483 59 -151 1037 -221 380 -480 1100000 1100000 1100000 1100000 1498000 1499000 997000 1499000 1997000 998000 
18949000 3176 -6542 26 -53 934 83 197 252 1100000 1100000 1100000 1100000 1498000 1499000 998000 1499000 1998000 998000 
19001000 3133 -6787 56 -104 991 205 -351 618 1100000 1100000 1100000 1100000 1498000 1499000 998000 1499000 1998000 997000 
19049000 3377 -7016 72 -196 1035 -405 75 -480 1100000 1100000 1100000 1100000 1498000 1498000 998000 1499000 1999000 997000 
19101000 3430 -6909 124 -172 1041 -38 -595 -358 1100000 1100000 1100000 1100000 1497000 1498000 999000 1498000 1998000 998000 
19149000 3632 -6885 97 -68 983 -221 197 -480 1100000 1100000 1100000 1100000 1499000 1499000 998000 1499000 1997000 998000 
19201000 3543 -6857 66 -65 1007 388 441 -174 1100000 1100000 1100000 1100000 1499000 1499000 997000 1500000 1997000 998000 
19249000 3483 -6729 96 -136 1041 693 -412 -297 1100000 1100000 1100000 1100000 1498000 1499000 998000 1499000 1998000 998000 
19301000 3450 -6438 46 -160 1036 -221 -107 -297 1100000 1100000 1100000 1100000 1498000 1499000 998000 1499000 1998000 998000 
19349000 3582 -6281 51 -121 994 -527 -412 374 1100000 1100000 1100000 1100000 1498000 1499000 998000 1498000 1998000 998000 
19401000 3646 -6175 47 -102 1042 -527 380 313 1100000 1100000 1100000 1100000 1498000 1499000 998000 1499000 1998000 998000 
19449000 3642 -6125 71 -124 1017 327 14 -52 1100000 1100000 1100000 1100000 1497000 1498000 998000 1499000 1997000 998000 
19501000 3675 -6010 74 -75 1033 144 75 130 1100000 1100000 1100000 1100000 1497000 1498000 998000 1499000 1997000 999000 
19549000 3449 -5727 -18 -121 998 -283 75 -419 1100000 1100000 1100000 1100000 1498000 1499000 998000 1499000 1998000 998000 
