50000 -2284 -5449 -38 -98 1005 -38 14 130 
101000 -2484 -5537 -40 -93 994 83 14 69 
150000 -2462 -5775 -45 -103 994 22 14 8 
201000 -2560 -5805 -40 -104 998 -99 -46 8 
250000 -2461 -5961 -47 -104 1006 22 -46 8 
301000 -2488 -5843 -40 -100 1000 83 75 69 
350000 -2407 -5714 -39 -99 993 -38 -46 8 
401000 -2556 -5745 -48 -99 994 22 14 8 
450000 -2466 -5711 -39 -92 995 -38 75 -52 
501000 -2396 -5853 -43 -96 996 -99 -46 69 
550000 -2428 -5836 -35 -96 1009 83 14 -52 
601000 -2556 -5822 -45 -100 994 22 -168 8 
650000 -2393 -5831 -38 -104 1003 22 14 130 
701000 -2629 -5778 -47 -102 991 -38 14 8 
750000 -2533 -5595 -46 -95 993 -38 -46 69 
801000 -2579 -5633 -43 -97 989 -99 -107 69 
850000 -2440 -5732 -44 -98 1008 22 14 69 
901000 -2616 -5683 -50 -98 991 -99 -107 130 
950000 -2587 -5914 -48 -97 991 -38 14 8 
1001000 -2469 -6030 -40 -108 988 -38 -46 8 
1050000 -2638 -5977 -45 -104 986 22 14 -52 
1101000 -2570 -5848 -45 -104 995 83 -46 69 
1150000 -2735 -5767 -44 -102 987 -38 -46 -52 
1201000 -2473 -5533 -36 -87 1011 -160 136 -1273 
1250000 -1931 -6533 -17 -124 930 -221 -168 496 
1301000 -2485 -6445 2 -106 1098 83 -1328 1534 
1350000 -2511 -5717 -33 -105 1074 205 4164 -6339 
1401000 -2944 -7304 -100 -163 1093 815 -1633 2327 
1450000 -3002 -6555 -50 -106 878 1425 -1206 -358 
1501000 -2581 -5839 -33 -119 1072 2036 -5356 -3165 
1550000 -557 -6639 -33 -204 1030 5698 -4868 5562 
1601000 -3391 -5577 -93 -53 939 7346 -6455 -2372 
1650000 -2271 -4221 -28 -48 1147 9787 -11582 -3592 
1701000 199 -5089 -4 -116 1061 10703 -9323 2693 
1750000 -110 -4103 49 -66 1036 8567 -11704 -6034 
1801000 557 -3320 60 -63 995 7041 -6333 -2067 
1850000 818 -2471 58 -54 994 6003 -7553 3975 
1901000 2249 -2903 -30 -73 1007 3562 -2365 -3226 
1950000 -219 -1981 -15 -15 941 144 -229 -1761 
2001000 822 -2313 25 -44 900 -2846 2089 -480 
2050000 579 -1302 -2 -4 965 -3884 6179 -174 
2101000 774 -2743 5 -68 1106 -6996 6972 4463 
2150000 351 -3264 34 -47 926 -8522 9963 3548 
2201000 -1248 -3472 -41 -83 1091 -13954 11489 -2189 
2250000 -2201 -5059 -35 -115 1007 -14382 13625 -1029 
2301000 -2863 -5423 -27 -65 939 -15419 14907 -2555 
2350000 -4018 -9443 -102 -152 958 -11574 10573 -1822 
2401000 -3815 -5379 -50 -14 1027 11801 -11338 2388 
2450000 -888 -6475 -4 -150 1007 4721 -7798 -235 
2501000 -1822 -3606 -91 -57 1007 4966 -1450 2327 
2550000 -137 -5172 42 -129 965 -1869 -3891 1839 
2601000 -729 -4822 -14 -63 1037 -405 3737 -2921 
2650000 -930 -5183 18 -74 889 -6752 1845 -968 
2701000 -2073 -6014 -75 -69 1104 -6386 8559 -2494 
2750000 -4360 -5351 -102 -78 960 -8827 7887 -2494 
2801000 -2385 -6436 -49 -73 968 9421 -8164 3487 
2850000 -2013 -4847 -35 -59 995 4294 -3769 2327 
2901000 -1353 -4985 -23 -103 971 1242 -168 2083 
2950000 -224 -5404 -27 -85 1025 -1137 807 1717 
3001000 -1436 -4726 -78 -74 1006 -4067 3188 -419 
3050000 -2643 -6883 -76 -151 978 -4433 4775 -1639 
3101000 -3639 -6248 -59 -77 878 3806 -4074 -1822 
3150000 -1193 -6714 -5 -129 942 449 -1816 -2067 
3201000 -2830 -4728 -94 -81 898 510 3737 1106 
3250000 -3281 -5430 -14 -63 869 -2968 1967 1472 
3301000 -2052 -6950 -23 -77 1063 4050 1540 1717 
3350000 -2692 -4709 -18 -71 901 -405 -3098 2266 
3401000 -991 -5903 -8 -89 900 815 3066 1289 
3450000 -3530 -5470 -127 -114 1051 -954 -1145 69 
3501000 -1503 -6573 -67 -111 1007 693 -901 -174 
3550000 -3371 -4639 -99 -88 1091 327 1784 -968 
3601000 -2735 -6742 -25 -101 914 144 -779 -663 
3650000 -2424 -5481 -33 -36 993 2036 1113 -297 
3701000 -2827 -4417 -51 -55 980 -1015 991 1595 
3750000 -1887 -5905 -5 -76 952 3257 685 679 
3801000 -1843 -4767 -27 -93 984 -1137 -962 1900 
3850000 -1659 -5982 -74 -137 1124 1059 1235 1045 
3901000 -3204 -5529 -97 -130 1049 -1198 -901 557 
3950000 -1319 -6675 -33 -137 1030 -1015 258 -785 
4001000 -3049 -5402 -73 -84 968 -344 136 -2128 
4050000 -2953 -6933 -8 -151 969 266 -656 -1456 
4101000 -2748 -4361 -35 -41 1058 1425 685 -785 
4150000 -1107 -5272 39 -94 932 22 -595 984 
4201000 -207 -5564 -35 -83 951 1364 75 2083 
4250000 -940 -5161 -21 -117 1048 -1381 -412 1472 
4301000 -739 -5707 -15 -88 853 327 258 -968 
4350000 -2981 -5917 -71 -131 926 -1259 -107 -2555 
4401000 -1776 -5959 22 -75 865 693 -168 1106 
4450000 -890 -5551 13 -130 1036 571 -656 3426 
4501000 -2318 -6867 -112 -109 1162 1303 -595 -174 
4550000 -2693 -3946 -41 -25 1059 3012 -1755 -2799 
4601000 -800 -7963 -44 -150 890 2036 -3037 1656 
4650000 -3034 -5600 -59 23 1061 7285 -3281 -3898 
4701000 -1109 -8407 11 -231 768 22 -5051 2815 
4750000 -7005 -2287 -221 63 1101 7590 -2610 -3348 
4801000 -1152 -7067 -73 -168 957 -893 -779 801 
4850000 757 -3455 155 20 971 5759 -3830 -2494 
4901000 1291 -8398 72 -167 756 -4738 1052 1350 
4950000 429 -1028 145 46 1076 5881 -2549 -358 
5001000 -2751 -5538 -21 97 1215 4172 -1450 -1639 
5050000 1343 -5755 -72 -199 1057 -1442 -656 -541 
5101000 1442 -3663 113 -52 1030 7529 -5783 2144 
5150000 -5123 -5891 -232 -95 1169 -1503 -1877 -2982 
5201000 31 -5462 -114 -239 1039 -893 -3647 679 
5250000 -2334 -1624 141 27 1191 9360 -5722 2571 
5301000 766 -6816 4 -145 920 510 -1816 -5546 
5350000 1226 -3928 111 -179 1144 3257 -3464 5135 
5401000 -147 -639 181 -51 1261 6064 -5051 4463 
5450000 -3332 -2950 -143 107 1098 -1320 1296 -6583 
5501000 435 -4100 -18 -203 969 -1930 75 4707 
5550000 1142 551 179 102 1140 3012 -962 -663 
5601000 -172 -3890 188 75 903 -99 1235 -846 
5650000 -477 -5514 -62 -115 1011 -4189 4103 -2921 
5701000 2698 -5350 74 -209 1195 -221 -595 5074 
5750000 779 -1564 162 -11 1241 6430 -4074 1350 
5801000 2241 -1312 11 10 857 7834 -6882 1472 
5850000 -3532 -3446 -50 76 1139 3257 -3647 -4874 
5901000 3619 -4367 74 -73 841 1548 -1145 -1639 
5950000 -1032 -2286 -61 -161 1052 510 -2365 4768 
6001000 1655 -2891 -43 -191 810 1609 -412 6660 
6050000 -3062 -125 163 70 1075 1853 -717 -1944 
6101000 -2604 -3614 -221 115 928 -5837 4653 -5057 
6150000 5223 -8062 43 -263 728 -2114 2394 5989 
6201000 -330 -2513 -33 -188 978 -1625 -168 4463 
6250000 3440 -3654 151 -63 782 2219 -534 2876 
6301000 1900 -1588 54 58 700 2463 -1999 -3592 
6350000 1387 -5393 2 13 1139 144 -1389 -4508 
6401000 -1697 -2906 -82 27 668 1425 -2426 -4691 
6450000 2034 -1943 -31 -152 1338 5271 -6089 2510 
6501000 1098 -3368 46 -85 659 8506 -7004 4097 
6550000 3289 -354 260 9 1189 4966 -4258 -3104 
6601000 2452 -1991 42 141 825 3379 -1267 -3470 
6650000 1101 -1465 -129 -16 1119 -3823 2333 -1639 
6701000 4057 -5067 128 -182 831 815 -1023 5440 
6750000 3854 -636 107 47 643 3440 -1877 -1761 
6801000 63 -733 25 104 647 3195 -2426 -785 
6850000 -735 -3495 -81 44 1185 510 -962 3243 
6901000 4034 -6898 93 -179 461 754 -1877 3304 
6950000 -488 -1374 18 -61 732 4660 -3159 4524 
7001000 5397 -3570 96 -164 883 5027 -4624 -4264 
7050000 2763 -668 73 139 920 -344 -1328 -3776 
7101000 3648 -1655 0 -10 775 571 -1328 -4203 
7150000 7146 -5628 140 -174 681 3318 -4929 4524 
7201000 994 -939 -99 -44 966 6369 -4074 2571 
7250000 4691 716 75 -62 744 4416 -4196 -4508 
7301000 4677 395 142 161 1253 4355 -3281 -5485 
7350000 -1183 -3159 -55 -54 716 -2602 1357 69 
7401000 957 -460 -156 -84 1456 2829 -3586 4768 
7450000 7262 1715 148 -54 818 4233 -1755 -2250 
7501000 6606 804 145 78 1270 2585 -1938 -1578 
7550000 2280 1138 -30 49 717 144 -290 -5179 
7601000 2348 -2089 72 127 991 998 -2549 2876 
7650000 3893 -2893 96 -122 675 5271 -4685 4219 
7701000 13167 -2405 221 -50 338 5698 -4868 4829 
7750000 3258 1860 0 227 1334 1975 -717 -4691 
7801000 3617 1397 193 192 1134 -2175 746 -2250 
7850000 2600 479 -27 -39 1559 4599 -4685 6050 
7901000 5796 -673 -151 -22 1273 3257 -3586 5257 
7950000 5694 3307 206 19 1065 7651 -7309 2693 
8001000 11946 1513 259 165 673 6186 -4135 -4020 
8050000 7179 -2210 4 -39 878 -1625 -229 -1883 
8101000 5546 -1156 110 -74 884 510 -2732 -2494 
8150000 6094 220 -22 -58 1119 8078 -6211 5257 
8201000 13006 1979 281 -61 670 8567 -6699 2815 
8250000 5260 6470 70 281 948 -3395 4470 -3043 
8301000 2864 2161 35 124 1093 -2602 2211 -2372 
8350000 5958 -276 56 67 1026 -1869 1479 -2860 
8401000 3719 834 4 15 1003 1120 -2915 1472 
8450000 8465 2107 195 -62 1127 6919 -3098 5501 
8501000 5021 4626 28 -46 1061 2097 -962 6416 
8550000 6091 2381 282 158 1121 1548 -412 -1212 
8601000 4363 2650 33 141 947 -1625 1662 -3470 
8650000 5016 498 69 35 1078 -2846 -351 130 
8701000 5472 725 -88 70 934 -4250 4592 -541 
8750000 7099 3347 212 -67 889 2829 -3952 4402 
8801000 7646 4248 162 128 895 3623 -1084 496 
8850000 6145 4382 154 173 1008 -3029 2577 -3470 
8901000 3831 1221 117 138 1184 -1320 502 -6095 
8950000 5040 73 -86 3 1026 -3273 3066 1167 
9001000 8965 1367 219 -65 880 3195 -3342 4097 
