21000 -1592 -3989 -41 -103 988 22 14 8 
41000 -2133 -5223 -45 -97 991 -38 75 69 
61000 -2406 -5677 -40 -101 986 144 -46 8 
81000 -2355 -6002 -42 -105 993 -38 -46 8 
101000 -2248 -5851 -37 -97 996 22 75 -52 
121000 -2291 -5978 -41 -109 989 -38 75 -52 
141000 -2249 -6086 -37 -102 982 -99 14 8 
161000 -2246 -5802 -38 -93 989 -38 75 69 
181000 -2122 -6253 -40 -125 1015 -38 -46 69 
201000 -2455 -5555 -49 -105 1012 -99 502 -235 
221000 -2778 -5589 -64 -43 676 571 75 2327 
241000 -3019 -6166 -72 -71 801 2524 -1084 4463 
261000 -2545 -5922 -15 -84 819 3623 75 3304 
281000 -2800 -4644 -40 -39 671 -710 2822 -2128 
301000 -2675 -6106 -65 -148 1172 -1198 4531 -7621 
321000 -1921 -5565 17 -82 1061 -2663 -717 -3776 
341000 -2146 -6274 -46 -122 1103 -1686 -1023 374 
361000 -2748 -6191 -59 -109 983 815 -1145 2998 
381000 -917 -6149 -50 -135 1023 1059 -2549 4219 
401000 -3045 -6574 -101 -106 1009 1364 1967 -541 
421000 -2423 -5166 -19 -72 990 1548 -229 -785 
441000 -3420 -5876 -38 -90 929 -771 502 -5668 
461000 -1407 -5694 10 -109 965 -1992 685 1717 
481000 -2236 -5821 -28 -105 1067 -3029 2028 -2738 
501000 -445 -7905 34 -181 974 -2785 3737 6294 
521000 -3120 -6787 -30 -87 1006 83 563 -4203 
541000 -2743 -7683 -96 -208 1118 2463 -1816 2205 
561000 -2518 -3677 23 -57 911 2463 -3525 -174 
581000 -3315 -6683 -106 -127 1078 -221 -1633 496 
601000 -1175 -6189 16 -186 1008 -4677 746 1595 
621000 -2217 -5548 -66 -24 922 2768 3188 -907 
641000 -1598 -6028 -13 -149 937 -1076 3066 4097 
661000 -4470 -4209 -96 -30 973 -1259 2883 -5240 
681000 -2657 -6260 -50 -179 984 -649 -1938 1839 
701000 -3698 -5860 -46 -107 1085 -344 -4624 -2433 
721000 -597 -7827 -39 -143 949 3501 -1450 1656 
741000 -1470 -5932 -49 -93 1065 1364 -107 -3409 
761000 -459 -6362 -69 -55 891 2097 2211 679 
781000 -3499 -5396 -71 -91 999 -2602 3676 -4386 
801000 -2305 -5762 -102 -98 1026 -1259 258 618 
821000 -3713 -6273 -43 -102 941 -3517 -595 -2311 
841000 -2211 -7030 -46 -132 995 571 -1694 618 
861000 -2035 -6487 1 -109 951 266 -1084 -2982 
881000 -1654 -5519 -19 -68 955 2158 258 618 
901000 -3052 -5017 -46 -79 857 -2053 1601 -3959 
921000 -1610 -5313 -64 -93 931 -1747 319 1778 
941000 -2305 -6537 -7 -122 838 -4311 1357 -3287 
961000 -1095 -6745 -41 -147 1018 1609 -473 1656 
981000 -2344 -6456 -47 -102 1039 83 -1145 -3959 
1001000 -2690 -5238 -27 -83 1020 2097 -1267 2937 
